,Career_Money_Leaders_RANK THIS WEEK,Career_Money_Leaders_RANK LAST WEEK,Career_Money_Leaders_PLAYER NAME,Career_Money_Leaders_MONEY
0,1,1,Tiger Woods,"$92,862,539"
1,2,2,Vijay Singh,"$61,986,127"
2,3,3,Phil Mickelson,"$55,855,656"
3,4,4,Jim Furyk,"$42,756,341"
4,5,5,Davis Love III,"$38,947,951"
5,6,6,Ernie Els,"$35,810,558"
6,7,7,David Toms,"$31,758,263"
7,8,8,Kenny Perry,"$30,642,004"
8,9,9,Justin Leonard,"$29,341,837"
9,10,10,Stewart Cink,"$27,877,024"
10,11,11,Mike Weir,"$26,239,545"
11,12,12,Sergio Garcia,"$25,611,522"
12,13,13,Scott Verplank,"$24,522,406"
13,14,14,Mark Calcavecchia,"$23,868,574"
14,15,15,Stuart Appleby,"$23,757,322"
15,16,16,Steve Stricker,"$23,476,520"
16,17,17,Retief Goosen,"$22,940,019"
17,18,18,Fred Couples,"$21,319,451"
18,19,19,Robert Allenby,"$21,172,329"
19,20,20,Fred Funk,"$20,962,775"
20,21,21,Tom Lehman,"$20,893,963"
21,22,22,Chris DiMarco,"$20,835,083"
22,23,23,Jerry Kelly,"$20,610,767"
23,24,24,Nick Price,"$20,563,108"
24,25,25,Rory Sabbatini,"$20,368,555"
25,26,26,Geoff Ogilvy,"$20,172,895"
26,27,27,K.J. Choi,"$19,770,145"
27,28,28,Adam Scott,"$19,152,699"
28,29,29,Scott Hoch,"$18,530,156"
29,30,30,Charles Howell III,"$18,472,568"
30,31,31,Chad Campbell,"$18,310,841"
31,32,32,Bob Estes,"$18,305,430"
32,33,33,Jeff Sluman,"$18,165,266"
33,34,34,Billy Mayfair,"$18,045,465"
34,35,35,Padraig Harrington,"$17,915,250"
35,36,36,Stephen Ames,"$17,722,615"
36,37,37,Brad Faxon,"$17,713,767"
37,38,38,David Duval,"$17,492,999"
38,39,39,Steve Flesch,"$16,995,354"
39,40,40,Zach Johnson,"$16,975,649"
40,41,41,Jeff Maggert,"$16,396,677"
41,42,42,Tim Herron,"$16,305,224"
42,43,43,Bob Tway,"$15,785,815"
43,44,44,Rocco Mediate,"$15,275,897"
44,45,45,Hal Sutton,"$15,267,685"
45,46,46,Jesper Parnevik,"$15,207,897"
