,Total_Money_Official_and_Unofficial_RANK THIS WEEK,Total_Money_Official_and_Unofficial_RANK LAST WEEK,Total_Money_Official_and_Unofficial_PLAYER NAME,Total_Money_Official_and_Unofficial_EVENTS,Total_Money_Official_and_Unofficial_MONEY
0,1,1,Tiger Woods,20,"$10,748,163"
1,2,3,Steve Stricker,25,"$6,897,636"
2,3,2,Phil Mickelson,20,"$6,532,755"
3,4,4,Jim Furyk,25,"$5,296,515"
4,5,6,Zach Johnson,30,"$5,101,063"
5,6,5,Sean O'Hair,27,"$5,092,993"
6,7,7,Kenny Perry,28,"$4,885,229"
7,8,8,Lucas Glover,29,"$4,467,580"
8,9,9,Y.E. Yang,28,"$3,999,516"
9,10,10,Geoff Ogilvy,22,"$3,965,841"
10,11,11,Nick Watney,27,"$3,605,421"
11,12,12,Stewart Cink,27,"$3,442,780"
12,13,13,Retief Goosen,23,"$3,432,221"
13,14,15,Brian Gay,29,"$3,340,128"
14,15,14,Hunter Mahan,28,"$3,311,349"
15,16,16,Anthony Kim,26,"$3,234,227"
16,17,17,Henrik Stenson,13,"$3,205,310"
17,18,18,David Toms,28,"$3,197,198"
18,19,19,Padraig Harrington,22,"$3,139,710"
19,20,20,Dustin Johnson,26,"$3,069,151"
20,21,21,Ian Poulter,22,"$3,060,334"
21,22,29,Jerry Kelly,28,"$2,974,148"
22,23,22,Ángel Cabrera,19,"$2,925,472"
23,24,23,Ernie Els,22,"$2,922,157"
24,25,24,Rory Sabbatini,27,"$2,856,624"
25,26,25,Paul Casey,14,"$2,764,681"
26,27,27,Matt Kuchar,27,"$2,738,693"
27,28,26,Kevin Na,26,"$2,724,825"
28,29,28,Ryan Moore,28,"$2,652,871"
29,30,31,Justin Leonard,29,"$2,544,044"
30,31,30,Mike Weir,26,"$2,541,922"
31,32,35,Tim Clark,25,"$2,396,772"
32,33,32,John Senden,29,"$2,305,492"
33,34,33,John Rollins,27,"$2,269,475"
34,35,42,Scott Verplank,25,"$2,253,780"
35,36,34,Jason Dufner,27,"$2,235,792"
36,37,36,Camilo Villegas,25,"$2,228,814"
37,38,37,Steve Marino,30,"$2,196,539"
38,39,38,Heath Slocum,30,"$2,195,565"
39,40,39,Luke Donald,21,"$2,174,947"
40,41,40,Stephen Ames,23,"$2,131,538"
41,42,43,Graeme McDowell,15,"$2,120,141"
42,43,41,Robert Allenby,25,"$2,106,946"
43,44,44,Lee Westwood,10,"$1,977,464"
44,45,52,Chad Campbell,28,"$1,971,904"
45,46,45,Bo Van Pelt,30,"$1,945,307"
46,47,46,Rory McIlroy,13,"$1,916,612"
47,48,47,Charley Hoffman,27,"$1,894,925"
48,49,48,Brian Davis,32,"$1,874,318"
49,50,49,Charles Howell III,30,"$1,854,460"
50,51,50,Mark Wilson,28,"$1,838,414"
51,52,51,Pat Perez,23,"$1,819,932"
52,53,53,Marc Leishman,28,"$1,742,243"
53,54,54,John Mallinger,27,"$1,717,140"
54,55,55,Davis Love III,28,"$1,676,151"
55,56,56,Ben Crane,27,"$1,667,085"
56,57,57,Brandt Snedeker,27,"$1,640,557"
57,58,58,Paul Goydos,25,"$1,619,918"
58,59,59,Tim Petrovic,31,"$1,551,866"
59,60,70,J.B. Holmes,28,"$1,526,701"
60,61,60,Bubba Watson,25,"$1,520,244"
61,62,65,George McNeill,27,"$1,509,220"
62,63,61,John Merrick,29,"$1,502,892"
63,64,62,Brett Quigley,29,"$1,482,780"
64,65,63,Nathan Green,31,"$1,469,092"
65,66,64,Troy Matteson,30,"$1,466,070"
66,67,72,Ross Fisher,13,"$1,445,797"
67,68,66,Charlie Wi,29,"$1,439,096"
68,69,73,Boo Weekley,25,"$1,426,948"
69,70,67,Bill Haas,29,"$1,425,418"
70,71,68,Martin Laird,25,"$1,385,854"
71,72,69,Bryce Molder,21,"$1,381,211"
72,73,71,Fred Couples,18,"$1,357,971"
73,74,74,D.A. Points,29,"$1,320,021"
74,75,75,Jonathan Byrd,25,"$1,316,771"
75,76,76,Sergio Garcia,19,"$1,299,522"
76,77,77,Vijay Singh,22,"$1,276,815"
77,78,78,Francesco Molinari,6,"$1,253,940"
78,79,79,Jason Day,18,"$1,251,219"
79,80,80,Webb Simpson,30,"$1,249,674"
80,81,81,Jeff Klauk,29,"$1,243,696"
81,82,82,Justin Rose,23,"$1,225,518"
82,83,83,Kevin Sutherland,27,"$1,218,605"
83,84,84,Jeff Overton,28,"$1,193,346"
84,85,85,Freddie Jacobson,25,"$1,189,995"
85,86,86,Briny Baird,28,"$1,186,982"
86,87,87,Vaughn Taylor,28,"$1,178,282"
87,88,88,J.J. Henry,28,"$1,161,641"
88,89,89,Jason Bohn,25,"$1,159,936"
89,90,90,Woody Austin,24,"$1,137,331"
90,91,91,Nick O'Hern,28,"$1,124,215"
91,92,92,Mathew Goggin,26,"$1,118,845"
92,93,93,Greg Chalmers,27,"$1,098,620"
93,94,94,Bob Estes,23,"$1,079,929"
94,95,95,D.J. Trahan,30,"$1,078,256"
95,96,96,Martin Kaymer,14,"$1,072,907"
96,97,97,Scott Piercy,28,"$1,032,716"
97,98,98,Alex Cejka,26,"$1,017,664"
98,99,99,Kevin Streelman,29,"$1,007,444"
99,100,100,Rod Pampling,24,"$1,001,897"
100,101,101,Scott McCarron,27,"$980,819"
101,102,102,K.J. Choi,22,"$968,506"
102,103,103,James Nitties,27,"$931,532"
103,104,104,Kevin Stadler,20,"$925,514"
104,105,105,Jeev Milkha Singh,17,"$909,436"
105,106,106,Ben Curtis,19,"$899,524"
106,107,107,Michael Letzig,28,"$896,478"
107,108,108,Lee Janzen,23,"$871,187"
108,109,118,Mark Calcavecchia,24,"$864,846"
109,110,109,Daniel Chopra,29,"$864,331"
110,111,110,Edoardo Molinari,1,"$850,000"
111,112,111,Ted Purdy,30,"$838,707"
112,113,112,Aaron Baddeley,23,"$837,065"
113,114,113,Bill Lunde,27,"$825,691"
114,115,114,Ryuji Imada,26,"$821,394"
115,116,115,James Driscoll,17,"$807,578"
116,117,116,Oliver Wilson,10,"$797,106"
117,118,117,Andres Romero,20,"$789,305"
118,119,119,Adam Scott,20,"$783,138"
119,120,134,Chris DiMarco,31,"$766,575"
120,121,120,Greg Owen,30,"$763,517"
121,122,138,Steve Flesch,28,"$759,302"
122,123,121,Michael Allen,22,"$741,066"
123,124,122,Matt Bettencourt,31,"$740,037"
124,125,123,Harrison Frazar,28,"$738,615"
125,126,124,Chris Stroud,28,"$735,019"
126,127,125,Tom Watson,2,"$732,603"
127,128,126,Michael Bradley,17,"$727,788"
128,129,127,Cameron Beckman,26,"$726,705"
129,130,128,Jeff Quinney,26,"$718,950"
130,131,129,Stuart Appleby,27,"$712,837"
131,132,130,Jeff Maggert,29,"$691,384"
132,133,131,Søren Kjeldsen,9,"$691,240"
133,134,132,Richard Johnson,26,"$687,077"
134,135,133,Ricky Barnes,23,"$684,863"
135,136,135,Roland Thatcher,16,"$681,631"
136,137,150,Rickie Fowler,8,"$678,590"
137,138,136,Rich Beem,26,"$676,899"
138,139,137,Nicholas Thompson,31,"$675,178"
139,140,139,Jimmy Walker,24,"$662,683"
140,141,140,Will MacKenzie,24,"$659,686"
141,142,141,Robert Garrigus,26,"$657,204"
142,143,142,Chris Riley,23,"$655,417"
143,144,143,Soren Hansen,9,"$651,537"
144,145,144,Joe Ogilvie,30,"$638,700"
145,146,145,Matt Jones,18,"$628,313"
146,147,146,Tim Herron,28,"$624,843"
147,148,147,David Duval,23,"$623,824"
148,149,148,Robert Karlsson,7,"$606,237"
