,Percentage_of_potential_money_won_RANK THIS WEEK,Percentage_of_potential_money_won_RANK LAST WEEK,Percentage_of_potential_money_won_PLAYER NAME,Percentage_of_potential_money_won_EVENTS,Percentage_of_potential_money_won_%,Percentage_of_potential_money_won_OFFICIAL MONEY WON,Percentage_of_potential_money_won_POTENTIAL MONEY
0,1,1,Tiger Woods,17,47.96,"$10,508,163","$21,909,005"
1,2,2,Tom Watson,2,28.49,"$732,603","$2,571,005"
2,3,3,Steve Stricker,22,23.64,"$6,332,635","$26,787,005"
3,4,4,Phil Mickelson,18,23.36,"$5,332,754","$22,830,000"
4,5,5,Henrik Stenson,10,20.41,"$2,697,809","$13,215,005"
5,6,6,Paul Casey,12,17.03,"$2,582,181","$15,159,005"
6,7,7,Chris Wood,2,16.66,"$428,441","$2,571,005"
7,8,8,Geoff Ogilvy,20,15.29,"$3,866,269","$25,279,005"
8,9,9,Sean O'Hair,23,15.27,"$4,316,493","$28,267,005"
9,10,10,Kenny Perry,24,15.21,"$4,445,561","$29,221,005"
10,11,11,Zach Johnson,26,15.15,"$4,714,812","$31,129,005"
11,12,12,Jim Furyk,23,14.09,"$3,946,515","$28,011,005"
12,13,13,Lee Westwood,8,13.15,"$1,379,963","$10,497,005"
13,14,14,Retief Goosen,20,12.97,"$3,232,649","$24,915,005"
14,15,15,Y.E. Yang,23,12.95,"$3,489,515","$26,956,000"
15,16,16,Lucas Glover,26,12.32,"$3,692,579","$29,981,005"
16,17,17,Ángel Cabrera,17,12.11,"$2,625,471","$21,679,005"
17,18,18,Nick Watney,24,11.28,"$3,221,420","$28,555,005"
18,19,19,Ian Poulter,17,11.06,"$2,431,000","$21,981,005"
19,20,20,Brian Gay,27,10.56,"$3,201,294","$30,309,005"
20,21,21,Padraig Harrington,20,10.46,"$2,628,376","$25,131,005"
21,22,22,Stewart Cink,22,10.33,"$2,821,030","$27,313,005"
22,T23,T23,Jamie Lovemark,5,10.09,"$453,872","$4,500,000"
23,T23,T23,David Toms,27,10.09,"$3,047,197","$30,197,005"
24,25,25,Dustin Johnson,25,9.78,"$2,977,900","$30,445,005"
25,26,26,Hunter Mahan,25,9.67,"$2,941,348","$30,405,005"
26,27,27,Kevin Na,26,9.66,"$2,724,824","$28,206,000"
27,28,28,Rickie Fowler,6,9.5,"$571,090","$6,012,000"
28,29,29,Matt Kuchar,24,9.32,"$2,489,192","$26,709,005"
29,30,30,Rory Sabbatini,25,9.29,"$2,752,291","$29,613,005"
30,31,31,Thomas Aiken,3,9.18,"$339,671","$3,701,005"
31,32,32,Jerry Kelly,26,9.12,"$2,562,647","$28,112,000"
32,33,33,Ernie Els,19,8.97,"$2,147,156","$23,947,005"
