,Official_Money_RANK THIS WEEK,Official_Money_RANK LAST WEEK,Official_Money_PLAYER NAME,Official_Money_EVENTS,Official_Money_MONEY,Official_Money_YTD VICTORIES
0,1,1,Tiger Woods,17,"$10,508,163",6.0
1,2,2,Steve Stricker,22,"$6,332,636",3.0
2,3,3,Phil Mickelson,18,"$5,332,755",3.0
3,4,4,Zach Johnson,26,"$4,714,813",2.0
4,5,5,Kenny Perry,24,"$4,445,562",2.0
5,6,6,Sean O'Hair,23,"$4,316,493",1.0
6,7,7,Jim Furyk,23,"$3,946,515",
7,8,8,Geoff Ogilvy,20,"$3,866,270",2.0
8,9,9,Lucas Glover,26,"$3,692,580",1.0
9,10,10,Y.E. Yang,23,"$3,489,516",2.0
10,11,11,Retief Goosen,20,"$3,232,650",1.0
11,12,12,Nick Watney,24,"$3,221,421",1.0
12,13,13,Brian Gay,27,"$3,201,295",2.0
13,14,14,David Toms,27,"$3,047,198",
14,15,15,Dustin Johnson,25,"$2,977,901",1.0
15,16,16,Hunter Mahan,25,"$2,941,349",
16,17,17,Stewart Cink,22,"$2,821,030",1.0
17,18,18,Rory Sabbatini,25,"$2,752,291",1.0
18,19,19,Kevin Na,26,"$2,724,825",
19,20,20,Padraig Harrington,20,"$2,628,377",
20,21,21,Ángel Cabrera,17,"$2,625,472",1.0
21,22,22,Paul Casey,12,"$2,582,181",1.0
22,23,23,Jerry Kelly,26,"$2,562,648",1.0
23,24,24,Matt Kuchar,24,"$2,489,193",1.0
24,25,25,Ian Poulter,17,"$2,431,001",
25,26,26,Mike Weir,24,"$2,379,422",
26,27,27,John Senden,29,"$2,305,492",
27,28,28,John Rollins,27,"$2,269,475",1.0
28,29,29,Tim Clark,23,"$2,235,105",
29,30,30,Justin Leonard,26,"$2,232,378",
30,31,31,Ryan Moore,27,"$2,222,871",1.0
31,32,32,Heath Slocum,30,"$2,195,565",1.0
32,33,33,Jason Dufner,26,"$2,190,792",
33,34,34,Luke Donald,21,"$2,174,947",
34,35,35,Steve Marino,29,"$2,161,539",
35,36,36,Ernie Els,19,"$2,147,157",
36,37,37,Stephen Ames,23,"$2,131,538",1.0
37,38,38,Scott Verplank,24,"$2,092,114",
38,39,39,Anthony Kim,22,"$1,972,155",
39,40,40,Bo Van Pelt,30,"$1,945,307",1.0
40,41,41,Charley Hoffman,27,"$1,894,925",
41,42,42,Robert Allenby,21,"$1,890,946",
42,43,43,Brian Davis,32,"$1,874,318",
43,44,44,Mark Wilson,28,"$1,838,414",1.0
44,45,45,Camilo Villegas,21,"$1,804,981",
45,46,46,Charles Howell III,29,"$1,804,460",
46,47,47,Marc Leishman,28,"$1,742,243",
47,48,48,Chad Campbell,26,"$1,725,237",
48,49,49,Pat Perez,22,"$1,720,360",1.0
49,50,50,John Mallinger,27,"$1,717,140",
50,51,51,Ben Crane,27,"$1,667,085",
51,52,52,Davis Love III,27,"$1,622,401",
