,Percentage_of_Available_Purse_Won_RANK THIS WEEK,Percentage_of_Available_Purse_Won_RANK LAST WEEK,Percentage_of_Available_Purse_Won_PLAYER NAME,Percentage_of_Available_Purse_Won_EVENTS,Percentage_of_Available_Purse_Won_%,Percentage_of_Available_Purse_Won_OFFICIAL MONEY WON,Percentage_of_Available_Purse_Won_TOTAL PURSE AVAILABLE
0,1,1,Tiger Woods,17,8.53,"$10,508,163","$123,119,273"
1,2,2,Tom Watson,2,5.42,"$732,603","$13,519,273"
2,3,3,Steve Stricker,22,4.22,"$6,332,634","$150,219,273"
3,4,4,Phil Mickelson,18,4.15,"$5,332,753","$128,500,000"
4,5,5,Henrik Stenson,10,3.61,"$2,697,809","$74,819,273"
5,6,6,Chris Wood,2,3.06,"$428,441","$14,019,273"
6,7,7,Paul Casey,12,3.02,"$2,582,181","$85,619,273"
7,T8,T8,Sean O'Hair,23,2.74,"$4,316,490","$157,819,273"
8,T8,T8,Geoff Ogilvy,20,2.74,"$3,866,268","$141,219,273"
9,10,10,Kenny Perry,24,2.73,"$4,445,560","$163,119,273"
10,11,11,Zach Johnson,26,2.71,"$4,714,811","$173,719,273"
11,12,12,Jim Furyk,23,2.51,"$3,946,513","$157,019,273"
12,13,13,Y.E. Yang,23,2.32,"$3,489,514","$150,700,000"
13,T14,T14,Retief Goosen,20,2.31,"$3,232,649","$139,819,273"
14,T14,T14,Lee Westwood,8,2.31,"$1,379,963","$59,719,273"
15,16,16,Lucas Glover,26,2.21,"$3,692,578","$167,019,273"
16,17,17,Ángel Cabrera,17,2.17,"$2,625,471","$121,119,273"
17,18,18,Nick Watney,24,2.02,"$3,221,417","$159,319,273"
18,19,19,Ian Poulter,17,1.97,"$2,431,000","$123,519,273"
19,20,20,Brian Gay,27,1.9,"$3,201,292","$168,219,273"
20,21,21,Padraig Harrington,20,1.86,"$2,628,374","$141,019,273"
21,22,22,Stewart Cink,22,1.85,"$2,821,029","$152,519,273"
22,23,23,Jamie Lovemark,5,1.82,"$453,872","$25,000,000"
23,24,24,David Toms,27,1.81,"$3,047,194","$168,219,273"
24,25,25,Dustin Johnson,25,1.75,"$2,977,898","$169,919,273"
25,26,26,Kevin Na,26,1.74,"$2,724,823","$156,700,000"
26,27,27,Hunter Mahan,25,1.73,"$2,941,345","$170,319,273"
