,Money_per_Event_Leaders_RANK THIS WEEK,Money_per_Event_Leaders_RANK LAST WEEK,Money_per_Event_Leaders_PLAYER NAME,Money_per_Event_Leaders_EVENTS,Money_per_Event_Leaders_MONEY PER EVENT,Money_per_Event_Leaders_TOTAL MONEY
0,1,1,Tiger Woods,17,"$618,127","$10,508,163"
1,2,2,Tom Watson,2,"$366,301","$732,603"
2,3,3,Phil Mickelson,18,"$296,264","$5,332,754"
3,4,4,Steve Stricker,22,"$287,847","$6,332,635"
4,5,5,Henrik Stenson,10,"$255,018","$2,550,184"
5,6,6,Paul Casey,12,"$215,181","$2,582,181"
6,7,7,Chris Wood,2,"$214,220","$428,441"
7,8,8,Geoff Ogilvy,20,"$193,313","$3,866,269"
8,9,9,Sean O'Hair,23,"$187,673","$4,316,493"
9,10,10,Kenny Perry,24,"$185,231","$4,445,561"
10,11,11,Zach Johnson,26,"$181,338","$4,714,812"
11,12,12,Jim Furyk,23,"$171,587","$3,946,515"
12,13,13,Retief Goosen,20,"$161,632","$3,232,649"
13,14,14,Ángel Cabrera,17,"$154,439","$2,625,471"
14,15,15,Y.E. Yang,23,"$151,718","$3,489,515"
15,16,16,Ian Poulter,17,"$143,000","$2,431,000"
16,17,17,Lucas Glover,26,"$142,022","$3,692,579"
17,18,18,Lee Westwood,8,"$135,676","$1,085,413"
18,19,19,Nick Watney,24,"$134,225","$3,221,420"
19,20,20,Padraig Harrington,20,"$131,418","$2,628,376"
20,21,21,Stewart Cink,22,"$128,228","$2,821,030"
21,22,22,Dustin Johnson,25,"$119,116","$2,977,900"
22,23,23,Brian Gay,27,"$118,566","$3,201,294"
23,24,24,Hunter Mahan,25,"$117,653","$2,941,348"
24,25,25,Ernie Els,19,"$113,008","$2,147,156"
25,26,26,David Toms,27,"$112,859","$3,047,197"
26,27,27,Rory Sabbatini,25,"$110,091","$2,752,291"
27,28,28,Kevin Na,26,"$104,800","$2,724,824"
28,29,29,Matt Kuchar,24,"$103,716","$2,489,192"
29,30,30,Luke Donald,21,"$103,568","$2,174,947"
30,31,31,Mike Weir,24,"$99,142","$2,379,421"
31,32,32,Jerry Kelly,26,"$98,563","$2,562,647"
32,33,33,Tim Clark,23,"$97,178","$2,235,104"
33,34,34,Rickie Fowler,6,"$95,181","$571,090"
34,35,35,Stephen Ames,23,"$92,675","$2,131,538"
35,36,36,Jamie Lovemark,5,"$90,774","$453,872"
36,37,37,Robert Allenby,21,"$90,045","$1,890,945"
37,38,38,Anthony Kim,22,"$89,643","$1,972,155"
38,39,39,Scott Verplank,24,"$87,171","$2,092,113"
39,40,40,Camilo Villegas,21,"$85,951","$1,804,980"
40,41,41,Justin Leonard,26,"$85,860","$2,232,377"
41,42,42,Jason Dufner,26,"$84,261","$2,190,792"
42,43,43,John Rollins,27,"$84,054","$2,269,475"
43,44,44,Ryan Moore,27,"$82,328","$2,222,870"
44,45,45,John Senden,29,"$79,499","$2,305,492"
45,46,46,Pat Perez,22,"$78,198","$1,720,360"
46,47,47,Rory McIlroy,11,"$77,247","$849,718"
47,48,48,Francesco Molinari,4,"$76,092","$304,368"
48,49,49,Fred Couples,16,"$74,873","$1,197,970"
49,50,50,Steve Marino,29,"$74,535","$2,161,539"
50,51,51,Heath Slocum,30,"$73,185","$2,195,565"
51,52,52,Sergio Garcia,17,"$71,324","$1,212,522"
52,53,53,Charley Hoffman,27,"$70,182","$1,894,925"
53,54,54,Jason Day,18,"$69,512","$1,251,218"
54,55,55,Chad Campbell,26,"$66,355","$1,725,237"
55,56,56,Kevin Chappell,3,"$65,829","$197,487"
56,57,57,Bryce Molder,21,"$65,771","$1,381,211"
57,58,58,Mark Wilson,28,"$65,657","$1,838,414"
58,59,59,Bo Van Pelt,30,"$64,843","$1,945,306"
59,60,60,Paul Goydos,25,"$64,796","$1,619,918"
60,61,61,John Mallinger,27,"$63,597","$1,717,139"
61,T62,T62,Charles Howell III,29,"$62,222","$1,804,460"
62,T62,T62,Marc Leishman,28,"$62,222","$1,742,242"
63,64,64,Ben Crane,27,"$61,743","$1,667,084"
64,65,65,Vijay Singh,21,"$60,800","$1,276,814"
65,66,66,Davis Love III,27,"$60,088","$1,622,401"
66,67,67,Shingo Katayama,6,"$60,000","$360,000"
67,68,68,José María Olazábal,4,"$59,907","$239,629"
68,69,69,Bubba Watson,24,"$59,593","$1,430,243"
69,70,70,Graeme McDowell,11,"$58,683","$645,516"
70,71,71,Brian Davis,32,"$58,572","$1,874,318"
71,72,72,Brandt Snedeker,26,"$57,059","$1,483,557"
72,73,73,Martin Laird,24,"$56,223","$1,349,354"
73,74,74,George McNeill,26,"$55,354","$1,439,219"
74,75,75,Ross Fisher,10,"$54,454","$544,546"
75,76,76,Soren Hansen,8,"$54,080","$432,644"
76,77,77,Jonathan Byrd,25,"$52,670","$1,316,770"
77,78,78,John Merrick,28,"$51,388","$1,438,891"
78,79,79,Shigeki Maruyama,5,"$51,266","$256,330"
79,80,80,Justin Rose,22,"$51,159","$1,125,518"
80,81,81,Brett Quigley,28,"$50,456","$1,412,780"
81,82,82,Boo Weekley,22,"$50,338","$1,107,448"
82,83,83,Tim Petrovic,31,"$50,060","$1,551,866"
83,84,84,Len Mattiace,1,"$49,742","$49,742"
84,85,85,Bill Haas,29,"$49,152","$1,425,417"
85,86,86,Charlie Wi,28,"$49,110","$1,375,096"
86,87,87,Thomas Aiken,3,"$49,057","$147,171"
87,88,88,Troy Matteson,30,"$48,869","$1,466,070"
88,89,89,J.B. Holmes,25,"$48,781","$1,219,534"
89,90,90,Nathan Green,30,"$47,878","$1,436,342"
90,91,91,Kenichi Kuboya,1,"$47,793","$47,793"
91,92,92,Freddie Jacobson,25,"$47,599","$1,189,994"
92,93,93,James Driscoll,17,"$47,504","$807,577"
93,94,94,Woody Austin,24,"$47,388","$1,137,331"
94,95,95,Bob Estes,23,"$46,953","$1,079,928"
95,96,96,Larry Mize,1,"$46,575","$46,575"
96,97,97,Jason Bohn,25,"$46,397","$1,159,935"
97,98,98,Kevin Stadler,20,"$46,275","$925,514"
98,99,99,Todd Fischer,3,"$45,567","$136,701"
99,100,100,D.A. Points,29,"$45,517","$1,320,020"
100,101,101,Kevin Sutherland,27,"$45,133","$1,218,604"
101,102,102,Ben Curtis,18,"$44,417","$799,523"
102,103,103,K.J. Choi,22,"$44,022","$968,505"
103,104,104,Michael Sim,3,"$43,396","$130,188"
104,105,105,Mathew Goggin,26,"$43,032","$1,118,844"
105,106,106,Jeff Klauk,29,"$42,886","$1,243,696"
106,107,107,Michael Bradley,17,"$42,811","$727,787"
107,108,108,Jeff Overton,28,"$42,619","$1,193,346"
108,109,109,Roland Thatcher,16,"$42,601","$681,630"
109,110,110,Briny Baird,28,"$42,392","$1,186,981"
110,111,111,Vaughn Taylor,28,"$42,081","$1,178,282"
111,112,112,Webb Simpson,30,"$41,655","$1,249,674"
112,113,113,Rod Pampling,23,"$41,604","$956,897"
113,114,114,J.J. Henry,28,"$41,487","$1,161,641"
114,115,115,Martin Kaymer,11,"$41,332","$454,657"
115,116,116,Adam Scott,19,"$41,217","$783,138"
116,117,117,Chris Baryla,3,"$41,012","$123,037"
117,118,118,Greg Chalmers,26,"$40,703","$1,058,286"
118,119,119,Søren Kjeldsen,7,"$40,131","$280,918"
119,120,120,Nick O'Hern,27,"$39,785","$1,074,215"
120,121,121,Andres Romero,20,"$39,465","$789,304"
121,122,122,Alex Cejka,25,"$38,146","$953,664"
122,123,123,Lee Janzen,23,"$37,877","$871,186"
123,124,124,Scott Piercy,28,"$36,882","$1,032,715"
124,125,125,Aaron Baddeley,23,"$36,394","$837,064"
125,126,126,Scott McCarron,27,"$36,326","$980,818"
126,127,127,José Manuel Lara,2,"$36,000","$72,000"
127,128,128,D.J. Trahan,30,"$35,941","$1,078,255"
128,129,129,Sandy Lyle,2,"$35,700","$71,400"
129,130,130,Matt Jones,17,"$34,900","$593,312"
130,131,131,Kevin Streelman,29,"$34,739","$1,007,443"
131,132,132,James Nitties,27,"$34,501","$931,531"
132,133,133,Mark Calcavecchia,23,"$34,232","$787,345"
133,134,134,Michael Allen,22,"$33,684","$741,065"
134,135,135,Brandt Jobe,8,"$33,230","$265,840"
135,136,136,Tom Lehman,16,"$32,215","$515,449"
136,137,137,Michael Letzig,28,"$32,017","$896,478"
137,138,138,Peter Hanson,5,"$31,891","$159,458"
138,139,139,Scott Hoch,1,"$31,657","$31,657"
139,140,140,Bill Lunde,27,"$30,581","$825,691"
140,141,141,Trevor Immelman,13,"$30,403","$395,244"
141,142,142,Danny Lee,12,"$29,987","$359,845"
142,143,143,Ricky Barnes,23,"$29,776","$684,863"
143,144,144,Derek Lamely,2,"$29,093","$58,187"
144,145,145,Daniel Chopra,28,"$29,083","$814,331"
145,146,146,Chris Riley,22,"$28,655","$630,416"
146,147,147,Thongchai Jaidee,4,"$28,650","$114,601"
147,148,148,David Duval,22,"$28,355","$623,824"
148,149,149,Ryuji Imada,25,"$28,255","$706,393"
149,150,150,Ted Purdy,30,"$27,956","$838,707"
150,151,151,Cameron Beckman,26,"$27,950","$726,705"
151,152,152,Jeff Quinney,26,"$27,651","$718,949"
152,153,153,Jimmy Walker,24,"$27,611","$662,682"
153,154,154,Will MacKenzie,24,"$27,486","$659,686"
154,155,155,Garrett Willis,6,"$27,484","$164,905"
155,156,156,Mathias Grönberg,13,"$27,243","$354,162"
156,157,157,Thomas Levet,3,"$26,918","$80,755"
157,158,158,Brendan Jones,2,"$26,556","$53,112"
158,159,159,Tommy Armour III,19,"$26,489","$503,306"
159,160,160,Richard Johnson,26,"$26,426","$687,077"
160,161,161,Harrison Frazar,28,"$26,379","$738,615"
161,162,162,Robert Garrigus,25,"$26,288","$657,203"
162,163,163,Chris Stroud,28,"$26,250","$735,018"
163,164,164,Rich Beem,26,"$26,034","$676,898"
164,165,165,Branden Grace,1,"$25,539","$25,539"
165,166,166,Oliver Wilson,9,"$25,474","$229,272"
166,167,167,Greg Owen,30,"$25,450","$763,517"
167,168,168,Jeev Milkha Singh,15,"$25,245","$378,686"
168,169,169,Jeff Sluman,2,"$25,200","$50,400"
169,170,170,Johan Edfors,3,"$24,778","$74,335"
170,171,171,Steve Flesch,27,"$24,742","$668,051"
171,172,172,Matt Weibring,22,"$24,639","$542,066"
172,173,173,Ronnie Black,3,"$24,159","$72,478"
