,Approaches_from__200_yards_Rgh_RANK THIS WEEK,Approaches_from__200_yards_Rgh_RANK LAST WEEK,Approaches_from__200_yards_Rgh_PLAYER NAME,Approaches_from__200_yards_Rgh_ROUNDS,Approaches_from__200_yards_Rgh_AVG,Approaches_from__200_yards_Rgh_TOTAL DISTANCE (FEET),Approaches_from__200_yards_Rgh_# OF ATTEMPTS,Approaches_from__200_yards_Rgh_RELATIVE TO PAR
0,1,1,Graeme McDowell,55,"54' 1""",594.5,11,-4
1,2,2,Ryo Ishikawa,54,"56' 2""",1404.9170000000001,25,-2
2,3,3,Jonas Blixt,72,"56' 5""",2144.75,38,-2
3,4,4,Tim Clark,60,"59' 2""",1301.0,22,+8
4,5,5,Troy Kelly,68,"59' 3""",1778.5829999999999,30,-3
5,6,6,Roland Thatcher,55,"59' 8""",1192.75,20,-1
6,7,7,Adam Scott,59,"60' 5""",1691.0829999999999,28,-2
7,8,8,Kyle Stanley,86,"60' 11""",2923.25,48,-15
8,9,9,Gavin Coles,72,"61' 5""",2703.0,44,+9
9,10,10,Keegan Bradley,90,"61' 6""",1907.5829999999999,31,-6
10,11,11,Vijay Singh,99,"61' 8""",2959.0,48,-5
11,12,12,Luke Donald,63,"62' 2""",2174.417,35,-6
12,13,13,Robert Karlsson,54,"62' 4""",1557.4170000000001,25,-9
13,14,14,Brendon Todd,78,"62' 8""",2380.0,38,+1
14,15,15,John Mallinger,74,"62' 11""",2014.3329999999999,32,+3
15,16,16,Stephen Gangluff,57,"63' 1""",1892.8329999999999,30,+5
16,17,17,Ken Duke,104,"63' 4""",3673.5,58,+4
17,18,18,Jonathan Byrd,69,"63' 5""",2535.167,40,-7
18,19,19,Tom Pernice Jr.,62,"63' 7""",2859.417,45,+6
19,20,20,Robert Allenby,76,"63' 9""",1976.5,31,+9
20,21,21,Graham DeLaet,79,"63' 10""",3127.417,49,-7
21,22,22,Chez Reavie,83,"64' 0""",2048.667,32,+5
22,23,23,Matt Every,80,"64' 3""",3018.333,47,-3
23,24,24,John Merrick,83,"64' 6""",3549.5,55,+3
