,Proximity_to_Hole_RANK THIS WEEK,Proximity_to_Hole_RANK LAST WEEK,Proximity_to_Hole_PLAYER NAME,Proximity_to_Hole_ROUNDS,Proximity_to_Hole_AVG,Proximity_to_Hole_TOTAL DISTANCE (FEET),Proximity_to_Hole_# OF ATTEMPTS,Proximity_to_Hole_GIR RANK
0,1,1,Steve Stricker,73,"32' 2""",31015.25,965,19
1,2,2,Roland Thatcher,55,"32' 6""",25454.5,783,25
2,3,3,Jim Furyk,85,"32' 10""",38354.25,1167,23
3,4,4,Jason Dufner,83,"33' 0""",37629.917,1141,8
4,T5,T5,Graeme McDowell,55,"33' 1""",22346.5,676,67
5,T5,T5,Rory McIlroy,60,"33' 1""",23694.667,717,60
6,T5,T5,Boo Weekley,74,"33' 1""",34298.167,1038,5
7,T8,T8,Tim Clark,60,"33' 3""",29816.917,897,117
8,T8,T8,Heath Slocum,93,"33' 3""",44679.25,1344,24
9,10,10,Vaughn Taylor,81,"33' 4""",38076.833,1142,65
10,T11,T11,Chez Reavie,83,"33' 7""",39830.833,1185,73
11,T11,T11,Tiger Woods,69,"33' 7""",28978.167,863,29
12,T13,T13,Russell Knox,72,"33' 8""",33784.167,1004,6
13,T13,T13,Charl Schwartzel,56,"33' 8""",24029.25,713,153
14,15,15,Kyle Thompson,51,"33' 9""",22368.417,662,108
15,16,16,Bo Van Pelt,84,"33' 10""",39337.917,1163,40
16,17,17,Dustin Johnson,70,"33' 11""",32163.333,949,81
17,T18,T18,Charlie Beljan,61,"34' 0""",26124.167,768,56
18,T18,T18,Ben Curtis,62,"34' 0""",29358.917,863,13
19,20,20,John Mallinger,74,"34' 1""",38521.583,1130,54
20,T21,T21,Gavin Coles,72,"34' 2""",34953.083,1022,119
21,T21,T21,Robert Garrigus,89,"34' 2""",45272.5,1324,7
22,23,23,Matt Kuchar,86,"34' 3""",40581.833,1185,86
23,T24,T24,Cameron Beckman,81,"34' 4""",42356.0,1234,89
24,T24,T24,Davis Love III,64,"34' 4""",32031.5,933,97
25,26,26,Kevin Stadler,85,"34' 5""",43135.5,1252,26
26,T27,T27,Brendon de Jonge,115,"34' 6""",62965.833,1827,8
27,T27,T27,Brian Harman,101,"34' 6""",54174.833,1572,127
28,T29,T29,Jason Bohn,81,"34' 7""",40870.083,1181,112
29,T29,T29,Matt Every,80,"34' 7""",39652.25,1147,68
30,T29,T29,Ryan Moore,89,"34' 7""",50079.667,1449,61
31,T29,T29,Justin Rose,69,"34' 7""",32912.917,951,1
32,T29,T29,David Toms,60,"34' 7""",27236.833,788,74
33,T34,T34,Luke Donald,63,"34' 8""",29866.833,862,100
34,T34,T34,Kyle Stanley,86,"34' 8""",43454.833,1254,41
35,T36,T36,Bud Cauley,99,"34' 9""",56643.167,1630,51
36,T36,T36,Scott Dunlap,57,"34' 9""",28668.167,824,38
37,T36,T36,Billy Horschel,63,"34' 9""",29874.5,860,14
38,T36,T36,Jeff Maggert,83,"34' 9""",48526.333,1398,83
39,T36,T36,Nick Watney,97,"34' 9""",47173.167,1359,58
40,T41,T41,Chad Campbell,84,"34' 10""",45625.333,1311,39
41,T41,T41,Louis Oosthuizen,65,"34' 10""",30610.417,878,15
42,T41,T41,Kyle Reifers,86,"34' 10""",45997.667,1321,33
43,T44,T44,Stephen Ames,54,"34' 11""",24383.333,698,160
44,T44,T44,Marco Dawson,60,"34' 11""",28720.5,823,150
45,T44,T44,Vijay Singh,99,"34' 11""",50516.75,1448,69
46,T47,T47,Brian Gay,91,"35' 0""",48727.667,1392,152
47,T47,T47,Bill Lunde,83,"35' 0""",41992.917,1201,30
48,T47,T47,Alexandre Rocha,62,"35' 0""",31165.333,891,44
49,T50,T50,Graham DeLaet,79,"35' 1""",44741.417,1276,46
