,Approaches_Left_Rough_RTP_Score_RANK THIS WEEK,Approaches_Left_Rough_RTP_Score_RANK LAST WEEK,Approaches_Left_Rough_RTP_Score_PLAYER NAME,Approaches_Left_Rough_RTP_Score_ROUNDS,Approaches_Left_Rough_RTP_Score_AVG RTP
0,1,1,Daniel Chopra,55,-.036
1,2,2,Rory McIlroy,60,-.034
2,3,3,Jim Furyk,85,-.029
3,4,4,Justin Rose,69,-.027
4,5,5,Billy Horschel,63,-.026
5,6,6,Bubba Watson,68,-.019
6,7,7,Charl Schwartzel,56,-.016
7,8,8,John Senden,81,-.011
8,9,9,Danny Lee,74,-.010
9,10,10,Bill Lunde,83,-.009
10,T11,T11,Charlie Beljan,61,E
11,T11,T11,Ángel Cabrera,54,E
12,T11,T11,Luke Donald,63,E
13,T11,T11,Sergio Garcia,57,E
14,15,15,Phil Mickelson,79,+.007
15,16,16,Aaron Baddeley,73,+.009
16,17,17,Ben Crane,73,+.010
17,18,18,Davis Love III,64,+.019
18,19,19,Tiger Woods,69,+.022
19,20,20,Troy Matteson,100,+.023
20,21,21,Josh Teater,97,+.025
21,22,22,Russell Knox,72,+.027
22,T23,T23,Pat Perez,81,+.031
23,T23,T23,Kyle Stanley,86,+.031
24,25,25,Ken Duke,104,+.033
25,26,26,Brendon de Jonge,115,+.036
26,27,27,Charles Howell III,98,+.041
27,28,28,Mark Wilson,84,+.042
28,29,29,Mathew Goggin,65,+.044
29,T30,T30,Webb Simpson,77,+.047
30,T30,T30,Jimmy Walker,101,+.047
31,32,32,Dustin Johnson,70,+.048
32,T33,T33,D.A. Points,88,+.049
33,T33,T33,David Toms,60,+.049
34,35,35,John Huh,99,+.050
35,T36,T36,Robert Garrigus,89,+.051
36,T36,T36,Matt Kuchar,86,+.051
37,38,38,Steve Stricker,73,+.053
38,39,39,Jason Day,57,+.058
39,T40,T40,Ernie Els,80,+.060
40,T40,T40,J.B. Holmes,90,+.060
41,42,42,Ryan Palmer,81,+.063
42,43,43,Bo Van Pelt,84,+.065
43,T44,T44,Mark Anderson,75,+.066
44,T44,T44,Padraig Harrington,67,+.066
45,46,46,Jeff Overton,101,+.068
