,Average_Approach_Distance_-_Bogey_or_Worse_RANK THIS WEEK,Average_Approach_Distance_-_Bogey_or_Worse_RANK LAST WEEK,Average_Approach_Distance_-_Bogey_or_Worse_PLAYER NAME,Average_Approach_Distance_-_Bogey_or_Worse_ROUNDS,Average_Approach_Distance_-_Bogey_or_Worse_AVG (YARDS),Average_Approach_Distance_-_Bogey_or_Worse_TOTAL DISTANCE (INCHES),Average_Approach_Distance_-_Bogey_or_Worse_NUMBER OF APPROACH SHOTS
0,T1,T1,Rory McIlroy,60,151.7,535174.0,98
1,T1,T1,Geoff Ogilvy,73,151.7,808262.0,148
2,3,3,Jason Kokrak,79,152.8,1171737.0,213
3,4,4,Marco Dawson,60,154.2,916000.0,165
4,5,5,J.J. Henry,93,155.3,1090186.0,195
5,6,6,Brandt Jobe,57,156.0,814417.0,145
6,T7,T7,Freddie Jacobson,61,156.2,798329.0,142
7,T7,T7,Matt Kuchar,86,156.2,916376.0,163
8,T7,T7,Louis Oosthuizen,65,156.2,759266.0,135
9,T10,T10,Mark Anderson,75,156.6,1246135.0,221
10,T10,T10,Bud Cauley,99,156.6,1358954.0,241
11,12,12,J.B. Holmes,90,156.8,1377505.0,244
12,T13,T13,Brian Harman,101,157.0,1424104.0,252
13,T13,T13,Edward Loar,59,157.0,910028.0,161
14,T15,T15,Ryan Moore,89,157.2,1324419.0,234
15,T15,T15,Cameron Tringale,88,157.2,1278889.0,226
16,17,17,Robert Karlsson,54,157.3,826979.0,146
17,18,18,Scott Stallings,78,157.5,1269982.0,224
18,19,19,Dicky Pride,62,157.6,862594.0,152
19,T20,T20,Henrik Stenson,51,157.7,698116.0,123
20,T20,T20,Josh Teater,97,157.7,1498432.0,264
21,T22,T22,Greg Chalmers,88,157.8,1204075.0,212
22,T22,T22,Charl Schwartzel,56,157.8,579314.0,102
23,T22,T22,Vaughn Taylor,81,157.8,1067865.0,188
24,T25,T25,Tommy Biershenk,74,158.3,1253680.0,220
25,T25,T25,John Daly,50,158.3,735324.0,129
26,27,27,Trevor Immelman,76,158.5,981160.0,172
27,28,28,Hunter Mahan,88,158.6,1021836.0,179
28,T29,T29,Matt Jones,53,158.7,777139.0,136
29,T29,T29,Troy Kelly,68,158.7,942397.0,165
30,T31,T31,Matt Every,80,158.8,1029114.0,180
