,Approach__125_yards_RTP_Score_RANK THIS WEEK,Approach__125_yards_RTP_Score_RANK LAST WEEK,Approach__125_yards_RTP_Score_PLAYER NAME,Approach__125_yards_RTP_Score_ROUNDS,Approach__125_yards_RTP_Score_AVG RTP
0,1,1,Zach Johnson,95,-.273
1,2,2,Will Claxton,99,-.251
2,3,3,Brandt Snedeker,81,-.243
3,4,4,David Mathis,83,-.238
4,5,5,Jonathan Byrd,69,-.235
5,6,6,Charlie Wi,86,-.224
6,7,7,Ben Curtis,62,-.220
7,8,8,Charley Hoffman,88,-.219
8,9,9,Graeme McDowell,55,-.214
9,10,10,Charl Schwartzel,56,-.213
10,T11,T11,Jason Dufner,83,-.210
11,T11,T11,William McGirt,96,-.210
12,T11,T11,Steve Wheatcroft,56,-.210
13,T14,T14,Jonas Blixt,72,-.208
14,T14,T14,Bubba Watson,68,-.208
15,16,16,John Senden,81,-.207
16,17,17,Nick O'Hern,78,-.206
17,18,18,John Daly,50,-.203
18,19,19,Phil Mickelson,79,-.198
19,20,20,Brian Gay,91,-.197
20,21,21,Justin Rose,69,-.196
21,22,22,Ken Duke,104,-.191
22,T23,T23,Sean O'Hair,84,-.190
23,T23,T23,Vaughn Taylor,81,-.190
24,25,25,Rocco Mediate,70,-.185
25,26,26,K.J. Choi,71,-.183
26,27,27,Martin Flores,95,-.181
27,T28,T28,Stuart Appleby,75,-.179
28,T28,T28,John Merrick,83,-.179
29,T30,T30,Luke Donald,63,-.178
30,T30,T30,Martin Laird,77,-.178
31,T30,T30,Greg Owen,90,-.178
32,33,33,Ryan Palmer,81,-.175
33,T34,T34,Jeff Overton,101,-.171
34,T34,T34,Heath Slocum,93,-.171
35,T36,T36,Matt Bettencourt,80,-.170
36,T36,T36,Jason Bohn,81,-.170
37,T36,T36,Nick Watney,97,-.170
38,T39,T39,Daniel Chopra,55,-.168
39,T39,T39,Mathew Goggin,65,-.168
40,T39,T39,Louis Oosthuizen,65,-.168
41,42,42,Jim Furyk,85,-.165
42,43,43,Jimmy Walker,101,-.164
43,T44,T44,Gary Christian,91,-.163
44,T44,T44,Jerry Kelly,84,-.163
45,T44,T44,Carl Pettersson,92,-.163
46,T47,T47,Brian Davis,91,-.160
47,T47,T47,John Huh,99,-.160
48,T47,T47,Webb Simpson,77,-.160
49,T47,T47,Josh Teater,97,-.160
50,51,51,Danny Lee,74,-.158
51,T52,T52,Tim Clark,60,-.156
52,T52,T52,Spencer Levin,81,-.156
53,T52,T52,Rory McIlroy,60,-.156
54,T55,T55,Russell Knox,72,-.155
55,T55,T55,Vijay Singh,99,-.155
56,T55,T55,Daniel Summerhays,81,-.155
57,58,58,Ryuji Imada,78,-.153
58,59,59,Pat Perez,81,-.152
59,T60,T60,Brendon de Jonge,115,-.151
60,T60,T60,Rickie Fowler,84,-.151
61,T62,T62,Bill Lunde,83,-.147
62,T62,T62,George McNeill,85,-.147
63,T62,T62,John Rollins,81,-.147
64,65,65,Padraig Harrington,67,-.146
65,T66,T66,Nathan Green,73,-.145
66,T66,T66,Richard Lee,71,-.145
67,T66,T66,Marc Leishman,84,-.145
68,T66,T66,Justin Leonard,79,-.145
69,T66,T66,"Ted Potter, Jr.",77,-.145
70,T71,T71,Matt Kuchar,86,-.144
71,T71,T71,Y.E. Yang,64,-.144
72,T73,T73,Jeff Maggert,83,-.141
73,T73,T73,Rod Pampling,88,-.141
74,T73,T73,Kyle Reifers,86,-.141
75,T76,T76,Aaron Baddeley,73,-.139
76,T76,T76,Garth Mulroy,59,-.139
77,T78,T78,Ricky Barnes,92,-.138
78,T78,T78,Ángel Cabrera,54,-.138
79,T78,T78,Steve Stricker,73,-.138
80,T81,T81,Bill Haas,79,-.135
81,T81,T81,John Mallinger,74,-.135
82,T81,T81,D.A. Points,88,-.135
83,84,84,Kevin Kisner,69,-.134
84,85,85,Bryce Molder,83,-.133
85,86,86,Kevin Stadler,85,-.132
86,87,87,Roberto Castro,92,-.130
87,88,88,Ryan Moore,89,-.129
88,89,89,Tommy Biershenk,74,-.128
89,T90,T90,David Hearn,95,-.124
90,T90,T90,Billy Hurley III,70,-.124
91,92,92,Johnson Wagner,88,-.121
92,93,93,Blake Adams,107,-.119
93,T94,T94,Alexandre Rocha,62,-.118
94,T94,T94,Tiger Woods,69,-.118
95,96,96,Tommy Gainey,98,-.117
96,T97,T97,Ben Crane,73,-.114
97,T97,T97,Kyle Stanley,86,-.114
98,T97,T97,Lee Westwood,60,-.114
99,T100,T100,Charlie Beljan,61,-.113
100,T100,T100,Keegan Bradley,90,-.113
101,T100,T100,Billy Mayfair,90,-.113
102,103,103,Chris Kirk,93,-.111
103,T104,T104,Chris DiMarco,83,-.110
104,T104,T104,Bobby Gates,87,-.110
105,106,106,Ian Poulter,57,-.108
106,107,107,J.B. Holmes,90,-.107
107,T108,T108,Jason Day,57,-.106
108,T108,T108,Dustin Johnson,70,-.106
109,T108,T108,Bo Van Pelt,84,-.106
110,111,111,Andres Romero,68,-.104
111,T112,T112,Chez Reavie,83,-.102
112,T112,T112,Brendan Steele,77,-.102
113,T114,T114,Miguel Angel Carballo,73,-.101
114,T114,T114,Troy Kelly,68,-.101
115,T114,T114,Rory Sabbatini,84,-.101
116,T114,T114,Mark Wilson,84,-.101
117,118,118,Matt Every,80,-.099
118,119,119,Charles Howell III,98,-.097
119,120,120,Graham DeLaet,79,-.096
120,121,121,Erik Compton,81,-.095
121,T122,T122,Gavin Coles,72,-.093
122,T122,T122,Camilo Villegas,79,-.093
123,T124,T124,Scott Brown,65,-.092
124,T124,T124,Harris English,98,-.092
125,T124,T124,Freddie Jacobson,61,-.092
126,T124,T124,Roland Thatcher,55,-.092
127,T128,T128,J.J. Henry,93,-.091
128,T128,T128,Troy Matteson,100,-.091
129,130,130,Kevin Chappell,91,-.090
130,131,131,Tom Gillis,75,-.089
131,132,132,Greg Chalmers,88,-.087
132,T133,T133,Billy Horschel,63,-.086
133,T133,T133,Edward Loar,59,-.086
134,T135,T135,Chad Campbell,84,-.084
135,T135,T135,Ernie Els,80,-.084
136,T137,T137,Kevin Na,80,-.083
137,T137,T137,Scott Piercy,95,-.083
138,139,139,Jason Kokrak,79,-.082
139,140,140,Sergio Garcia,57,-.080
140,141,141,Boo Weekley,74,-.079
141,T142,T142,Stephen Ames,54,-.076
142,T142,T142,Adam Scott,59,-.076
143,144,144,Marco Dawson,60,-.075
144,145,145,Davis Love III,64,-.073
145,146,146,Hunter Haas,69,-.072
146,147,147,Seung-Yul Noh,105,-.071
147,T148,T148,Chris Stroud,86,-.070
148,T148,T148,Cameron Tringale,88,-.070
149,150,150,Brian Harman,101,-.066
150,T151,T151,Scott Stallings,78,-.065
151,T151,T151,Michael Thompson,80,-.065
152,153,153,Tom Pernice Jr.,62,-.063
153,154,154,Dicky Pride,62,-.060
154,155,155,Brendon Todd,78,-.058
155,156,156,Tim Herron,88,-.056
156,157,157,Sung Kang,75,-.055
157,158,158,Mark Anderson,75,-.053
158,T159,T159,Robert Allenby,76,-.052
159,T159,T159,Cameron Beckman,81,-.052
160,T161,T161,J.J. Killeen,101,-.050
161,T161,T161,D.J. Trahan,73,-.050
162,T163,T163,Michael Bradley,63,-.049
163,T163,T163,Kevin Streelman,89,-.049
164,T165,T165,Robert Garrigus,89,-.045
165,T165,T165,Robert Karlsson,54,-.045
166,T167,T167,Arjun Atwal,79,-.043
167,T167,T167,Stephen Gangluff,57,-.043
168,169,169,Geoff Ogilvy,73,-.042
169,170,170,Henrik Stenson,51,-.041
170,T171,T171,Kris Blanks,65,-.037
171,T171,T171,Scott Dunlap,57,-.037
172,173,173,Colt Knost,79,-.035
173,174,174,Patrick Sheehan,58,-.034
174,175,175,Jhonattan Vegas,77,-.033
175,176,176,Bud Cauley,99,-.032
176,177,177,Trevor Immelman,76,-.030
177,178,178,Kyle Thompson,51,-.029
178,179,179,Chris Couch,61,-.025
179,180,180,James Driscoll,83,-.020
180,181,181,Hunter Mahan,88,-.018
181,182,182,Stewart Cink,71,-.017
182,183,183,Harrison Frazar,56,-.016
183,184,184,David Toms,60,-.015
184,185,185,Bob Estes,78,-.012
185,186,186,Derek Lamely,64,-.008
186,187,187,Ryo Ishikawa,54,E
187,188,188,Matt Jones,53,+.009
188,189,189,Gary Woodland,70,+.031
189,190,190,Sangmoon Bae,81,+.034
190,191,191,Brandt Jobe,57,+.069
