,Average_Distance_to_Hole_After_Tee_Shot_RANK THIS WEEK,Average_Distance_to_Hole_After_Tee_Shot_RANK LAST WEEK,Average_Distance_to_Hole_After_Tee_Shot_PLAYER NAME,Average_Distance_to_Hole_After_Tee_Shot_ROUNDS,Average_Distance_to_Hole_After_Tee_Shot_AVG,Average_Distance_to_Hole_After_Tee_Shot_TOTAL DIST AFTER TEE SHOT,Average_Distance_to_Hole_After_Tee_Shot_TOTAL TEE SHOTS
0,1,1,Bubba Watson,68,152.2,3885791.0,709
1,2,2,John Daly,50,154.5,2886568.0,519
2,3,3,Charlie Beljan,61,155.3,3316190.0,593
3,4,4,J.B. Holmes,90,158.0,6070610.0,1067
4,5,5,Scott Stallings,78,161.2,5436851.0,937
5,6,6,Dustin Johnson,70,161.3,4232966.0,729
6,7,7,Edward Loar,59,161.8,3430532.0,589
7,8,8,Robert Garrigus,89,161.9,5944747.0,1020
8,9,9,Kyle Stanley,86,163.1,5695790.0,970
9,10,10,Harrison Frazar,56,163.2,3883788.0,661
10,11,11,Rory McIlroy,60,163.3,3273939.0,557
11,T12,T12,Jason Kokrak,79,163.5,5516299.0,937
12,T12,T12,Gary Woodland,70,163.5,4244625.0,721
13,14,14,Keegan Bradley,90,164.9,5829569.0,982
14,15,15,Jhonattan Vegas,77,165.1,5592410.0,941
15,16,16,Sean O'Hair,84,165.2,6227452.0,1047
16,T17,T17,Ryan Palmer,81,165.3,5784312.0,972
17,T17,T17,Scott Piercy,95,165.3,7049766.0,1185
18,19,19,Josh Teater,97,165.5,6796602.0,1141
19,20,20,Graham DeLaet,79,165.6,5811062.0,975
20,T21,T21,Daniel Chopra,55,165.8,3498719.0,586
21,T21,T21,Billy Horschel,63,165.8,3962135.0,664
22,23,23,Robert Karlsson,54,166.6,3375722.0,563
23,24,24,Rory Sabbatini,84,167.2,5953088.0,989
24,25,25,Troy Kelly,68,167.5,4203669.0,697
25,26,26,Ángel Cabrera,54,167.8,3038178.0,503
26,27,27,Garth Mulroy,59,168.3,3829406.0,632
27,T28,T28,Scott Brown,65,168.5,4247240.0,700
28,T28,T28,Martin Flores,95,168.5,6828292.0,1126
29,T28,T28,Boo Weekley,74,168.5,4865125.0,802
30,T31,T31,Harris English,98,168.6,7271360.0,1198
31,T31,T31,Tommy Gainey,98,168.6,7479890.0,1232
32,T31,T31,Bobby Gates,87,168.6,6354531.0,1047
33,T31,T31,Martin Laird,77,168.6,4509220.0,743
34,T31,T31,Troy Matteson,100,168.6,6893949.0,1136
35,36,36,Davis Love III,64,168.7,4365461.0,719
36,37,37,Matt Jones,53,168.8,3608813.0,594
37,T38,T38,Mark Anderson,75,168.9,5089164.0,837
38,T38,T38,Jason Day,57,168.9,3920923.0,645
39,T40,T40,Seung-Yul Noh,105,169.2,7127856.0,1170
40,T40,T40,Louis Oosthuizen,65,169.2,4086544.0,671
41,T42,T42,Kevin Kisner,69,169.3,4425189.0,726
42,T42,T42,Vijay Singh,99,169.3,6787629.0,1114
43,T44,T44,Aaron Baddeley,73,169.4,4629758.0,759
