,GIR_Percentage_-_200_yards_RANK THIS WEEK,GIR_Percentage_-_200_yards_RANK LAST WEEK,GIR_Percentage_-_200_yards_PLAYER NAME,GIR_Percentage_-_200_yards_ROUNDS,GIR_Percentage_-_200_yards_%,GIR_Percentage_-_200_yards_GREENS HIT,GIR_Percentage_-_200_yards_TOTAL HOLES,GIR_Percentage_-_200_yards_RELATIVE TO PAR
0,1,1,Chris Couch,61,62.5,65,104,-0.15
1,2,2,Charlie Beljan,61,59.46,44,74,-0.07
2,3,3,Harris English,98,59.12,107,181,-0.05
3,4,4,Louis Oosthuizen,65,57.43,58,101,-0.16
4,5,5,Justin Rose,69,56.82,75,132,-0.20
5,6,6,Webb Simpson,77,55.63,89,160,-0.21
6,7,7,Scott Dunlap,57,54.31,63,116,E
7,8,8,Dustin Johnson,70,54.29,57,105,-0.11
8,9,9,Steve Stricker,73,54.11,79,146,-0.05
9,T10,T10,Davis Love III,64,53.85,63,117,-0.17
10,T10,T10,Bubba Watson,68,53.85,56,104,+0.04
11,12,12,Russell Knox,72,53.52,76,142,-0.04
12,13,13,Gary Christian,91,53.51,99,185,-0.08
13,14,14,Charley Hoffman,88,53.22,91,171,-0.10
14,15,15,Bill Lunde,83,53.06,78,147,-0.04
15,16,16,Boo Weekley,74,53.04,61,115,-0.07
16,17,17,John Huh,99,52.86,111,210,-0.10
17,18,18,Alexandre Rocha,62,52.1,62,119,-0.03
18,19,19,Daniel Summerhays,81,52.07,88,169,-0.10
19,20,20,Kevin Streelman,89,52.02,90,173,-0.09
20,21,21,Scott Piercy,95,51.58,98,190,-0.11
21,22,22,John Daly,50,51.32,39,76,-0.15
22,23,23,Jason Kokrak,79,51.08,71,139,-0.03
23,24,24,Matt Every,80,51.02,75,147,-0.03
24,25,25,Ryan Moore,89,51.0,102,200,-0.14
25,26,26,Henrik Stenson,51,50.96,53,104,-0.08
26,27,27,Tim Herron,88,50.88,87,171,-0.16
27,28,28,Jonathan Byrd,69,50.76,67,132,+0.09
28,29,29,Robert Garrigus,89,50.65,78,154,-0.17
29,30,30,Greg Owen,90,50.51,99,196,E
30,31,31,Brendon de Jonge,115,50.44,115,228,-0.15
31,32,32,Tiger Woods,69,50.42,60,119,-0.23
32,33,33,Cameron Tringale,88,50.27,93,185,-0.08
33,T34,T34,Keegan Bradley,90,50.0,73,146,-0.11
34,T34,T34,John Senden,81,50.0,73,146,-0.19
35,T34,T34,Roland Thatcher,55,50.0,50,100,-0.10
36,T37,T37,Kevin Chappell,91,49.7,82,165,+0.01
37,T37,T37,Sean O'Hair,84,49.7,82,165,-0.09
38,39,39,Jason Dufner,83,49.66,74,149,-0.07
39,40,40,Charl Schwartzel,56,49.48,48,97,-0.02
40,41,41,Matt Kuchar,86,49.41,84,170,-0.19
41,42,42,Ángel Cabrera,54,49.4,41,83,E
42,43,43,Josh Teater,97,49.13,85,173,-0.13
43,44,44,Jhonattan Vegas,77,49.03,76,155,-0.07
44,45,45,Graeme McDowell,55,49.02,50,102,-0.14
45,46,46,Nick Watney,97,48.95,93,190,-0.01
46,47,47,Kevin Stadler,85,48.94,69,141,-0.13
47,48,48,Bo Van Pelt,84,48.87,65,133,-0.14
48,49,49,Michael Thompson,80,48.81,82,168,-0.13
49,50,50,Scott Brown,65,48.62,53,109,-0.09
50,T51,T51,Brandt Jobe,57,48.6,52,107,-0.06
51,T51,T51,Garth Mulroy,59,48.6,52,107,-0.17
52,T53,T53,Billy Horschel,63,48.54,50,103,-0.08
53,T53,T53,Ryo Ishikawa,54,48.54,50,103,-0.12
54,55,55,Roberto Castro,92,48.5,81,167,-0.07
55,56,56,Geoff Ogilvy,73,48.33,58,120,-0.14
56,57,57,Adam Scott,59,48.28,42,87,-0.10
57,58,58,Kris Blanks,65,48.2,67,139,-0.13
58,59,59,Steve Wheatcroft,56,48.15,52,108,-0.10
59,60,60,Seung-Yul Noh,105,47.98,83,173,-0.07
60,61,61,Andres Romero,68,47.73,63,132,-0.13
61,62,62,Rod Pampling,88,47.57,88,185,-0.03
62,63,63,Jerry Kelly,84,47.52,96,202,-0.07
63,64,64,Phil Mickelson,79,47.47,75,158,-0.13
64,65,65,Gary Woodland,70,47.37,63,133,-0.16
