,Right_Rough_Proximity_RANK THIS WEEK,Right_Rough_Proximity_RANK LAST WEEK,Right_Rough_Proximity_PLAYER NAME,Right_Rough_Proximity_ROUNDS,Right_Rough_Proximity_AVG,Right_Rough_Proximity_ATTEMPTS,Right_Rough_Proximity_TOTAL DISTANCE (FEET),Right_Rough_Proximity_RELATIVE TO PAR
0,1,1,Charlie Beljan,61,"34' 10""",98,3413.833,+4.00
1,2,2,Bubba Watson,68,"37' 2""",116,4311.417,-6.00
2,3,3,Ben Crane,73,"37' 5""",104,3893.75,-13.00
3,4,4,Ángel Cabrera,54,"37' 6""",73,2736.0,+9.00
4,5,5,Troy Kelly,68,"38' 8""",107,4136.25,+11.00
5,6,6,Charlie Wi,86,"38' 11""",145,5640.5,+19.00
6,T7,T7,Jonas Blixt,72,"39' 0""",122,4760.667,+2.00
7,T7,T7,David Toms,60,"39' 0""",65,2532.417,+3.00
8,9,9,Kevin Kisner,69,"39' 2""",108,4226.0,+23.00
9,10,10,Roland Thatcher,55,"39' 3""",70,2746.167,+12.00
10,11,11,Scott Dunlap,57,"39' 7""",96,3803.583,+6.00
11,T12,T12,Garth Mulroy,59,"39' 9""",75,2979.75,-2.00
12,T12,T12,Bo Van Pelt,84,"39' 9""",92,3655.333,+4.00
13,14,14,Gavin Coles,72,"39' 11""",79,3151.417,+4.00
14,T15,T15,Jonathan Byrd,69,"40' 0""",100,4001.583,+1.00
15,T15,T15,Dustin Johnson,70,"40' 0""",108,4319.667,-3.00
16,T15,T15,John Mallinger,74,"40' 0""",110,4403.167,+34.00
17,18,18,Tommy Gainey,98,"40' 2""",185,7426.6669999999995,+14.00
18,19,19,Scott Brown,65,"40' 3""",91,3663.25,+13.00
19,20,20,Webb Simpson,77,"40' 4""",110,4437.083,-17.00
20,T21,T21,Cameron Beckman,81,"40' 5""",133,5375.75,+14.00
21,T21,T21,Steve Stricker,73,"40' 5""",81,3272.0,-5.00
22,23,23,Robert Allenby,76,"40' 6""",112,4537.833,+29.00
23,T24,T24,Erik Compton,81,"40' 7""",137,5560.8330000000005,+8.00
24,T24,T24,Ben Curtis,62,"40' 7""",67,2716.75,E
25,T24,T24,Padraig Harrington,67,"40' 7""",97,3935.5,+9.00
26,T24,T24,Graeme McDowell,55,"40' 7""",47,1908.6670000000001,+8.00
27,T28,T28,Keegan Bradley,90,"40' 8""",131,5330.3330000000005,+8.00
