,Longest_Hole_Outs_in_yards_RANK THIS WEEK,Longest_Hole_Outs_in_yards_RANK LAST WEEK,Longest_Hole_Outs_in_yards_PLAYER NAME,Longest_Hole_Outs_in_yards_ROUNDS,Longest_Hole_Outs_in_yards_DISTANCE,Longest_Hole_Outs_in_yards_TOURNAMENT,Longest_Hole_Outs_in_yards_ROUND- COURSE,Longest_Hole_Outs_in_yards_HOLE
0,1,1,Sam Saunders,9,230,Humana Challenge in partnership with the Clinton Foundation,3,5
1,2,2,Diego Velásquez,3,223,Valero Texas Open,2,13
2,3,3,Kevin Na,80,221,Hyundai Tournament of Champions,2,17
3,T4,4,Kris Blanks,65,218,Transitions Championship,4,17
4,T4,5,Dicky Pride,62,218,FedEx St. Jude Classic,2,18
5,6,6,Sergio Garcia,57,207,Northern Trust Open,4,15
6,7,7,Billy Mayfair,90,202,RBC Heritage,1,7
7,T8,8,Ryan Moore,89,201,Arnold Palmer Invitational presented by MasterCard,1,7
8,T8,9,Anthony Kim,20,201,Arnold Palmer Invitational presented by MasterCard,1,17
9,T10,10,Roberto Castro,92,199,Wells Fargo Championship,1,3
10,T10,11,Steve Stricker,73,199,BMW Championship,2,6
11,12,12,Johnson Wagner,88,198,Northern Trust Open,3,15
12,T13,13,Jeff Overton,101,196,Wyndham Championship,3,12
13,T13,14,Davis Love III,64,196,The Honda Classic,1,5
14,T15,15,Gavin Coles,72,194,Sony Open in Hawaii,1,5
15,T15,16,Chez Reavie,83,194,AT&T National,4,13
16,T15,17,Nick O'Hern,78,194,Farmers Insurance Open,4,3
17,18,18,Charles Howell III,98,192,The Honda Classic,4,7
18,T19,19,Chris Kirk,93,190,The Barclays,2,17
19,T19,20,Stewart Cink,71,190,Transitions Championship,3,8
20,T19,18,Charles Howell III,98,190,Zurich Classic of New Orleans,4,9
21,22,22,Chad Campbell,84,188,John Deere Classic,2,15
22,T23,17,Nick O'Hern,78,184,Shell Houston Open,2,6
