,Approaches_Right_Rough_RTP_Score_RANK THIS WEEK,Approaches_Right_Rough_RTP_Score_RANK LAST WEEK,Approaches_Right_Rough_RTP_Score_PLAYER NAME,Approaches_Right_Rough_RTP_Score_ROUNDS,Approaches_Right_Rough_RTP_Score_AVG RTP
0,1,1,Webb Simpson,77,-.155
1,2,2,Ben Crane,73,-.125
2,3,3,Steve Stricker,73,-.062
3,4,4,Bubba Watson,68,-.052
4,5,5,Dustin Johnson,70,-.028
5,6,6,Garth Mulroy,59,-.027
6,7,7,Ben Curtis,62,E
7,8,8,Seung-Yul Noh,105,+.006
8,9,9,Jason Day,57,+.009
9,10,10,Jonathan Byrd,69,+.010
10,11,11,D.A. Points,88,+.014
11,12,12,Jonas Blixt,72,+.016
12,13,13,Ian Poulter,57,+.017
13,14,14,Louis Oosthuizen,65,+.023
14,15,15,Matt Every,80,+.025
15,16,16,Kyle Stanley,86,+.032
16,17,17,Justin Rose,69,+.037
17,18,18,Kevin Na,80,+.038
18,T19,T19,Chris Couch,61,+.040
19,T19,T19,William McGirt,96,+.040
20,21,21,Charlie Beljan,61,+.041
21,22,22,Bo Van Pelt,84,+.043
22,23,23,David Toms,60,+.046
23,24,24,Rickie Fowler,84,+.047
24,25,25,Gavin Coles,72,+.051
25,26,26,Luke Donald,63,+.055
26,27,27,Henrik Stenson,51,+.056
27,28,28,Erik Compton,81,+.058
28,29,29,Robert Garrigus,89,+.059
29,T30,T30,Keegan Bradley,90,+.061
30,T30,T30,Chris Stroud,86,+.061
31,32,32,Scott Dunlap,57,+.063
32,33,33,Sergio Garcia,57,+.066
33,T34,T34,Graham DeLaet,79,+.068
34,T34,T34,Zach Johnson,95,+.068
35,T34,T34,Rory McIlroy,60,+.068
36,T37,T37,Bud Cauley,99,+.072
37,T37,T37,Scott Piercy,95,+.072
38,T39,T39,Tommy Gainey,98,+.076
39,T39,T39,Martin Laird,77,+.076
40,T39,T39,Brendan Steele,77,+.076
41,42,42,Boo Weekley,74,+.077
42,43,43,Charl Schwartzel,56,+.081
43,44,44,Tiger Woods,69,+.082
44,45,45,Charles Howell III,98,+.083
