,GIR_Percentage_-_100_yards_RANK THIS WEEK,GIR_Percentage_-_100_yards_RANK LAST WEEK,GIR_Percentage_-_100_yards_PLAYER NAME,GIR_Percentage_-_100_yards_ROUNDS,GIR_Percentage_-_100_yards_%,GIR_Percentage_-_100_yards_GREENS HIT,GIR_Percentage_-_100_yards_TOTAL HOLES,GIR_Percentage_-_100_yards_RELATIVE TO PAR
0,1,1,Steve Stricker,73,68.62,538,784,-0.22
1,2,2,Lee Westwood,60,67.3,389,578,-0.2
2,3,3,Ben Curtis,62,67.13,486,724,-0.21
3,4,4,Jason Dufner,83,67.09,632,942,-0.22
4,5,5,Russell Knox,72,66.82,568,850,-0.16
5,6,6,Justin Rose,69,66.8,517,774,-0.17
6,7,7,Alexandre Rocha,62,66.76,502,752,-0.14
7,8,8,Tiger Woods,69,66.3,480,724,-0.22
8,9,9,Heath Slocum,93,66.19,744,1124,-0.15
9,10,10,Jim Furyk,85,66.13,656,992,-0.21
10,11,11,Boo Weekley,74,65.92,557,845,-0.13
11,12,12,Louis Oosthuizen,65,65.91,462,701,-0.17
12,13,13,Graeme McDowell,55,65.82,364,553,-0.2
13,T14,T14,Brendon de Jonge,115,65.79,1004,1526,-0.19
14,T14,T14,Scott Dunlap,57,65.79,448,681,-0.17
15,16,16,Camilo Villegas,79,65.76,703,1069,-0.15
16,17,17,J.J. Henry,93,65.74,706,1074,-0.16
17,18,18,Hunter Mahan,88,65.51,602,919,-0.18
18,19,19,Kevin Stadler,85,65.4,673,1029,-0.18
19,20,20,Bubba Watson,68,65.31,416,637,-0.15
20,21,21,Billy Horschel,63,65.26,449,688,-0.18
21,22,22,Tim Herron,88,64.99,735,1131,-0.17
22,23,23,John Merrick,83,64.91,688,1060,-0.15
23,24,24,Keegan Bradley,90,64.82,645,995,-0.19
24,25,25,Webb Simpson,77,64.79,611,943,-0.23
25,26,26,Rory McIlroy,60,64.76,373,576,-0.24
26,27,27,Will Claxton,99,64.71,816,1261,-0.19
27,28,28,Greg Owen,90,64.66,719,1112,-0.15
28,29,29,Matt Every,80,64.61,597,924,-0.19
29,30,30,Ricky Barnes,92,64.56,796,1233,-0.15
30,31,31,Roland Thatcher,55,64.53,422,654,-0.16
31,T32,T32,Robert Garrigus,89,64.46,673,1044,-0.2
32,T32,T32,Vaughn Taylor,81,64.46,613,951,-0.19
33,34,34,Roberto Castro,92,64.41,704,1093,-0.17
34,35,35,Nick Watney,97,64.36,706,1097,-0.17
35,36,36,Gary Christian,91,64.34,738,1147,-0.18
36,T37,T37,Charlie Beljan,61,64.3,380,591,-0.14
37,T37,T37,Steve Wheatcroft,56,64.3,389,605,-0.15
38,39,39,Bill Lunde,83,64.28,619,963,-0.17
39,T40,T40,Richard Lee,71,64.24,546,850,-0.21
40,T40,T40,Chez Reavie,83,64.24,643,1001,-0.16
41,42,42,Kyle Stanley,86,64.18,636,991,-0.14
42,43,43,Garth Mulroy,59,64.17,428,667,-0.19
43,44,44,Sean O'Hair,84,64.14,676,1054,-0.15
44,45,45,Bo Van Pelt,84,64.12,613,956,-0.22
45,46,46,Kyle Reifers,86,64.09,696,1086,-0.15
46,47,47,John Senden,81,64.08,569,888,-0.2
47,48,48,Graham DeLaet,79,64.04,659,1029,-0.16
48,49,49,Harris English,98,64.01,811,1267,-0.17
49,50,50,Scott Piercy,95,63.99,773,1208,-0.21
50,51,51,Adam Scott,59,63.95,376,588,-0.18
51,52,52,Ryan Moore,89,63.84,775,1214,-0.23
52,53,53,D.A. Points,88,63.79,754,1182,-0.2
53,54,54,Davis Love III,64,63.77,491,770,-0.22
54,55,55,Daniel Summerhays,81,63.63,642,1009,-0.17
55,56,56,Kris Blanks,65,63.52,566,891,-0.14
56,57,57,Luke Donald,63,63.46,462,728,-0.2
57,58,58,Brendan Steele,77,63.45,585,922,-0.12
58,59,59,Chad Campbell,84,63.42,690,1088,-0.17
59,60,60,Seung-Yul Noh,105,63.41,773,1219,-0.17
60,61,61,William McGirt,96,63.32,739,1167,-0.15
61,62,62,Charles Howell III,98,63.3,714,1128,-0.14
62,63,63,Robert Allenby,76,63.29,638,1008,-0.17
63,64,64,Blake Adams,107,63.28,817,1291,-0.18
64,65,65,Sergio Garcia,57,63.18,405,641,-0.19
65,T66,T66,Charl Schwartzel,56,63.17,367,581,-0.2
66,T66,T66,David Toms,60,63.17,410,649,-0.18
67,68,68,Cameron Beckman,81,63.08,651,1032,-0.17
68,69,69,Kevin Streelman,89,63.03,704,1117,-0.19
69,70,70,David Hearn,95,62.99,844,1340,-0.17
70,T71,T71,Mathew Goggin,65,62.97,500,794,-0.14
71,T71,T71,Johnson Wagner,88,62.97,704,1118,-0.17
72,T73,T73,Vijay Singh,99,62.95,729,1158,-0.17
73,T73,T73,Cameron Tringale,88,62.95,695,1104,-0.15
74,75,75,Michael Bradley,63,62.86,501,797,-0.16
75,76,76,Bud Cauley,99,62.7,817,1303,-0.16
76,77,77,John Huh,99,62.67,799,1275,-0.18
77,78,78,Jason Kokrak,79,62.6,611,976,-0.15
78,79,79,Jason Bohn,81,62.56,625,999,-0.19
79,80,80,Chris Kirk,93,62.49,763,1221,-0.2
80,81,81,Jhonattan Vegas,77,62.46,604,967,-0.16
81,82,82,Nathan Green,73,62.43,525,841,-0.18
82,83,83,Dustin Johnson,70,62.38,461,739,-0.18
83,T84,T84,Scott Brown,65,62.22,466,749,-0.17
84,T84,T84,Ernie Els,80,62.22,593,953,-0.15
85,86,86,D.J. Trahan,73,62.13,566,911,-0.14
86,T87,T87,Gavin Coles,72,62.03,549,885,-0.21
87,T87,T87,Pat Perez,81,62.03,637,1027,-0.17
88,89,89,John Mallinger,74,62.02,601,969,-0.17
89,90,90,Jerry Kelly,84,61.98,688,1110,-0.18
90,91,91,Carl Pettersson,92,61.94,729,1177,-0.23
91,T92,T92,Jeff Maggert,83,61.93,719,1161,-0.17
92,T92,T92,Scott Stallings,78,61.93,589,951,-0.13
93,94,94,Ángel Cabrera,54,61.79,325,526,-0.16
94,95,95,Charley Hoffman,88,61.71,656,1063,-0.14
95,T96,T96,Stewart Cink,71,61.68,491,796,-0.17
96,T96,T96,Kyle Thompson,51,61.68,338,548,-0.15
97,98,98,Rod Pampling,88,61.64,630,1022,-0.14
98,99,99,Brandt Jobe,57,61.63,416,675,-0.16
99,100,100,Tim Clark,60,61.62,448,727,-0.19
100,101,101,Bryce Molder,83,61.57,673,1093,-0.19
101,102,102,Josh Teater,97,61.55,709,1152,-0.14
102,103,103,Martin Laird,77,61.5,452,735,-0.15
103,104,104,Bill Haas,79,61.43,532,866,-0.15
104,105,105,Zach Johnson,95,61.42,675,1099,-0.21
105,106,106,Rickie Fowler,84,61.38,580,945,-0.17
106,107,107,Mark Wilson,84,61.36,624,1017,-0.14
107,108,108,Michael Thompson,80,61.33,609,993,-0.17
108,109,109,Jeff Overton,101,61.32,799,1303,-0.21
109,110,110,Danny Lee,74,61.3,518,845,-0.18
110,T111,T111,Stuart Appleby,75,61.19,585,956,-0.15
111,T111,T111,Miguel Angel Carballo,73,61.19,503,822,-0.14
112,T111,T111,Ken Duke,104,61.19,820,1340,-0.21
113,114,114,Ian Poulter,57,61.1,344,563,-0.21
114,T115,T115,Trevor Immelman,76,61.01,521,854,-0.15
115,T115,T115,Ryan Palmer,81,61.01,604,990,-0.2
116,T117,T117,Matt Jones,53,60.98,386,633,-0.13
117,T117,T117,Brandt Snedeker,81,60.98,597,979,-0.21
118,119,119,John Rollins,81,60.96,612,1004,-0.15
119,120,120,Matt Kuchar,86,60.93,591,970,-0.21
120,121,121,Bobby Gates,87,60.88,663,1089,-0.14
121,122,122,Jonathan Byrd,69,60.78,482,793,-0.16
122,123,123,K.J. Choi,71,60.77,508,836,-0.16
123,124,124,Gary Woodland,70,60.72,436,718,-0.11
124,125,125,Phil Mickelson,79,60.68,500,824,-0.21
125,126,126,Arjun Atwal,79,60.61,600,990,-0.17
126,127,127,Stephen Ames,54,60.54,362,598,-0.12
127,128,128,Henrik Stenson,51,60.52,371,613,-0.15
128,129,129,"Ted Potter, Jr.",77,60.51,550,909,-0.16
129,130,130,Troy Matteson,100,60.42,722,1195,-0.16
130,131,131,Nick O'Hern,78,60.38,637,1055,-0.17
131,T132,T132,Troy Kelly,68,60.29,457,758,-0.15
132,T132,T132,Jimmy Walker,101,60.29,800,1327,-0.18
133,134,134,Chris Couch,61,60.21,457,759,-0.17
134,135,135,J.B. Holmes,90,60.15,622,1034,-0.16
135,136,136,Padraig Harrington,67,60.03,395,658,-0.19
136,137,137,Rocco Mediate,70,60.0,510,850,-0.17
137,138,138,Freddie Jacobson,61,59.91,384,641,-0.18
138,139,139,Geoff Ogilvy,73,59.9,469,783,-0.17
139,140,140,Brian Harman,101,59.87,752,1256,-0.2
140,141,141,Mark Anderson,75,59.84,529,884,-0.16
141,142,142,Chris Stroud,86,59.82,658,1100,-0.16
142,143,143,Jason Day,57,59.73,402,673,-0.2
143,144,144,Colt Knost,79,59.71,627,1050,-0.18
144,T145,T145,Ben Crane,73,59.65,516,865,-0.21
145,T145,T145,Billy Mayfair,90,59.65,686,1150,-0.14
146,T147,T147,Martin Flores,95,59.61,707,1186,-0.19
147,T147,T147,Tommy Gainey,98,59.61,788,1322,-0.19
148,T149,T149,Kevin Chappell,91,59.6,624,1047,-0.13
149,T149,T149,Tom Gillis,75,59.6,596,1000,-0.18
150,151,151,Kevin Na,80,59.56,564,947,-0.21
151,152,152,Brian Davis,91,59.43,693,1166,-0.22
152,153,153,Hunter Haas,69,59.39,446,751,-0.17
153,154,154,George McNeill,85,59.37,618,1041,-0.16
154,155,155,Robert Karlsson,54,59.3,338,570,-0.17
155,156,156,Jonas Blixt,72,59.28,546,921,-0.23
156,157,157,Dicky Pride,62,59.24,439,741,-0.19
157,158,158,Marc Leishman,84,59.1,653,1105,-0.14
158,159,159,David Mathis,83,58.98,624,1058,-0.21
159,160,160,Brian Gay,91,58.75,688,1171,-0.19
160,161,161,James Driscoll,83,58.52,601,1027,-0.19
161,162,162,Marco Dawson,60,58.43,395,676,-0.2
162,163,163,Derek Lamely,64,58.35,475,814,-0.19
163,164,164,Harrison Frazar,56,58.26,381,654,-0.17
164,165,165,Bob Estes,78,58.23,573,984,-0.2
165,166,166,John Daly,50,57.96,295,509,-0.19
166,167,167,Tom Pernice Jr.,62,57.87,456,788,-0.14
167,T168,T168,Edward Loar,59,57.79,345,597,-0.17
168,T168,T168,Patrick Sheehan,58,57.79,382,661,-0.15
169,170,170,Kevin Kisner,69,57.67,440,763,-0.18
170,171,171,Andres Romero,68,57.51,448,779,-0.15
171,172,172,Erik Compton,81,57.28,531,927,-0.19
172,173,173,Daniel Chopra,55,56.96,356,625,-0.21
173,174,174,Ryo Ishikawa,54,56.91,309,543,-0.14
174,175,175,Ryuji Imada,78,56.87,596,1048,-0.16
175,176,176,Rory Sabbatini,84,56.75,576,1015,-0.19
176,177,177,Stephen Gangluff,57,56.58,361,638,-0.15
177,178,178,Justin Leonard,79,56.55,583,1031,-0.15
178,179,179,Charlie Wi,86,56.35,612,1086,-0.17
179,180,180,Brendon Todd,78,56.24,541,962,-0.16
180,181,181,Chris DiMarco,83,56.18,609,1084,-0.17
181,182,182,J.J. Killeen,101,56.08,687,1225,-0.16
182,183,183,Greg Chalmers,88,55.65,621,1116,-0.18
183,184,184,Tommy Biershenk,74,55.61,466,838,-0.18
184,185,185,Spencer Levin,81,55.52,538,969,-0.19
185,186,186,Sangmoon Bae,81,55.45,473,853,-0.21
186,187,187,Y.E. Yang,64,54.84,402,733,-0.25
187,188,188,Matt Bettencourt,80,54.62,485,888,-0.18
188,189,189,Billy Hurley III,70,54.39,458,842,-0.16
189,190,190,Aaron Baddeley,73,54.2,413,762,-0.18
190,191,191,Sung Kang,75,53.38,498,933,-0.13
