,Going_for_the_Green_-_Birdie_or_Better_RANK THIS WEEK,Going_for_the_Green_-_Birdie_or_Better_RANK LAST WEEK,Going_for_the_Green_-_Birdie_or_Better_PLAYER NAME,Going_for_the_Green_-_Birdie_or_Better_ROUNDS,Going_for_the_Green_-_Birdie_or_Better_%,Going_for_the_Green_-_Birdie_or_Better_# OF BIRDIE OR BETTER,Going_for_the_Green_-_Birdie_or_Better_ATTEMPTS,Going_for_the_Green_-_Birdie_or_Better_RTP-SUCCESSES,Going_for_the_Green_-_Birdie_or_Better_RTP-NOT GOING FOR THE GRN
0,1,1,Louis Oosthuizen,65,68.63,70,102,-75,+2.00
1,2,2,Pat Perez,81,68.38,93,136,-95,-16.00
2,3,3,Tiger Woods,69,67.96,70,103,-74,-8.00
3,4,4,Charles Howell III,98,66.21,96,145,-108,-8.00
4,5,5,Luke Donald,63,65.75,48,73,-52,-25.00
5,6,6,Adam Scott,59,65.17,58,89,-63,+3.00
6,7,7,Steve Stricker,73,64.95,63,97,-65,-19.00
7,8,8,Dustin Johnson,70,64.57,82,127,-88,+1.00
8,9,9,Jonas Blixt,72,64.46,78,121,-89,-4.00
9,10,10,Russell Knox,72,64.44,58,90,-67,-11.00
10,11,11,Bud Cauley,99,64.0,112,175,-119,-3.00
11,12,12,Michael Thompson,80,63.95,55,86,-62,-19.00
12,13,13,Bo Van Pelt,84,63.91,85,133,-91,-8.00
13,T14,T14,Rory McIlroy,60,63.64,63,99,-72,-6.00
14,T14,T14,Brandt Snedeker,81,63.64,70,110,-74,-17.00
15,16,16,Stephen Ames,54,63.27,31,49,-31,-4.00
16,17,17,Bryce Molder,83,62.82,49,78,-51,-41.00
17,18,18,Ben Curtis,62,62.69,42,67,-44,-20.00
18,19,19,Tommy Biershenk,74,62.63,62,99,-66,+2.00
19,20,20,J.B. Holmes,90,62.5,120,192,-128,+7.00
20,21,21,Jason Day,57,62.38,63,101,-68,+5.00
21,22,22,Tim Herron,88,62.3,76,122,-79,-13.00
22,23,23,Kevin Chappell,91,62.16,92,148,-100,-8.00
23,24,24,Jimmy Walker,101,62.0,124,200,-137,+4.00
24,25,25,Phil Mickelson,79,61.97,88,142,-91,-11.00
25,26,26,Geoff Ogilvy,73,61.95,70,113,-74,-7.00
26,27,27,Greg Chalmers,88,61.9,78,126,-83,-13.00
27,28,28,Padraig Harrington,67,61.8,55,89,-59,-5.00
28,29,29,Brendon de Jonge,115,61.39,124,202,-138,-23.00
29,30,30,Billy Horschel,63,61.29,57,93,-62,E
30,31,31,Jason Dufner,83,61.11,77,126,-81,-12.00
31,32,32,David Hearn,95,61.07,80,131,-82,-13.00
32,33,33,Sergio Garcia,57,61.0,61,100,-66,-7.00
33,34,34,Tom Gillis,75,60.99,86,141,-90,+10.00
34,35,35,Rickie Fowler,84,60.93,92,151,-99,-1.00
35,36,36,Vijay Singh,99,60.89,109,179,-118,+2.00
36,37,37,Stuart Appleby,75,60.82,59,97,-62,-14.00
37,38,38,Josh Teater,97,60.71,119,196,-126,E
38,39,39,Boo Weekley,74,60.38,64,106,-68,+7.00
