,Approach_200-225_yards_RTP_RANK THIS WEEK,Approach_200-225_yards_RTP_RANK LAST WEEK,Approach_200-225_yards_RTP_PLAYER NAME,Approach_200-225_yards_RTP_ROUNDS,Approach_200-225_yards_RTP_AVG RTP
0,1,1,Rory McIlroy,60,-.344
1,2,2,John Daly,50,-.242
2,3,3,Jason Day,57,-.231
3,4,4,Louis Oosthuizen,65,-.215
4,5,5,Tiger Woods,69,-.200
5,6,6,Adam Scott,59,-.181
6,7,7,Geoff Ogilvy,73,-.153
7,8,8,Jimmy Walker,101,-.138
8,9,9,Justin Rose,69,-.126
9,T10,T10,Henrik Stenson,51,-.123
10,T10,T10,Josh Teater,97,-.123
11,12,12,Chad Campbell,84,-.114
12,13,13,Kyle Stanley,86,-.107
13,T14,T14,Bud Cauley,99,-.106
14,T14,T14,Robert Garrigus,89,-.106
15,16,16,Bubba Watson,68,-.094
16,17,17,Brendon de Jonge,115,-.086
17,T18,T18,Charles Howell III,98,-.083
18,T18,T18,Kevin Streelman,89,-.083
19,20,20,Gary Woodland,70,-.081
20,21,21,Michael Thompson,80,-.079
21,22,22,Gary Christian,91,-.077
22,23,23,John Senden,81,-.076
23,T24,T24,James Driscoll,83,-.075
24,T24,T24,Bo Van Pelt,84,-.075
25,26,26,Sean O'Hair,84,-.073
26,27,27,Chris Couch,61,-.072
27,28,28,Harrison Frazar,56,-.069
28,29,29,Martin Flores,95,-.068
29,T30,T30,Matt Kuchar,86,-.066
30,T30,T30,Ryan Palmer,81,-.066
31,T32,T32,Padraig Harrington,67,-.061
32,T32,T32,Bill Lunde,83,-.061
33,34,34,Tim Herron,88,-.060
34,35,35,Kevin Stadler,85,-.059
35,T36,T36,Kevin Chappell,91,-.056
36,T36,T36,Rory Sabbatini,84,-.056
37,38,38,Keegan Bradley,90,-.055
38,T39,T39,Tom Gillis,75,-.052
39,T39,T39,Kevin Kisner,69,-.052
40,41,41,Russell Knox,72,-.051
41,42,42,Ángel Cabrera,54,-.050
42,T43,T43,J.B. Holmes,90,-.049
43,T43,T43,John Huh,99,-.049
44,T43,T43,Dicky Pride,62,-.049
45,T43,T43,Brendan Steele,77,-.049
46,47,47,Dustin Johnson,70,-.048
47,48,48,Rickie Fowler,84,-.046
48,49,49,Harris English,98,-.045
49,T50,T50,Charlie Beljan,61,-.044
50,T50,T50,Mathew Goggin,65,-.044
51,T52,T52,John Rollins,81,-.043
52,T52,T52,Charl Schwartzel,56,-.043
53,54,54,Bill Haas,79,-.042
54,T55,T55,Kevin Na,80,-.040
55,T55,T55,Camilo Villegas,79,-.040
56,57,57,Phil Mickelson,79,-.039
57,58,58,Bob Estes,78,-.038
58,59,59,J.J. Henry,93,-.037
59,60,60,John Merrick,83,-.035
60,T61,T61,Nathan Green,73,-.032
61,T61,T61,Martin Laird,77,-.032
62,63,63,Nick Watney,97,-.031
63,64,64,Jason Kokrak,79,-.030
64,65,65,Daniel Summerhays,81,-.026
65,66,66,Webb Simpson,77,-.025
66,T67,T67,Jim Furyk,85,-.024
67,T67,T67,Ryan Moore,89,-.024
68,69,69,Robert Karlsson,54,-.022
69,70,70,Ken Duke,104,-.021
70,71,71,Jeff Overton,101,-.020
71,T72,T72,Jason Dufner,83,-.019
72,T72,T72,Steve Stricker,73,-.019
73,T74,T74,Rod Pampling,88,-.017
74,T74,T74,Brandt Snedeker,81,-.017
75,T74,T74,Jhonattan Vegas,77,-.017
76,T77,T77,Brandt Jobe,57,-.016
77,T77,T77,Hunter Mahan,88,-.016
78,T79,T79,Greg Chalmers,88,-.015
79,T79,T79,Ryo Ishikawa,54,-.015
80,T79,T79,Ian Poulter,57,-.015
81,82,82,David Hearn,95,-.014
82,83,83,Aaron Baddeley,73,-.011
83,T84,T84,Ben Crane,73,-.010
84,T84,T84,Trevor Immelman,76,-.010
85,86,86,Roberto Castro,92,-.008
86,87,87,Brian Davis,91,-.007
87,T88,T88,Stuart Appleby,75,E
88,T88,T88,Ricky Barnes,92,E
89,T88,T88,Jonas Blixt,72,E
90,T88,T88,Colt Knost,79,E
91,T88,T88,Graeme McDowell,55,E
92,T88,T88,Scott Piercy,95,E
93,T88,T88,Cameron Tringale,88,E
94,T95,T95,Brian Harman,101,+.008
95,T95,T95,George McNeill,85,+.008
96,T97,T97,Erik Compton,81,+.009
97,T97,T97,Troy Matteson,100,+.009
