,Approach__275_yards_RTP_RANK THIS WEEK,Approach__275_yards_RTP_RANK LAST WEEK,Approach__275_yards_RTP_PLAYER NAME,Approach__275_yards_RTP_ROUNDS,Approach__275_yards_RTP_AVG RTP
0,T1,T1,Charlie Beljan,61,-1.000
1,T1,T1,Daniel Chopra,55,-1.000
2,T1,T1,Tim Clark,60,-1.000
3,T1,T1,Gavin Coles,72,-1.000
4,T1,T1,Vaughn Taylor,81,-1.000
5,T1,T1,Tiger Woods,69,-1.000
6,7,7,Scott Piercy,95,-.867
7,8,8,Ken Duke,104,-.846
8,T9,T9,Dustin Johnson,70,-.800
9,T9,T9,Geoff Ogilvy,73,-.800
10,T9,T9,Charlie Wi,86,-.800
11,T12,T12,Aaron Baddeley,73,-.750
12,T12,T12,Greg Chalmers,88,-.750
13,T12,T12,J.B. Holmes,90,-.750
14,T12,T12,Robert Karlsson,54,-.750
15,T12,T12,Edward Loar,59,-.750
16,T12,T12,Jeff Maggert,83,-.750
17,T12,T12,Nick O'Hern,78,-.750
18,T12,T12,Steve Stricker,73,-.750
19,20,20,Pat Perez,81,-.737
20,21,21,Bubba Watson,68,-.714
21,T22,T22,Sangmoon Bae,81,-.700
22,T22,T22,Luke Donald,63,-.700
23,T22,T22,Scott Stallings,78,-.700
24,T25,T25,Graham DeLaet,79,-.692
25,T25,T25,Chris Kirk,93,-.692
26,27,27,Keegan Bradley,90,-.688
27,T28,T28,Ben Curtis,62,-.667
28,T28,T28,Robert Garrigus,89,-.667
29,T28,T28,Davis Love III,64,-.667
30,T31,T31,Kevin Chappell,91,-.636
31,T31,T31,Charles Howell III,98,-.636
32,T33,T33,Matt Kuchar,86,-.625
33,T33,T33,Heath Slocum,93,-.625
34,T33,T33,Michael Thompson,80,-.625
35,T36,T36,Tom Gillis,75,-.615
36,T36,T36,Richard Lee,71,-.615
37,T38,T38,Gary Christian,91,-.600
38,T38,T38,Jason Day,57,-.600
39,T38,T38,Nathan Green,73,-.600
40,T38,T38,Padraig Harrington,67,-.600
41,T38,T38,Patrick Sheehan,58,-.600
42,43,43,Harris English,98,-.591
43,T44,T44,Kris Blanks,65,-.588
44,T44,T44,Roberto Castro,92,-.588
45,T46,T46,Robert Allenby,76,-.583
46,T46,T46,Brian Harman,101,-.583
47,T46,T46,"Ted Potter, Jr.",77,-.583
48,T49,T49,Jason Dufner,83,-.571
49,T49,T49,Matt Jones,53,-.571
50,T51,T51,Miguel Angel Carballo,73,-.556
