,Average_Approach_Shot_Distance_RANK THIS WEEK,Average_Approach_Shot_Distance_RANK LAST WEEK,Average_Approach_Shot_Distance_PLAYER NAME,Average_Approach_Shot_Distance_ROUNDS,Average_Approach_Shot_Distance_AVG,Average_Approach_Shot_Distance_TOTAL DIST OF APPR SHOT,Average_Approach_Shot_Distance_TOTAL HOLES
0,1,1,Brian Gay,91,158.9,7964164.0,1392
1,2,2,Charlie Beljan,61,159.0,4395920.0,768
2,3,3,Marco Dawson,60,160.0,4739361.0,823
3,4,4,Vaughn Taylor,81,160.6,6601355.0,1142
4,5,5,Kyle Reifers,86,160.7,7644269.0,1321
5,T6,T6,Daniel Chopra,55,160.9,4449881.0,768
6,T6,T6,Edward Loar,59,160.9,4459904.0,770
7,8,8,Boo Weekley,74,161.0,6017884.0,1038
8,T9,T9,Brian Harman,101,161.1,9118202.0,1572
9,T9,T9,Troy Kelly,68,161.1,5288330.0,912
10,11,11,Brendon Todd,78,161.5,6523446.0,1122
11,T12,T12,Harrison Frazar,56,161.9,4993450.0,857
12,T12,T12,Kevin Kisner,69,161.9,5520806.0,947
13,T14,T14,J.B. Holmes,90,162.0,8147246.0,1397
14,T14,T14,Billy Hurley III,70,162.0,5942998.0,1019
15,T16,T16,J.J. Henry,93,162.1,7428431.0,1273
16,T16,T16,David Toms,60,162.1,4597161.0,788
17,T18,T18,John Daly,50,162.2,3959732.0,678
18,T18,T18,Freddie Jacobson,61,162.2,4607764.0,789
19,20,20,Colt Knost,79,162.3,7021842.0,1202
20,21,21,Mark Anderson,75,162.4,6395507.0,1094
21,T22,T22,Stephen Ames,54,162.5,4084012.0,698
22,T22,T22,Tim Clark,60,162.5,5249040.0,897
23,T24,T24,Tommy Biershenk,74,162.8,6037261.0,1030
24,T24,T24,Justin Leonard,79,162.8,7152257.0,1220
25,26,26,Martin Flores,95,162.9,8602922.0,1467
26,T27,T27,Miguel Angel Carballo,73,163.0,5978435.0,1019
27,T27,T27,Gavin Coles,72,163.0,5998480.0,1022
28,T27,T27,Jason Kokrak,79,163.0,7242953.0,1234
29,T27,T27,Steve Stricker,73,163.0,5662549.0,965
30,31,31,Roland Thatcher,55,163.1,4597693.0,783
31,T32,T32,Stuart Appleby,75,163.3,6833139.0,1162
