,Approaches_from_inside_100_yards_Rgh_RANK THIS WEEK,Approaches_from_inside_100_yards_Rgh_RANK LAST WEEK,Approaches_from_inside_100_yards_Rgh_PLAYER NAME,Approaches_from_inside_100_yards_Rgh_ROUNDS,Approaches_from_inside_100_yards_Rgh_AVG,Approaches_from_inside_100_yards_Rgh_TOTAL DISTANCE (FEET),Approaches_from_inside_100_yards_Rgh_# OF ATTEMPTS,Approaches_from_inside_100_yards_Rgh_RELATIVE TO PAR
0,1,1,K.J. Choi,71,"14' 11""",193.5,13,+1
1,2,2,Jerry Kelly,84,"16' 1""",257.33299999999997,16,-1
2,T3,T3,Stewart Cink,71,"17' 4""",329.0,19,-1
3,T3,T3,Camilo Villegas,79,"17' 4""",382.0,22,+6
4,5,5,"Ted Potter, Jr.",77,"17' 6""",384.333,22,E
5,6,6,Steve Stricker,73,"18' 2""",290.41700000000003,16,-2
6,7,7,Roland Thatcher,55,"18' 4""",275.5,15,+1
7,8,8,John Rollins,81,"19' 0""",570.25,30,-1
8,9,9,Chris DiMarco,83,"19' 5""",699.25,36,+7
9,T10,T10,Sung Kang,75,"19' 6""",584.25,30,+16
10,T10,T10,Vaughn Taylor,81,"19' 6""",447.75,23,+9
11,12,12,Scott Brown,65,"19' 7""",351.917,18,+5
12,13,13,David Toms,60,"19' 8""",511.667,26,E
13,14,14,Marc Leishman,84,"19' 10""",893.9169999999999,45,-2
14,15,15,Justin Rose,69,"19' 11""",418.333,21,-1
15,T16,T16,Brian Gay,91,"20' 1""",442.583,22,+2
16,T16,T16,Bill Lunde,83,"20' 1""",621.8330000000001,31,+1
17,18,18,Padraig Harrington,67,"20' 2""",342.833,17,+1
18,T19,T19,Chris Kirk,93,"20' 3""",566.5,28,+7
19,T19,T19,Justin Leonard,79,"20' 3""",546.0,27,+3
20,T19,T19,Tom Pernice Jr.,62,"20' 3""",384.0,19,+5
21,22,22,Kevin Kisner,69,"20' 4""",528.1669999999999,26,+7
22,23,23,Charl Schwartzel,56,"20' 7""",329.333,16,+2
23,T24,T24,Blake Adams,107,"20' 10""",811.8330000000001,39,E
24,T24,T24,Stephen Gangluff,57,"20' 10""",333.333,16,+6
25,T24,T24,Josh Teater,97,"20' 10""",874.6669999999999,42,+9
26,27,27,Daniel Summerhays,81,"21' 0""",462.333,22,+1
27,T28,T28,Matt Every,80,"21' 1""",422.0,20,-1
28,T28,T28,D.A. Points,88,"21' 1""",464.417,22,+1
29,30,30,Brian Harman,101,"21' 2""",846.5,40,+7
30,T31,T31,Jim Furyk,85,"21' 4""",405.5,19,-1
31,T31,T31,Rocco Mediate,70,"21' 4""",554.1669999999999,26,+5
32,33,33,J.J. Killeen,101,"21' 6""",1053.333,49,+4
33,T34,T34,Ángel Cabrera,54,"21' 7""",540.5,25,+1
34,T34,T34,Derek Lamely,64,"21' 7""",712.0830000000001,33,+11
35,36,36,Brendon de Jonge,115,"21' 8""",499.167,23,E
36,37,37,Charlie Beljan,61,"21' 9""",696.5830000000001,32,+1
37,T38,T38,Bud Cauley,99,"21' 11""",986.9169999999999,45,+12
38,T38,T38,Louis Oosthuizen,65,"21' 11""",437.917,20,+5
39,40,40,Bryce Molder,83,"22' 1""",573.0830000000001,26,+3
40,41,41,Erik Compton,81,"22' 3""",689.0830000000001,31,+3
41,T42,T42,Richard Lee,71,"22' 4""",513.5,23,+11
42,T42,T42,Jeff Overton,101,"22' 4""",1184.833,53,+3
43,T42,T42,Dicky Pride,62,"22' 4""",379.667,17,+5
44,T42,T42,Henrik Stenson,51,"22' 4""",491.5,22,+3
45,T42,T42,Cameron Tringale,88,"22' 4""",492.167,22,+8
46,T47,T47,Garth Mulroy,59,"22' 5""",537.8330000000001,24,+4
47,T47,T47,Kyle Thompson,51,"22' 5""",335.917,15,+2
48,T49,T49,Charles Howell III,98,"22' 6""",742.0,33,-3
49,T49,T49,William McGirt,96,"22' 6""",877.4169999999999,39,+1
50,51,51,Rory Sabbatini,84,"22' 7""",723.1669999999999,32,+6
51,52,52,Harrison Frazar,56,"22' 8""",884.0,39,+3
52,53,53,Matt Jones,53,"22' 9""",341.333,15,-1
53,54,54,Luke Donald,63,"22' 10""",319.66700000000003,14,-2
54,55,55,Ernie Els,80,"23' 0""",552.9169999999999,24,+3
55,T56,T56,Jason Day,57,"23' 1""",461.333,20,-2
56,T56,T56,Charley Hoffman,88,"23' 1""",852.9169999999999,37,+15
57,T58,T58,Nathan Green,73,"23' 4""",630.6669999999999,27,+6
58,T58,T58,Geoff Ogilvy,73,"23' 4""",676.8330000000001,29,+5
59,T58,T58,Brandt Snedeker,81,"23' 4""",420.667,18,+8
60,T61,T61,Bill Haas,79,"23' 5""",538.5,23,-1
61,T61,T61,Dustin Johnson,70,"23' 5""",726.4169999999999,31,+3
62,T61,T61,Kevin Streelman,89,"23' 5""",515.0,22,+9
63,T64,T64,Greg Chalmers,88,"23' 6""",750.75,32,+8
64,T64,T64,Robert Karlsson,54,"23' 6""",446.417,19,-1
65,66,66,Charlie Wi,86,"23' 7""",872.25,37,+9
66,67,67,David Mathis,83,"23' 8""",591.75,25,+9
67,T68,T68,Tim Herron,88,"23' 9""",784.3330000000001,33,+2
68,T68,T68,Freddie Jacobson,61,"23' 9""",547.0830000000001,23,+5
69,T68,T68,Phil Mickelson,79,"23' 9""",761.1669999999999,32,+9
70,71,71,Jeff Maggert,83,"23' 10""",595.5,25,+5
71,T72,T72,Danny Lee,74,"23' 11""",597.75,25,+1
72,T72,T72,Chez Reavie,83,"23' 11""",239.5,10,+1
73,T74,T74,Brian Davis,91,"24' 1""",819.6669999999999,34,+2
74,T74,T74,Greg Owen,90,"24' 1""",1059.5,44,+8
75,76,76,Spencer Levin,81,"24' 3""",702.5,29,+2
76,T77,T77,Ben Crane,73,"24' 6""",760.25,31,+1
77,T77,T77,Matt Kuchar,86,"24' 6""",661.6669999999999,27,-1
78,T77,T77,Carl Pettersson,92,"24' 6""",809.5830000000001,33,+13
79,T80,T80,Keegan Bradley,90,"24' 9""",916.75,37,-1
80,T80,T80,Rickie Fowler,84,"24' 9""",545.0,22,+4
81,T80,T80,Nick Watney,97,"24' 9""",642.5,26,E
82,83,83,Johnson Wagner,88,"24' 10""",843.1669999999999,34,+7
83,T84,T84,Scott Dunlap,57,"24' 11""",348.75,14,+4
