,Birdie_or_Better_Percentage_-__125_yard_RANK THIS WEEK,Birdie_or_Better_Percentage_-__125_yard_RANK LAST WEEK,Birdie_or_Better_Percentage_-__125_yard_PLAYER NAME,Birdie_or_Better_Percentage_-__125_yard_ROUNDS,Birdie_or_Better_Percentage_-__125_yard_%,Birdie_or_Better_Percentage_-__125_yard_TOTAL BIRDIES,Birdie_or_Better_Percentage_-__125_yard_TOTAL HOLES
0,1,1,Zach Johnson,95,31.52,81,257
1,2,2,Justin Rose,69,30.59,52,170
2,3,3,Charl Schwartzel,56,28.79,38,132
3,4,4,Will Claxton,99,28.48,94,330
4,5,5,Brian Davis,91,28.43,87,306
5,6,6,Vaughn Taylor,81,28.31,77,272
6,7,7,Ben Crane,73,27.97,66,236
7,8,8,Graeme McDowell,55,27.94,38,136
8,9,9,Ken Duke,104,27.74,81,292
9,10,10,Martin Laird,77,27.57,51,185
10,11,11,Luke Donald,63,27.5,44,160
11,12,12,Webb Simpson,77,27.43,65,237
12,13,13,Danny Lee,74,27.23,58,213
13,14,14,John Senden,81,26.98,51,189
14,15,15,Bryce Molder,83,26.95,76,282
15,16,16,Jason Dufner,83,26.81,63,235
16,17,17,John Daly,50,26.37,48,182
17,18,18,Mathew Goggin,65,26.2,49,187
18,19,19,Jonathan Byrd,69,26.19,55,210
19,20,20,Matt Bettencourt,80,26.11,59,226
20,21,21,Jerry Kelly,84,26.07,61,234
21,22,22,Greg Owen,90,25.96,74,285
22,23,23,Camilo Villegas,79,25.93,70,270
23,T24,T24,Blake Adams,107,25.88,81,313
24,T24,T24,Matt Kuchar,86,25.88,66,255
25,26,26,William McGirt,96,25.74,78,303
26,27,27,David Mathis,83,25.72,71,276
27,28,28,Sean O'Hair,84,25.69,74,288
28,29,29,Michael Thompson,80,25.59,54,211
29,30,30,Rory McIlroy,60,25.52,37,145
30,31,31,Jeff Overton,101,25.48,92,361
31,32,32,Tim Clark,60,25.46,55,216
32,33,33,Jonas Blixt,72,25.43,59,232
33,34,34,Sergio Garcia,57,25.4,32,126
34,35,35,Charlie Wi,86,25.29,66,261
35,36,36,Steve Stricker,73,25.24,53,210
36,37,37,Nick Watney,97,25.09,69,275
37,38,38,Nathan Green,73,25.0,46,184
38,39,39,Ben Curtis,62,24.75,49,198
39,40,40,Ricky Barnes,92,24.72,67,271
40,41,41,Billy Mayfair,90,24.69,59,239
41,42,42,Ryan Palmer,81,24.64,68,276
42,43,43,Marc Leishman,84,24.62,64,260
43,44,44,Charley Hoffman,88,24.56,70,285
44,45,45,Gary Christian,91,24.44,66,270
45,46,46,Roberto Castro,92,24.37,68,279
46,T47,T47,Stuart Appleby,75,24.29,60,247
47,T47,T47,Phil Mickelson,79,24.29,51,210
48,T49,T49,Jason Day,57,24.24,40,165
49,T49,T49,Robert Karlsson,54,24.24,40,165
50,51,51,Josh Teater,97,24.22,85,351
51,52,52,Brandt Snedeker,81,24.15,50,207
52,53,53,Brian Gay,91,24.13,83,344
53,54,54,Stephen Ames,54,24.11,34,141
54,55,55,Charlie Beljan,61,24.1,47,195
55,56,56,John Merrick,83,24.03,56,233
56,57,57,Jim Furyk,85,24.0,54,225
57,58,58,Ryan Moore,89,23.97,70,292
58,59,59,Cameron Beckman,81,23.92,61,255
59,60,60,Justin Leonard,79,23.85,62,260
60,T61,T61,Daniel Chopra,55,23.81,45,189
61,T61,T61,Gavin Coles,72,23.81,55,231
62,T61,T61,Chris Kirk,93,23.81,75,315
63,T61,T61,Vijay Singh,99,23.81,70,294
64,65,65,John Rollins,81,23.74,66,278
65,T66,T66,Matt Every,80,23.72,60,253
66,T66,T66,Tom Gillis,75,23.72,60,253
67,68,68,Carl Pettersson,92,23.7,73,308
68,69,69,Spencer Levin,81,23.68,54,228
69,70,70,Bill Haas,79,23.66,53,224
70,71,71,"Ted Potter, Jr.",77,23.63,56,237
71,T72,T72,Chris DiMarco,83,23.6,59,250
72,T72,T72,David Hearn,95,23.6,76,322
73,74,74,Johnson Wagner,88,23.55,65,276
74,75,75,Colt Knost,79,23.51,63,268
75,76,76,John Huh,99,23.46,61,260
76,77,77,Ryuji Imada,78,23.35,53,227
77,78,78,Lee Westwood,60,23.31,31,133
78,79,79,Y.E. Yang,64,23.18,35,151
79,80,80,K.J. Choi,71,23.15,47,203
80,T81,T81,Louis Oosthuizen,65,23.12,40,173
81,T81,T81,David Toms,60,23.12,43,186
82,83,83,Nick O'Hern,78,23.05,56,243
83,84,84,Padraig Harrington,67,22.97,34,148
84,85,85,Daniel Summerhays,81,22.96,62,270
85,86,86,D.A. Points,88,22.93,61,266
86,87,87,Keegan Bradley,90,22.92,55,240
87,88,88,Jason Bohn,81,22.84,53,232
88,T89,T89,Chad Campbell,84,22.81,52,228
89,T89,T89,Brendon de Jonge,115,22.81,73,320
90,T89,T89,Bubba Watson,68,22.81,52,228
91,92,92,Rocco Mediate,70,22.77,51,224
92,93,93,Tommy Gainey,98,22.7,84,370
93,94,94,Rod Pampling,88,22.68,61,269
94,95,95,Tommy Biershenk,74,22.61,52,230
95,96,96,Dustin Johnson,70,22.55,46,204
96,97,97,Tiger Woods,69,22.54,32,142
97,98,98,Greg Chalmers,88,22.53,57,253
98,T99,T99,Martin Flores,95,22.49,76,338
99,T99,T99,Russell Knox,72,22.49,47,209
100,T99,T99,Jeff Maggert,83,22.49,65,289
101,102,102,Tom Pernice Jr.,62,22.47,40,178
102,103,103,Aaron Baddeley,73,22.45,55,245
103,104,104,Garth Mulroy,59,22.4,41,183
104,105,105,Roland Thatcher,55,22.35,40,179
105,106,106,Scott Brown,65,22.28,41,184
106,107,107,Cameron Tringale,88,22.22,64,288
107,108,108,Pat Perez,81,22.12,50,226
108,109,109,Bill Lunde,83,22.1,61,276
109,110,110,Rickie Fowler,84,22.03,50,227
110,111,111,Heath Slocum,93,22.02,61,277
111,112,112,Kyle Reifers,86,22.01,70,318
112,T113,T113,Sangmoon Bae,81,21.93,41,187
113,T113,T113,Billy Hurley III,70,21.93,50,228
114,115,115,Andres Romero,68,21.89,37,169
115,116,116,Mark Anderson,75,21.79,56,257
116,117,117,Ernie Els,80,21.74,50,230
117,T118,T118,Kevin Kisner,69,21.72,48,221
118,T118,T118,Mark Wilson,84,21.72,53,244
119,120,120,Scott Piercy,95,21.6,73,338
120,121,121,Graham DeLaet,79,21.45,59,275
121,122,122,Brendon Todd,78,21.4,52,243
122,T123,T123,Trevor Immelman,76,21.39,43,201
123,T123,T123,Richard Lee,71,21.39,43,201
124,125,125,Jimmy Walker,101,21.33,61,286
125,126,126,Freddie Jacobson,61,21.26,37,174
126,127,127,Hunter Mahan,88,21.22,52,245
127,128,128,Kevin Stadler,85,21.21,49,231
128,129,129,John Mallinger,74,21.13,45,213
129,130,130,Bobby Gates,87,21.07,59,280
130,131,131,Ángel Cabrera,54,21.01,29,138
131,132,132,J.J. Killeen,101,20.97,65,310
132,133,133,James Driscoll,83,20.89,47,225
133,134,134,Jhonattan Vegas,77,20.87,53,254
134,135,135,Michael Bradley,63,20.81,46,221
135,136,136,Brandt Jobe,57,20.79,37,178
136,137,137,Kevin Na,80,20.74,45,217
137,138,138,D.J. Trahan,73,20.72,46,222
138,T139,T139,Harris English,98,20.59,70,340
139,T139,T139,Steve Wheatcroft,56,20.59,35,170
140,141,141,Stewart Cink,71,20.56,37,180
141,142,142,J.B. Holmes,90,20.45,72,352
142,143,143,Chris Stroud,86,20.41,60,294
143,144,144,Charles Howell III,98,20.21,57,282
144,145,145,Tim Herron,88,20.07,59,294
145,T146,T146,Billy Horschel,63,20.0,37,185
146,T146,T146,George McNeill,85,20.0,45,225
147,T146,T146,Chez Reavie,83,20.0,49,245
148,T146,T146,Brendan Steele,77,20.0,47,235
149,150,150,Kyle Stanley,86,19.91,46,231
150,151,151,Seung-Yul Noh,105,19.66,58,295
151,152,152,Bob Estes,78,19.56,44,225
152,153,153,Bo Van Pelt,84,19.55,43,220
153,T154,T154,Brian Harman,101,19.51,79,405
154,T154,T154,Derek Lamely,64,19.51,40,205
155,156,156,Erik Compton,81,19.49,46,236
156,T157,T157,Robert Garrigus,89,19.48,52,267
157,T157,T157,Adam Scott,59,19.48,30,154
158,159,159,Rory Sabbatini,84,19.42,54,278
159,160,160,J.J. Henry,93,19.35,54,279
160,T161,T161,Marco Dawson,60,19.32,40,207
161,T161,T161,Scott Stallings,78,19.32,51,264
162,163,163,Ian Poulter,57,19.23,25,130
163,164,164,Troy Matteson,100,19.21,58,302
164,165,165,Miguel Angel Carballo,73,19.18,47,245
165,166,166,Alexandre Rocha,62,19.13,35,183
166,167,167,Patrick Sheehan,58,18.9,31,164
167,168,168,Scott Dunlap,57,18.82,32,170
168,169,169,Edward Loar,59,18.78,37,197
169,170,170,Hunter Haas,69,18.64,33,177
170,T171,T171,Sung Kang,75,18.61,43,231
171,T171,T171,Jason Kokrak,79,18.61,51,274
172,173,173,Geoff Ogilvy,73,18.37,36,196
173,T174,T174,Kris Blanks,65,18.18,36,198
174,T174,T174,Kyle Thompson,51,18.18,26,143
175,176,176,Robert Allenby,76,18.14,41,226
176,177,177,Dicky Pride,62,18.08,32,177
177,178,178,Troy Kelly,68,17.94,40,223
178,179,179,Arjun Atwal,79,17.92,38,212
179,180,180,Bud Cauley,99,17.83,64,359
180,181,181,Davis Love III,64,17.68,35,198
181,182,182,Kevin Streelman,89,17.57,52,296
182,183,183,Chris Couch,61,17.2,32,186
183,184,184,Ryo Ishikawa,54,17.16,23,134
184,185,185,Harrison Frazar,56,17.06,36,211
185,186,186,Gary Woodland,70,16.43,34,207
186,187,187,Kevin Chappell,91,16.27,41,252
187,188,188,Boo Weekley,74,15.88,37,233
188,T189,T189,Stephen Gangluff,57,15.75,23,146
189,T189,T189,Henrik Stenson,51,15.75,23,146
190,191,191,Matt Jones,53,15.52,27,174
