,Average_Going_for_it_Shot_Distance_in_Yards_RANK THIS WEEK,Average_Going_for_it_Shot_Distance_in_Yards_RANK LAST WEEK,Average_Going_for_it_Shot_Distance_in_Yards_PLAYER NAME,Average_Going_for_it_Shot_Distance_in_Yards_EVENTS,Average_Going_for_it_Shot_Distance_in_Yards_AVG,Average_Going_for_it_Shot_Distance_in_Yards_DISTANCE (IN INCHES),Average_Going_for_it_Shot_Distance_in_Yards_ATTEMPTS
0,1,1,Adam Scott,16,237.2,760139.0,89
1,2,2,Rory McIlroy,16,238.0,848202.0,99
2,3,3,Tiger Woods,19,239.3,887188.0,103
3,4,4,Jason Day,17,242.4,881540.0,101
4,5,5,Robert Garrigus,26,242.9,1792618.0,205
5,6,6,Charlie Beljan,22,243.5,815352.0,93
6,7,7,Charles Howell III,29,245.2,1279786.0,145
7,T8,T8,Dustin Johnson,19,245.4,1121892.0,127
8,T8,T8,Justin Rose,19,245.4,909920.0,103
9,10,10,David Toms,19,246.0,557984.0,63
10,11,11,Padraig Harrington,18,246.3,789043.0,89
11,12,12,Ryo Ishikawa,18,246.4,505639.0,57
12,13,13,Trevor Immelman,24,246.5,860720.0,97
13,14,14,Jason Dufner,22,248.1,1125566.0,126
14,T15,T15,Sangmoon Bae,25,248.3,965393.0,108
15,T15,T15,Sergio Garcia,16,248.3,893736.0,100
16,T15,T15,Boo Weekley,25,248.3,947590.0,106
17,18,18,Nick Watney,26,248.5,1395506.0,156
18,T19,T19,Steve Stricker,19,248.6,868217.0,97
19,T19,T19,Michael Thompson,25,248.6,769783.0,86
20,21,21,Davis Love III,20,249.1,852015.0,95
21,22,22,John Mallinger,25,249.2,735608.0,82
22,23,23,Martin Laird,22,249.5,1293335.0,144
23,T24,T24,Jim Furyk,24,249.7,764214.0,85
24,T24,T24,Ian Poulter,15,249.7,638224.0,71
25,26,26,Luke Donald,17,249.8,656379.0,73
26,27,27,John Merrick,26,250.0,1178827.0,131
27,28,28,Graeme McDowell,16,250.1,576188.0,64
28,29,29,Troy Kelly,23,250.3,820056.0,91
29,30,30,Josh Teater,30,250.6,1768401.0,196
30,31,31,Brian Gay,28,250.8,686275.0,76
31,32,32,Alexandre Rocha,21,250.9,641281.0,71
32,T33,T33,Greg Owen,27,251.0,1337170.0,148
33,T33,T33,Brandt Snedeker,22,251.0,994004.0,110
34,35,35,J.B. Holmes,25,251.1,1735721.0,192
35,36,36,William McGirt,30,251.2,1057957.0,117
36,37,37,Charl Schwartzel,16,251.4,742052.0,82
37,38,38,Jason Bohn,28,251.5,860167.0,95
38,39,39,Ernie Els,22,251.6,1122957.0,124
39,T40,T40,Brian Harman,30,251.7,1449638.0,160
40,T40,T40,Bubba Watson,19,251.7,1513485.0,167
41,42,42,Bud Cauley,28,251.8,1586308.0,175
42,43,43,Gary Christian,28,251.9,1088284.0,120
43,44,44,Chez Reavie,26,252.0,961792.0,106
44,T45,T45,Freddie Jacobson,17,252.1,653464.0,72
45,T45,T45,Bo Van Pelt,24,252.1,1207247.0,133
46,T47,T47,Scott Stallings,27,252.2,1516242.0,167
47,T47,T47,Gary Woodland,22,252.2,1316577.0,145
48,49,49,John Rollins,26,252.3,1362392.0,150
49,50,50,Bob Estes,23,252.5,809005.0,89
50,51,51,Jason Kokrak,27,252.6,1309450.0,144
51,T52,T52,Louis Oosthuizen,19,252.8,928214.0,102
52,T52,T52,Kyle Stanley,27,252.8,1647089.0,181
53,T54,T54,Cameron Beckman,26,252.9,928753.0,102
54,T54,T54,Sean O'Hair,24,252.9,1602543.0,176
55,56,56,Rickie Fowler,23,253.1,1375590.0,151
56,T57,T57,Stephen Ames,20,253.2,446574.0,49
57,T57,T57,Aaron Baddeley,22,253.2,1057314.0,116
58,T57,T57,Bobby Gates,29,253.2,1568037.0,172
59,60,60,Camilo Villegas,25,253.3,1303995.0,143
60,61,61,Charlie Wi,25,253.4,1140412.0,125
61,62,62,Dicky Pride,19,253.5,647906.0,71
62,T63,T63,George McNeill,25,253.6,1332743.0,146
63,T63,T63,Carl Pettersson,26,253.6,1378461.0,151
64,T63,T63,Rory Sabbatini,29,253.6,1488177.0,163
65,T66,T66,Chad Campbell,27,253.7,1205644.0,132
66,T66,T66,Martin Flores,30,253.7,1370248.0,150
67,T68,T68,Chris Kirk,27,253.8,1617393.0,177
68,T68,T68,Ryan Palmer,24,253.8,1471272.0,161
69,70,70,Harrison Frazar,20,253.9,959868.0,105
70,71,71,Jimmy Walker,28,254.1,1829324.0,200
71,72,72,Robert Karlsson,17,254.2,896986.0,98
72,73,73,Russell Knox,23,254.3,824049.0,90
73,T74,T74,Daniel Chopra,21,254.5,696212.0,76
74,T74,T74,Harris English,27,254.5,1741046.0,190
75,T76,T76,Gavin Coles,23,254.6,531582.0,58
76,T76,T76,Ken Duke,30,254.6,1402254.0,153
77,78,78,Scott Piercy,28,254.7,1897840.0,207
78,79,79,Will Claxton,28,254.8,1513275.0,165
79,T80,T80,Kevin Chappell,29,254.9,1358029.0,148
80,T80,T80,Colt Knost,29,254.9,623983.0,68
81,T82,T82,K.J. Choi,21,255.0,936344.0,102
82,T82,T82,Chris Couch,21,255.0,1202455.0,131
83,T84,T84,Robert Allenby,27,255.1,964373.0,105
84,T84,T84,Matt Kuchar,22,255.1,964401.0,105
85,T84,T84,Heath Slocum,29,255.1,1037704.0,113
86,T84,T84,Kevin Stadler,25,255.1,1359206.0,148
87,T84,T84,Brendon Todd,29,255.1,725576.0,79
88,89,89,Stuart Appleby,24,255.2,891258.0,97
89,90,90,Jeff Overton,29,255.3,1856332.0,202
