,Birdie_or_Better_Percentage_-_Right_Rough_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Right_Rough_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Right_Rough_PLAYER NAME,Birdie_or_Better_Percentage_-_Right_Rough_ROUNDS,Birdie_or_Better_Percentage_-_Right_Rough_%,Birdie_or_Better_Percentage_-_Right_Rough_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Right_Rough_TOTAL HOLES
0,1,1,Webb Simpson,77,31.82,35,110
1,2,2,Ben Crane,73,25.0,26,104
2,3,3,Dustin Johnson,70,24.07,26,108
3,4,4,Steve Stricker,73,23.46,19,81
4,5,5,Chris Couch,61,22.77,23,101
5,6,6,Sergio Garcia,57,22.37,17,76
6,7,7,Sangmoon Bae,81,21.88,28,128
7,8,8,Kyle Stanley,86,21.66,34,157
8,9,9,Matt Every,80,21.19,25,118
9,10,10,Jason Day,57,21.05,24,114
10,11,11,Seung-Yul Noh,105,19.88,32,161
11,12,12,Bubba Watson,68,19.83,23,116
12,13,13,Robert Karlsson,54,19.79,19,96
13,T14,T14,Patrick Sheehan,58,19.57,18,92
14,T14,T14,Bo Van Pelt,84,19.57,18,92
15,16,16,Louis Oosthuizen,65,19.54,17,87
16,17,17,Ben Curtis,62,19.4,13,67
17,18,18,Charlie Beljan,61,19.39,19,98
18,19,19,Ángel Cabrera,54,19.18,14,73
19,20,20,J.B. Holmes,90,19.13,35,183
20,21,21,Chris Stroud,86,19.08,25,131
21,22,22,Gavin Coles,72,18.99,15,79
22,23,23,Tommy Gainey,98,18.92,35,185
23,24,24,Scott Brown,65,18.68,17,91
24,25,25,John Huh,99,18.66,25,134
25,26,26,Marco Dawson,60,18.42,14,76
26,27,27,Ryan Moore,89,18.32,24,131
27,28,28,Sean O'Hair,84,18.0,27,150
28,29,29,Kevin Na,80,17.92,19,106
29,30,30,Bud Cauley,99,17.76,27,152
30,31,31,D.A. Points,88,17.73,25,141
31,32,32,Erik Compton,81,17.52,24,137
32,33,33,William McGirt,96,17.45,26,149
33,34,34,Stewart Cink,71,17.42,23,132
34,35,35,Garth Mulroy,59,17.33,13,75
35,36,36,Graham DeLaet,79,17.29,23,133
36,37,37,Brandt Jobe,57,17.28,14,81
37,38,38,Roland Thatcher,55,17.14,12,70
38,39,39,Robert Garrigus,89,17.11,26,152
39,40,40,Adam Scott,59,17.02,16,94
40,41,41,Andres Romero,68,16.98,18,106
41,42,42,Harris English,98,16.94,31,183
42,43,43,Phil Mickelson,79,16.83,17,101
43,44,44,Rickie Fowler,84,16.82,18,107
44,45,45,Keegan Bradley,90,16.79,22,131
45,46,46,Scott Dunlap,57,16.67,16,96
46,47,47,Cameron Beckman,81,16.54,22,133
47,48,48,John Daly,50,16.25,13,80
48,49,49,Will Claxton,99,16.15,21,130
49,50,50,Jhonattan Vegas,77,16.11,24,149
50,51,51,Tim Herron,88,16.03,25,156
51,52,52,Jonathan Byrd,69,16.0,16,100
52,53,53,Scott Piercy,95,15.98,31,194
53,54,54,Johnson Wagner,88,15.91,21,132
54,55,55,Aaron Baddeley,73,15.87,20,126
55,56,56,Jeff Overton,101,15.82,31,196
56,T57,T57,Greg Chalmers,88,15.79,24,152
57,T57,T57,Greg Owen,90,15.79,27,171
58,59,59,Chris Kirk,93,15.68,29,185
59,T60,T60,Blake Adams,107,15.63,25,160
60,T60,T60,Daniel Chopra,55,15.63,20,128
61,62,62,Charles Howell III,98,15.61,32,205
62,63,63,Justin Rose,69,15.6,17,109
63,T64,T64,Danny Lee,74,15.57,19,122
64,T64,T64,Michael Thompson,80,15.57,19,122
65,66,66,Rory McIlroy,60,15.53,16,103
66,67,67,Ernie Els,80,15.44,21,136
67,68,68,Zach Johnson,95,15.38,18,117
68,T69,T69,Ian Poulter,57,15.25,9,59
69,T69,T69,Brendan Steele,77,15.25,18,118
70,71,71,Scott Stallings,78,15.22,21,138
71,72,72,Charlie Wi,86,15.17,22,145
72,73,73,Steve Wheatcroft,56,15.07,11,73
73,74,74,Bryce Molder,83,15.0,24,160
74,75,75,Troy Kelly,68,14.95,16,107
75,76,76,Mark Anderson,75,14.91,24,161
76,77,77,Charl Schwartzel,56,14.86,11,74
77,78,78,Jason Kokrak,79,14.81,24,162
78,79,79,Bill Lunde,83,14.79,21,142
79,80,80,Jonas Blixt,72,14.75,18,122
80,T81,T81,Brian Davis,91,14.29,18,126
81,T81,T81,Luke Donald,63,14.29,13,91
82,T81,T81,Martin Laird,77,14.29,17,119
83,84,84,Marc Leishman,84,14.08,29,206
84,85,85,Pat Perez,81,14.02,15,107
85,86,86,Jim Furyk,85,13.98,13,93
86,87,87,Freddie Jacobson,61,13.95,12,86
87,88,88,David Toms,60,13.85,9,65
88,89,89,Arjun Atwal,79,13.82,17,123
89,90,90,Sung Kang,75,13.74,18,131
90,91,91,Kevin Stadler,85,13.73,14,102
91,92,92,Ryo Ishikawa,54,13.54,13,96
92,93,93,Boo Weekley,74,13.46,14,104
93,94,94,Robert Allenby,76,13.39,15,112
94,T95,T95,K.J. Choi,71,13.33,12,90
95,T95,T95,Martin Flores,95,13.33,22,165
96,T95,T95,David Mathis,83,13.33,18,135
97,T95,T95,Billy Mayfair,90,13.33,18,135
98,99,99,Geoff Ogilvy,73,13.27,13,98
99,100,100,John Rollins,81,13.19,19,144
100,101,101,Brendon Todd,78,13.16,15,114
101,102,102,Nick Watney,97,13.14,23,175
102,103,103,Kevin Chappell,91,13.1,22,168
103,104,104,Bob Estes,78,13.08,17,130
104,105,105,Lee Westwood,60,13.04,9,69
105,106,106,John Senden,81,12.96,14,108
106,107,107,Hunter Mahan,88,12.93,15,116
107,108,108,Charley Hoffman,88,12.86,18,140
108,109,109,John Mallinger,74,12.73,14,110
109,T110,T110,Bill Haas,79,12.7,16,126
110,T110,T110,Derek Lamely,64,12.7,16,126
111,112,112,"Ted Potter, Jr.",77,12.61,14,111
