,Approach_150-175_yards_RTP_Score_RANK THIS WEEK,Approach_150-175_yards_RTP_Score_RANK LAST WEEK,Approach_150-175_yards_RTP_Score_PLAYER NAME,Approach_150-175_yards_RTP_Score_ROUNDS,Approach_150-175_yards_RTP_Score_AVG RTP
0,1,1,Tiger Woods,69,-.188
1,2,2,Sergio Garcia,57,-.141
2,3,3,Webb Simpson,77,-.126
3,T4,T4,Hunter Mahan,88,-.122
4,T4,T4,Jeff Overton,101,-.122
5,T6,T6,Brandt Snedeker,81,-.121
6,T6,T6,Lee Westwood,60,-.121
7,8,8,Scott Piercy,95,-.118
8,9,9,Graeme McDowell,55,-.116
9,10,10,Bo Van Pelt,84,-.115
10,11,11,Jason Dufner,83,-.110
11,12,12,Spencer Levin,81,-.108
12,13,13,Jonathan Byrd,69,-.107
13,14,14,Adam Scott,59,-.106
14,15,15,Matt Every,80,-.105
15,16,16,Ryan Moore,89,-.102
16,17,17,Matt Kuchar,86,-.101
17,18,18,Zach Johnson,95,-.099
18,T19,T19,Bryce Molder,83,-.092
19,T19,T19,Justin Rose,69,-.092
20,21,21,Robert Allenby,76,-.088
21,22,22,Sean O'Hair,84,-.083
22,T23,T23,Blake Adams,107,-.082
23,T23,T23,Bill Haas,79,-.082
24,T25,T25,Keegan Bradley,90,-.081
25,T25,T25,Brian Gay,91,-.081
26,T25,T25,Vaughn Taylor,81,-.081
27,28,28,Carl Pettersson,92,-.079
28,T29,T29,Padraig Harrington,67,-.077
29,T29,T29,D.A. Points,88,-.077
30,T29,T29,David Toms,60,-.077
31,32,32,Jim Furyk,85,-.076
32,33,33,Robert Garrigus,89,-.075
33,T34,T34,Gary Christian,91,-.074
34,T34,T34,Chris Kirk,93,-.074
35,T34,T34,David Mathis,83,-.074
36,T34,T34,Kevin Streelman,89,-.074
37,38,38,Ian Poulter,57,-.073
38,39,39,Heath Slocum,93,-.072
39,40,40,Charl Schwartzel,56,-.070
40,T41,T41,Arjun Atwal,79,-.069
41,T41,T41,Billy Horschel,63,-.069
42,T41,T41,J.J. Killeen,101,-.069
43,T44,T44,Marco Dawson,60,-.067
44,T44,T44,Luke Donald,63,-.067
45,T44,T44,Hunter Haas,69,-.067
46,T47,T47,Russell Knox,72,-.066
47,T47,T47,Steve Stricker,73,-.066
48,49,49,Jimmy Walker,101,-.065
49,50,50,Bob Estes,78,-.063
50,51,51,Gavin Coles,72,-.062
51,52,52,Bud Cauley,99,-.058
52,T53,T53,Jonas Blixt,72,-.056
53,T53,T53,Brendon de Jonge,115,-.056
54,T53,T53,Jeff Maggert,83,-.056
55,T56,T56,Matt Bettencourt,80,-.053
56,T56,T56,Marc Leishman,84,-.053
57,58,58,Harris English,98,-.050
58,T59,T59,J.J. Henry,93,-.048
59,T59,T59,Dustin Johnson,70,-.048
60,T61,T61,Jason Kokrak,79,-.047
61,T61,T61,Daniel Summerhays,81,-.047
62,T63,T63,Robert Karlsson,54,-.046
63,T63,T63,Vijay Singh,99,-.046
64,65,65,Richard Lee,71,-.045
65,66,66,Will Claxton,99,-.044
66,T67,T67,John Huh,99,-.043
67,T67,T67,Rory McIlroy,60,-.043
68,69,69,Jhonattan Vegas,77,-.042
69,70,70,Louis Oosthuizen,65,-.041
70,71,71,Johnson Wagner,88,-.040
71,T72,T72,Tommy Biershenk,74,-.039
72,T72,T72,Nathan Green,73,-.039
73,T72,T72,Danny Lee,74,-.039
74,75,75,Ángel Cabrera,54,-.038
75,T76,T76,Tom Gillis,75,-.037
76,T76,T76,Rocco Mediate,70,-.037
77,78,78,Ken Duke,104,-.036
78,T79,T79,Derek Lamely,64,-.034
79,T79,T79,Troy Matteson,100,-.034
80,T79,T79,Kevin Stadler,85,-.034
81,T82,T82,Davis Love III,64,-.033
82,T82,T82,Seung-Yul Noh,105,-.033
83,T84,T84,Charles Howell III,98,-.032
84,T84,T84,John Merrick,83,-.032
85,86,86,Tim Clark,60,-.031
86,T87,T87,"Ted Potter, Jr.",77,-.030
87,T87,T87,D.J. Trahan,73,-.030
88,89,89,George McNeill,85,-.029
89,T90,T90,Stuart Appleby,75,-.028
90,T90,T90,Brian Harman,101,-.028
91,T90,T90,John Senden,81,-.028
92,T93,T93,Ryan Palmer,81,-.027
93,T93,T93,Dicky Pride,62,-.027
94,95,95,Jerry Kelly,84,-.026
95,T96,T96,Ben Curtis,62,-.025
96,T96,T96,Tim Herron,88,-.025
97,T96,T96,Troy Kelly,68,-.025
98,T96,T96,John Mallinger,74,-.025
99,T100,T100,Martin Flores,95,-.024
100,T100,T100,Chez Reavie,83,-.024
101,T102,T102,Trevor Immelman,76,-.023
102,T102,T102,Kevin Na,80,-.023
103,T104,T104,Rory Sabbatini,84,-.022
104,T104,T104,Y.E. Yang,64,-.022
105,106,106,James Driscoll,83,-.021
106,T107,T107,Greg Owen,90,-.020
107,T107,T107,Pat Perez,81,-.020
108,T107,T107,John Rollins,81,-.020
109,110,110,Chad Campbell,84,-.018
110,T111,T111,Jason Day,57,-.017
111,T111,T111,Tommy Gainey,98,-.017
112,113,113,Nick O'Hern,78,-.016
113,T114,T114,Jason Bohn,81,-.015
114,T114,T114,David Hearn,95,-.015
115,T114,T114,Charley Hoffman,88,-.015
116,T117,T117,Michael Bradley,63,-.014
117,T117,T117,Greg Chalmers,88,-.014
118,T117,T117,Geoff Ogilvy,73,-.014
119,120,120,K.J. Choi,71,-.013
120,T121,T121,J.B. Holmes,90,-.011
