,GIR_Pct._-_Fairway_Bunker_RANK THIS WEEK,GIR_Pct._-_Fairway_Bunker_RANK LAST WEEK,GIR_Pct._-_Fairway_Bunker_PLAYER NAME,GIR_Pct._-_Fairway_Bunker_ROUNDS,GIR_Pct._-_Fairway_Bunker_%,GIR_Pct._-_Fairway_Bunker_GREENS HIT,GIR_Pct._-_Fairway_Bunker_# HOLES,GIR_Pct._-_Fairway_Bunker_RELATIVE/PAR
0,1,1,Robert Karlsson,54,71.4,25,35,-7.00
1,2,2,Daniel Chopra,55,65.8,25,38,-5.00
2,3,3,James Driscoll,83,64.8,57,88,-15.00
3,T4,T4,Garth Mulroy,59,61.5,24,39,-4.00
4,T4,T4,Dicky Pride,62,61.5,24,39,-4.00
5,6,6,Scott Piercy,95,60.0,42,70,-14.00
6,7,7,Kevin Kisner,69,59.6,28,47,-5.00
7,8,8,Luke Donald,63,59.5,25,42,-5.00
8,9,9,Nathan Green,73,59.3,35,59,-10.00
9,10,10,J.B. Holmes,90,59.2,29,49,-3.00
10,11,11,Alexandre Rocha,62,58.8,20,34,-4.00
11,12,12,Ian Poulter,57,58.3,14,24,-5.00
12,13,13,Martin Flores,95,57.8,48,83,-10.00
13,14,14,Justin Rose,69,57.7,30,52,-7.00
14,15,15,David Hearn,95,57.5,42,73,-5.00
15,T16,T16,Brian Harman,101,56.6,43,76,-7.00
16,T16,T16,Seung-Yul Noh,105,56.6,43,76,-5.00
17,T18,T18,Will Claxton,99,56.5,39,69,-6.00
18,T18,T18,Charles Howell III,98,56.5,48,85,-3.00
19,20,20,Davis Love III,64,56.4,22,39,-5.00
20,21,21,Sergio Garcia,57,55.9,19,34,E
21,22,22,George McNeill,85,55.7,34,61,-9.00
22,23,23,Danny Lee,74,55.6,35,63,-8.00
23,24,24,Chris Kirk,93,55.4,41,74,-7.00
24,25,25,Stewart Cink,71,55.1,27,49,-5.00
25,T26,T26,Kris Blanks,65,55.0,33,60,-5.00
26,T26,T26,Freddie Jacobson,61,55.0,33,60,-1.00
27,28,28,Rickie Fowler,84,54.9,28,51,-8.00
28,29,29,Jimmy Walker,101,54.6,59,108,-9.00
29,30,30,Kyle Thompson,51,54.5,12,22,-1.00
30,31,31,Brandt Snedeker,81,54.4,37,68,-9.00
31,32,32,Webb Simpson,77,54.3,25,46,-9.00
32,33,33,Bobby Gates,87,54.2,39,72,-2.00
33,34,34,Ernie Els,80,54.0,34,63,-4.00
34,T35,T35,Ricky Barnes,92,53.7,36,67,-3.00
35,T35,T35,Jhonattan Vegas,77,53.7,29,54,-4.00
36,37,37,Jim Furyk,85,53.6,15,28,-4.00
37,T38,T38,William McGirt,96,53.4,47,88,-9.00
38,T38,T38,Vaughn Taylor,81,53.4,31,58,-10.00
39,T40,T40,Jason Dufner,83,53.1,26,49,-7.00
40,T40,T40,Robert Garrigus,89,53.1,26,49,-8.00
41,T42,T42,Jason Day,57,52.9,18,34,-4.00
42,T42,T42,Harris English,98,52.9,46,87,-6.00
43,T42,T42,Charley Hoffman,88,52.9,37,70,-3.00
44,T42,T42,Ryan Moore,89,52.9,37,70,-9.00
45,46,46,Ryo Ishikawa,54,52.8,19,36,-5.00
46,47,47,Bo Van Pelt,84,52.7,29,55,-3.00
47,48,48,Derek Lamely,64,52.6,30,57,-1.00
48,T49,T49,Erik Compton,81,52.5,32,61,-10.00
49,T49,T49,Ryan Palmer,81,52.5,31,59,-5.00
50,T51,T51,Graham DeLaet,79,52.3,23,44,-2.00
51,T51,T51,Vijay Singh,99,52.3,34,65,-15.00
52,53,53,Mathew Goggin,65,52.2,24,46,-6.00
53,54,54,Scott Brown,65,52.1,25,48,-1.00
54,T55,T55,Bud Cauley,99,52.0,51,98,-14.00
