,Going_for_the_Green_RANK THIS WEEK,Going_for_the_Green_RANK LAST WEEK,Going_for_the_Green_PLAYER NAME,Going_for_the_Green_ROUNDS,Going_for_the_Green_%,Going_for_the_Green_ATTEMPTS,Going_for_the_Green_NON-ATTEMPTS,Going_for_the_Green_RTP-GOING FOR THE GREEN,Going_for_the_Green_RTP-NOT GOING FOR THE GRN
0,1,1,Bubba Watson,68,80.61,158,38,-100,-4
1,2,2,Rory McIlroy,60,75.38,98,32,-69,-6
2,3,3,Robert Garrigus,89,75.09,199,66,-103,E
3,4,4,John Daly,50,72.81,83,31,-45,-6
4,5,5,Kyle Stanley,86,71.66,177,70,-109,-3
5,6,6,Lee Westwood,60,70.63,101,42,-54,+4
6,7,7,Keegan Bradley,90,70.04,180,77,-103,-8
7,8,8,Gary Woodland,70,69.46,141,62,-88,+14
8,9,9,Sergio Garcia,57,69.44,100,44,-64,-7
9,10,10,Chris Couch,61,69.35,129,57,-70,+11
10,11,11,Dustin Johnson,70,69.14,121,54,-83,+1
11,12,12,Henrik Stenson,51,66.9,95,47,-48,-7
12,13,13,Scott Stallings,78,66.67,164,82,-94,-1
13,14,14,Martin Laird,77,66.2,141,72,-78,E
14,15,15,Jhonattan Vegas,77,65.74,165,86,-81,+1
15,16,16,J.B. Holmes,90,65.48,184,97,-116,+7
16,17,17,Robert Karlsson,54,65.1,97,52,-55,-4
17,18,18,Bill Haas,79,64.5,149,82,-72,-2
18,19,19,Scott Piercy,95,64.06,205,115,-115,-2
19,20,20,Charlie Beljan,61,63.89,92,52,-51,+1
20,21,21,Tiger Woods,69,63.58,103,59,-73,-8
21,22,22,Vijay Singh,99,63.48,179,103,-107,+2
22,23,23,Rory Sabbatini,84,63.42,163,94,-87,-5
23,24,24,Charley Hoffman,88,63.35,178,103,-99,E
24,25,25,Adam Scott,59,63.31,88,51,-63,+3
25,26,26,Josh Teater,97,63.19,194,113,-117,E
26,27,27,John Senden,81,63.09,147,86,-77,-6
27,28,28,Charl Schwartzel,56,63.08,82,48,-41,-6
28,29,29,Bobby Gates,87,63.0,172,101,-82,E
29,T30,T30,Louis Oosthuizen,65,62.58,102,61,-75,+2
30,T30,T30,Jeff Overton,101,62.58,199,119,-108,-26
31,32,32,Andres Romero,68,62.37,121,73,-58,-4
32,33,33,Phil Mickelson,79,62.22,140,85,-83,-11
33,34,34,Rickie Fowler,84,62.14,151,92,-90,-1
34,35,35,Sean O'Hair,84,61.79,173,107,-104,-4
35,36,36,Webb Simpson,77,61.51,155,97,-82,-20
36,37,37,Edward Loar,59,61.38,89,56,-44,+5
37,38,38,Scott Brown,65,61.36,108,68,-48,-1
38,39,39,Ryan Palmer,81,60.7,156,101,-76,-11
39,40,40,Seung-Yul Noh,105,60.67,182,118,-100,-4
40,41,41,Jason Day,57,60.48,101,66,-62,+5
41,42,42,Ángel Cabrera,54,60.45,81,53,-49,+1
42,43,43,Troy Matteson,100,60.27,176,116,-93,+6
43,44,44,James Driscoll,83,60.24,153,101,-89,-1
44,T45,T45,Graham DeLaet,79,60.0,147,98,-82,+6
45,T45,T45,John Rollins,81,60.0,150,100,-75,-10
46,47,47,Billy Horschel,63,59.74,92,62,-53,E
47,48,48,Erik Compton,81,59.56,134,91,-61,-5
48,49,49,Jimmy Walker,101,59.28,198,136,-126,+4
49,50,50,Harris English,98,59.06,189,131,-99,-1
50,51,51,Hunter Haas,69,58.85,113,79,-38,+4
51,52,52,Davis Love III,64,58.75,94,66,-52,E
52,53,53,Mathew Goggin,65,58.59,116,82,-64,-9
53,54,54,Nathan Green,73,58.54,120,85,-57,-4
54,55,55,Jason Kokrak,79,58.51,141,100,-76,+5
55,56,56,D.J. Trahan,73,58.37,122,87,-58,-3
56,57,57,Padraig Harrington,67,58.28,88,63,-54,-5
57,58,58,Jonathan Byrd,69,57.99,127,92,-68,-17
58,59,59,John Huh,99,57.72,172,126,-95,-10
59,60,60,Bo Van Pelt,84,57.64,132,97,-81,-8
60,61,61,Kevin Chappell,91,57.59,148,109,-88,-8
61,62,62,Garth Mulroy,59,57.41,93,69,-50,+4
62,63,63,Harrison Frazar,56,57.38,105,78,-49,-11
63,64,64,Cameron Tringale,88,57.14,168,126,-86,-7
64,65,65,Kevin Stadler,85,56.86,145,110,-59,-4
65,66,66,Chris Kirk,93,56.73,177,135,-84,+6
66,67,67,Hunter Mahan,88,56.6,133,102,-58,-3
67,68,68,Greg Owen,90,56.59,146,112,-73,-17
68,69,69,Jason Dufner,83,56.5,126,97,-74,-12
69,70,70,George McNeill,85,55.81,144,114,-75,-3
70,71,71,D.A. Points,88,55.74,165,131,-86,-11
71,72,72,Justin Rose,69,55.38,103,83,-53,-10
72,73,73,Ernie Els,80,55.11,124,101,-72,-2
73,74,74,Matt Jones,53,55.06,87,71,-48,+4
74,75,75,Billy Mayfair,90,55.04,153,125,-77,-1
75,76,76,Charles Howell III,98,54.79,143,118,-105,-8
76,77,77,Will Claxton,99,54.7,163,135,-84,-22
77,78,78,Blake Adams,107,54.63,171,142,-93,-4
78,79,79,Arjun Atwal,79,54.59,119,99,-58,+6
79,80,80,Brendon de Jonge,115,54.5,200,167,-123,-23
80,81,81,Boo Weekley,74,54.45,104,87,-64,+7
81,82,82,Roberto Castro,92,54.44,141,118,-80,-16
82,83,83,Carl Pettersson,92,54.35,150,126,-82,+3
83,84,84,Ben Crane,73,54.1,132,112,-79,-15
84,85,85,Nick Watney,97,53.98,156,133,-99,-8
85,86,86,Kevin Na,80,53.94,137,117,-61,-1
86,87,87,Sangmoon Bae,81,53.73,108,93,-53,+2
87,88,88,Kevin Streelman,89,53.71,152,131,-80,+1
88,89,89,Daniel Chopra,55,53.57,75,65,-37,-3
89,90,90,Camilo Villegas,79,53.56,143,124,-77,-13
90,91,91,Tommy Gainey,98,53.48,169,147,-79,E
91,92,92,Tom Gillis,75,53.41,141,123,-79,+10
92,93,93,Spencer Levin,81,53.04,131,116,-67,-13
93,94,94,Geoff Ogilvy,73,52.83,112,100,-71,-7
94,95,95,Pat Perez,81,52.73,135,121,-87,-16
95,96,96,Roland Thatcher,55,52.32,79,72,-30,+1
96,97,97,Aaron Baddeley,73,52.25,116,106,-61,-10
97,98,98,Bud Cauley,99,52.1,174,160,-112,-3
98,99,99,Mark Anderson,75,52.02,116,107,-63,+10
99,100,100,Kris Blanks,65,51.83,113,105,-67,-5
100,101,101,Richard Lee,71,51.81,100,93,-51,-14
101,102,102,Danny Lee,74,51.67,108,101,-56,+8
102,103,103,Marc Leishman,84,51.62,143,134,-67,-20
103,104,104,Martin Flores,95,51.58,147,138,-87,-17
104,105,105,Troy Kelly,68,51.45,89,84,-43,+11
105,106,106,Chad Campbell,84,51.37,131,124,-55,-12
106,107,107,Brendan Steele,77,51.18,130,124,-55,-8
107,108,108,J.J. Killeen,101,51.01,152,146,-64,-6
108,109,109,Derek Lamely,64,50.75,101,98,-35,+6
109,110,110,Ian Poulter,57,50.71,71,69,-37,-5
110,111,111,Jonas Blixt,72,50.63,121,118,-83,-4
111,112,112,John Merrick,83,50.59,129,126,-73,-6
112,113,113,Rod Pampling,88,50.21,118,117,-66,-12
113,114,114,Brian Harman,101,50.16,160,159,-86,-23
114,T115,T115,Kevin Kisner,69,50.0,92,92,-55,+1
115,T115,T115,Kyle Thompson,51,50.0,60,60,-25,E
116,117,117,Jeff Maggert,83,49.81,133,134,-69,-14
117,118,118,Daniel Summerhays,81,49.6,123,125,-51,-11
118,119,119,Rocco Mediate,70,49.51,101,103,-51,-15
119,120,120,Matt Every,80,49.35,114,117,-58,-10
120,121,121,Brandt Snedeker,81,49.33,110,113,-65,-17
121,122,122,Scott Dunlap,57,49.06,78,81,-29,+4
122,123,123,Stephen Gangluff,57,49.01,74,77,-29,+5
123,124,124,Ricky Barnes,92,48.8,142,149,-65,-11
124,125,125,Ken Duke,104,48.72,152,160,-79,-27
125,126,126,Bill Lunde,83,48.57,119,126,-71,-6
126,127,127,Zach Johnson,95,48.47,127,135,-75,-31
127,128,128,Steve Stricker,73,48.26,97,104,-58,-19
128,129,129,Miguel Angel Carballo,73,48.1,101,109,-55,-5
129,130,130,Y.E. Yang,64,48.0,72,78,-28,-7
130,131,131,Matt Bettencourt,80,47.95,105,114,-51,E
131,132,132,Trevor Immelman,76,47.78,97,106,-52,+3
132,133,133,K.J. Choi,71,47.66,102,112,-59,-15
133,134,134,Graeme McDowell,55,47.41,64,71,-25,-9
134,135,135,Freddie Jacobson,61,47.3,70,78,-37,+2
135,136,136,Stewart Cink,71,47.29,96,107,-49,-7
136,137,137,Greg Chalmers,88,47.19,126,141,-78,-13
137,138,138,Robert Allenby,76,47.06,104,117,-35,+1
138,139,139,Gary Christian,91,47.04,119,134,-60,-11
139,140,140,Ryo Ishikawa,54,47.01,55,62,-35,-8
140,141,141,Charlie Wi,86,46.99,125,141,-60,-18
141,142,142,Johnson Wagner,88,46.96,139,157,-74,-15
142,143,143,Ryan Moore,89,46.86,142,161,-73,-9
143,144,144,Tim Herron,88,46.74,122,139,-77,-13
144,145,145,Steve Wheatcroft,56,46.26,68,79,-35,-5
145,146,146,Russell Knox,72,45.45,90,108,-64,-11
146,147,147,Tommy Biershenk,74,45.41,99,119,-57,+2
147,148,148,Chris Stroud,86,45.02,122,149,-66,-1
148,149,149,Sung Kang,75,44.89,101,124,-45,-7
149,150,150,Matt Kuchar,86,44.87,105,129,-62,-10
150,151,151,Brandt Jobe,57,44.05,74,94,-38,+5
151,152,152,Heath Slocum,93,43.63,113,146,-53,-12
152,153,153,Chez Reavie,83,43.44,106,138,-49,-18
153,154,154,"Ted Potter, Jr.",77,42.79,92,123,-35,-17
154,155,155,Stuart Appleby,75,42.41,95,129,-60,-14
155,156,156,Kyle Reifers,86,42.22,114,156,-63,-11
156,157,157,Luke Donald,63,42.2,73,100,-50,-25
157,158,158,Jerry Kelly,84,41.83,105,146,-47,-28
158,159,159,William McGirt,96,41.73,116,162,-65,-31
159,160,160,Marco Dawson,60,41.52,71,100,-42,-1
160,161,161,Jason Bohn,81,41.48,95,134,-53,-15
161,162,162,Patrick Sheehan,58,41.45,63,89,-31,-1
162,163,163,David Hearn,95,41.4,130,184,-76,-13
163,164,164,Dicky Pride,62,41.28,71,101,-42,-11
164,165,165,Michael Bradley,63,41.26,85,121,-35,-3
165,166,166,Cameron Beckman,81,40.89,101,146,-47,-17
166,167,167,J.J. Henry,93,40.61,106,155,-49,-1
167,168,168,Alexandre Rocha,62,40.34,71,105,-32,-16
168,169,169,Tom Pernice Jr.,62,40.32,75,111,-43,-3
169,170,170,Brian Davis,91,40.21,115,171,-59,-10
170,171,171,Mark Wilson,84,39.69,102,155,-55,-18
171,172,172,Vaughn Taylor,81,39.66,92,140,-40,-16
172,173,173,Bob Estes,78,39.37,87,134,-47,-13
173,174,174,Jim Furyk,85,38.12,85,138,-49,-32
174,175,175,Tim Clark,60,38.1,64,104,-33,-18
175,176,176,Ryuji Imada,78,37.8,93,153,-45,-9
176,177,177,Michael Thompson,80,37.55,86,143,-60,-19
177,178,178,John Mallinger,74,37.44,82,137,-47,-10
178,179,179,David Toms,60,37.28,63,106,-32,-10
179,180,180,Chris DiMarco,83,37.11,95,161,-55,-22
180,181,181,Brendon Todd,78,36.74,79,136,-43,-5
181,182,182,Ben Curtis,62,36.41,67,117,-38,-20
182,183,183,Stephen Ames,54,35.51,49,89,-26,-4
183,184,184,David Mathis,83,35.12,85,157,-44,-1
184,185,185,Justin Leonard,79,32.5,78,162,-29,-27
185,186,186,Gavin Coles,72,29.38,57,137,-33,-28
186,187,187,Bryce Molder,83,28.62,77,192,-49,-41
187,188,188,Colt Knost,79,28.33,68,172,-33,-14
188,189,189,Brian Gay,91,27.84,76,197,-37,-43
189,190,190,Billy Hurley III,70,27.04,53,143,-23,-9
190,191,191,Nick O'Hern,78,27.0,64,173,-20,-22
