,Left_Rough_Proximity_RANK THIS WEEK,Left_Rough_Proximity_RANK LAST WEEK,Left_Rough_Proximity_PLAYER NAME,Left_Rough_Proximity_ROUNDS,Left_Rough_Proximity_AVG,Left_Rough_Proximity_ATTEMPTS,Left_Rough_Proximity_TOTAL DISTANCE (FEET),Left_Rough_Proximity_RELATIVE TO PAR
0,1,1,Josh Teater,97,"34' 0""",122,4152.5,+3.00
1,2,2,Dustin Johnson,70,"36' 0""",124,4467.917,+6.00
2,3,3,Charl Schwartzel,56,"36' 4""",62,2252.583,-1.00
3,4,4,Kyle Stanley,86,"36' 8""",130,4766.167,+4.00
4,5,5,Louis Oosthuizen,65,"36' 9""",86,3160.833,+7.00
5,6,6,Charlie Beljan,61,"37' 3""",81,3016.333,E
6,7,7,Kyle Thompson,51,"37' 10""",68,2573.167,+8.00
7,T8,T8,Vijay Singh,99,"38' 3""",134,5128.667,+11.00
8,T8,T8,Boo Weekley,74,"38' 3""",80,3057.083,+7.00
9,10,10,Trevor Immelman,76,"38' 8""",99,3825.833,+11.00
10,11,11,Garth Mulroy,59,"38' 11""",92,3581.833,+12.00
11,12,12,Scott Stallings,78,"39' 3""",139,5457.5,+14.00
12,13,13,Ricky Barnes,92,"39' 5""",145,5714.0,+19.00
13,T14,T14,Jonathan Byrd,69,"39' 6""",131,5171.833,+21.00
14,T14,T14,Rory McIlroy,60,"39' 6""",88,3476.25,-3.00
15,T16,T16,Bud Cauley,99,"39' 7""",166,6571.5830000000005,+14.00
16,T16,T16,Bill Lunde,83,"39' 7""",114,4512.0,-1.00
17,18,18,Ryo Ishikawa,54,"39' 9""",75,2981.167,+9.00
18,19,19,Jeff Overton,101,"39' 10""",162,6449.9169999999995,+11.00
19,T20,T20,Troy Kelly,68,"39' 11""",115,4590.583,+16.00
20,T20,T20,Greg Owen,90,"39' 11""",129,5144.833,+13.00
21,T22,T22,Ángel Cabrera,54,"40' 2""",69,2770.5,E
22,T22,T22,Charley Hoffman,88,"40' 2""",126,5057.25,+26.00
23,T22,T22,Webb Simpson,77,"40' 2""",149,5989.4169999999995,+7.00
24,T25,T25,Miguel Angel Carballo,73,"40' 3""",112,4503.5,+22.00
25,T25,T25,Roland Thatcher,55,"40' 3""",72,2898.917,+14.00
26,27,27,Nick Watney,97,"40' 6""",117,4737.25,+13.00
27,T28,T28,Tim Herron,88,"40' 8""",131,5323.3330000000005,+24.00
28,T28,T28,Bo Van Pelt,84,"40' 8""",123,5002.917,+8.00
29,30,30,Tommy Biershenk,74,"40' 9""",118,4808.25,+19.00
30,T31,T31,Danny Lee,74,"40' 11""",105,4299.417,-1.00
31,T31,T31,Kyle Reifers,86,"40' 11""",148,6058.9169999999995,+13.00
32,33,33,Jason Dufner,83,"41' 1""",100,4110.417,+12.00
33,34,34,D.A. Points,88,"41' 2""",143,5885.0,+7.00
34,35,35,Rory Sabbatini,84,"41' 4""",118,4875.083,+19.00
35,T36,T36,Brian Harman,101,"41' 5""",144,5967.75,+30.00
36,T36,T36,Jeff Maggert,83,"41' 5""",119,4930.583,+22.00
37,T38,T38,Jonas Blixt,72,"41' 6""",142,5893.1669999999995,+18.00
38,T38,T38,Chris DiMarco,83,"41' 6""",97,4024.667,+17.00
39,T40,T40,Kris Blanks,65,"41' 7""",104,4326.333,+17.00
40,T40,T40,Heath Slocum,93,"41' 7""",94,3911.333,+34.00
41,42,42,Troy Matteson,100,"41' 8""",176,7339.3330000000005,+4.00
42,43,43,Daniel Chopra,55,"41' 10""",84,3515.667,-3.00
43,T44,T44,Brendon de Jonge,115,"41' 11""",166,6960.8330000000005,+6.00
44,T44,T44,Graham DeLaet,79,"41' 11""",134,5616.5830000000005,+13.00
45,T44,T44,Marc Leishman,84,"41' 11""",129,5402.25,+23.00
46,T44,T44,Carl Pettersson,92,"41' 11""",162,6786.0830000000005,+16.00
47,T48,T48,Jim Furyk,85,"42' 0""",103,4324.25,-3.00
