,Birdie_or_Better_Percentage_-_Rough_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Rough_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Rough_PLAYER NAME,Birdie_or_Better_Percentage_-_Rough_ROUNDS,Birdie_or_Better_Percentage_-_Rough_%,Birdie_or_Better_Percentage_-_Rough_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Rough_TOTAL HOLES
0,1,1,Webb Simpson,77,24.32,63,259
1,2,2,Ben Crane,73,23.44,49,209
2,3,3,Jason Day,57,21.56,47,218
3,4,4,Chris Couch,61,21.51,37,172
4,5,5,Kyle Stanley,86,20.91,60,287
5,6,6,Charlie Beljan,61,20.67,37,179
6,7,7,Ángel Cabrera,54,20.42,29,142
7,8,8,J.B. Holmes,90,20.34,71,349
8,9,9,Bubba Watson,68,19.91,44,221
9,10,10,Steve Stricker,73,19.89,35,176
10,11,11,Matt Every,80,19.82,44,222
11,12,12,Sergio Garcia,57,19.39,32,165
12,13,13,Garth Mulroy,59,19.16,32,167
13,14,14,Danny Lee,74,18.94,43,227
14,15,15,Phil Mickelson,79,18.8,47,250
15,16,16,Louis Oosthuizen,65,18.5,32,173
16,17,17,Seung-Yul Noh,105,18.29,60,328
17,18,18,Lee Westwood,60,18.18,28,154
18,19,19,Dustin Johnson,70,18.1,42,232
19,20,20,John Huh,99,18.04,46,255
20,21,21,Graham DeLaet,79,17.98,48,267
21,22,22,Rory McIlroy,60,17.8,34,191
22,23,23,Charl Schwartzel,56,17.65,24,136
23,24,24,D.A. Points,88,17.61,50,284
24,25,25,Justin Rose,69,17.58,32,182
25,26,26,Andres Romero,68,17.54,37,211
26,27,27,John Daly,50,17.07,28,164
27,28,28,Sean O'Hair,84,16.9,49,290
28,29,29,Sangmoon Bae,81,16.87,41,243
29,30,30,Robert Garrigus,89,16.83,52,309
30,31,31,John Senden,81,16.67,33,198
31,32,32,Keegan Bradley,90,16.54,42,254
32,33,33,Daniel Chopra,55,16.51,35,212
33,34,34,Charles Howell III,98,16.46,54,328
34,35,35,Jason Kokrak,79,16.45,51,310
35,36,36,Scott Piercy,95,16.38,58,354
36,37,37,Chris Stroud,86,16.26,40,246
37,38,38,Davis Love III,64,16.11,34,211
38,39,39,Mark Anderson,75,16.1,43,267
39,40,40,Bill Lunde,83,16.02,41,256
40,41,41,Jeff Overton,101,15.92,57,358
41,42,42,Scott Stallings,78,15.88,44,277
42,43,43,Bo Van Pelt,84,15.81,34,215
43,44,44,Gary Woodland,70,15.7,35,223
44,45,45,Greg Owen,90,15.67,47,300
45,46,46,Tiger Woods,69,15.66,26,166
46,T47,T47,Blake Adams,107,15.49,44,284
47,T47,T47,Roland Thatcher,55,15.49,22,142
48,49,49,Johnson Wagner,88,15.46,45,291
49,50,50,William McGirt,96,15.44,46,298
50,51,51,Adam Scott,59,15.43,25,162
51,52,52,Bud Cauley,99,15.41,49,318
52,T53,T53,Brian Davis,91,15.38,36,234
53,T53,T53,Robert Karlsson,54,15.38,26,169
54,55,55,Harris English,98,15.36,49,319
55,56,56,Jim Furyk,85,15.31,30,196
56,57,57,Aaron Baddeley,73,15.09,35,232
57,58,58,Marco Dawson,60,15.05,28,186
58,T59,T59,Ben Curtis,62,15.0,24,160
59,T59,T59,Patrick Sheehan,58,15.0,27,180
60,61,61,Luke Donald,63,14.97,25,167
61,62,62,Erik Compton,81,14.94,39,261
62,63,63,Martin Flores,95,14.93,53,355
63,64,64,Stewart Cink,71,14.88,36,242
64,65,65,Zach Johnson,95,14.85,34,229
65,66,66,Ryan Moore,89,14.79,38,257
66,67,67,Nick Watney,97,14.73,43,292
67,68,68,Jonathan Byrd,69,14.72,34,231
68,69,69,Gavin Coles,72,14.65,29,198
69,70,70,Tim Herron,88,14.63,42,287
70,71,71,Michael Thompson,80,14.59,34,233
71,T72,T72,Troy Matteson,100,14.55,55,378
72,T72,T72,Ian Poulter,57,14.55,16,110
73,74,74,Kyle Thompson,51,14.49,20,138
74,75,75,Vaughn Taylor,81,14.47,34,235
75,76,76,Jimmy Walker,101,14.43,58,402
76,77,77,Rickie Fowler,84,14.42,30,208
77,78,78,Cameron Beckman,81,14.4,36,250
78,T79,T79,David Mathis,83,14.29,35,245
79,T79,T79,David Toms,60,14.29,18,126
80,81,81,Tommy Gainey,98,14.21,52,366
81,82,82,Scott Dunlap,57,14.19,22,155
82,T83,T83,Bill Haas,79,14.15,30,212
83,T83,T83,Graeme McDowell,55,14.15,15,106
84,85,85,Boo Weekley,74,14.13,26,184
85,86,86,Billy Mayfair,90,14.12,37,262
86,T87,T87,Bob Estes,78,14.1,33,234
87,T87,T87,Jhonattan Vegas,77,14.1,44,312
88,89,89,Ryo Ishikawa,54,14.04,24,171
