,GIR_Percentage_from_Other_than_Fairway_RANK THIS WEEK,GIR_Percentage_from_Other_than_Fairway_RANK LAST WEEK,GIR_Percentage_from_Other_than_Fairway_PLAYER NAME,GIR_Percentage_from_Other_than_Fairway_ROUNDS,GIR_Percentage_from_Other_than_Fairway_%,GIR_Percentage_from_Other_than_Fairway_GREENS HIT,GIR_Percentage_from_Other_than_Fairway_# OF HOLES
0,1,1,Bubba Watson,68,60.73,232,382
1,2,2,Justin Rose,69,59.26,192,324
2,T3,T3,Scott Dunlap,57,58.33,147,252
3,T3,T3,Camilo Villegas,79,58.33,238,408
4,5,5,Mathew Goggin,65,58.22,209,359
5,6,6,Greg Owen,90,56.6,283,500
6,7,7,Webb Simpson,77,56.34,231,410
7,8,8,Seung-Yul Noh,105,56.26,310,551
8,9,9,Danny Lee,74,55.87,219,392
9,10,10,Robert Garrigus,89,55.58,299,538
10,11,11,Bill Lunde,83,55.5,237,427
11,12,12,Charlie Beljan,61,55.34,171,309
12,13,13,Vijay Singh,99,55.28,293,530
13,14,14,Chris Kirk,93,55.27,278,503
14,15,15,Russell Knox,72,55.26,168,304
15,16,16,Daniel Summerhays,81,55.12,226,410
16,17,17,Kris Blanks,65,54.93,167,304
17,T18,T18,Billy Horschel,63,54.86,141,257
18,T18,T18,Hunter Mahan,88,54.86,203,370
19,20,20,Kyle Stanley,86,54.83,261,476
20,21,21,Jason Dufner,83,54.76,207,378
21,22,22,Jhonattan Vegas,77,54.56,269,493
22,23,23,Lee Westwood,60,54.55,156,286
23,24,24,Will Claxton,99,54.47,250,459
24,25,25,Nathan Green,73,54.42,203,373
25,26,26,Scott Stallings,78,54.37,249,458
26,27,27,David Hearn,95,54.29,272,501
27,28,28,Dustin Johnson,70,54.28,222,409
28,29,29,Rory McIlroy,60,54.27,178,328
29,30,30,Stewart Cink,71,54.25,236,435
30,31,31,Jim Furyk,85,54.23,186,343
31,32,32,Miguel Angel Carballo,73,54.19,207,382
32,33,33,J.J. Henry,93,54.13,236,436
33,34,34,John Merrick,83,54.08,212,392
34,35,35,Tim Herron,88,54.07,266,492
35,T36,T36,Martin Flores,95,54.06,326,603
36,T36,T36,William McGirt,96,54.06,273,505
37,38,38,Ben Crane,73,53.89,194,360
38,39,39,Brian Harman,101,53.8,262,487
39,40,40,Charley Hoffman,88,53.78,249,463
40,41,41,D.J. Trahan,73,53.76,200,372
41,42,42,Bud Cauley,99,53.75,294,547
42,43,43,Steve Stricker,73,53.74,194,361
43,T44,T44,Jonas Blixt,72,53.73,216,402
44,T44,T44,Graham DeLaet,79,53.73,223,415
45,T46,T46,Ernie Els,80,53.72,253,471
46,T46,T46,Sean O'Hair,84,53.72,253,471
47,T48,T48,Ricky Barnes,92,53.59,276,515
48,T48,T48,Josh Teater,97,53.59,269,502
49,T50,T50,D.A. Points,88,53.56,233,435
50,T50,T50,Bo Van Pelt,84,53.56,218,407
51,52,52,Charles Howell III,98,53.54,333,622
52,53,53,Kyle Thompson,51,53.47,131,245
53,54,54,Garth Mulroy,59,53.46,170,318
54,55,55,Chez Reavie,83,53.44,194,363
55,56,56,Harris English,98,53.43,296,554
56,57,57,J.B. Holmes,90,53.35,279,523
57,58,58,Louis Oosthuizen,65,53.33,176,330
58,59,59,Scott Piercy,95,53.25,311,584
59,60,60,John Senden,81,53.24,197,370
60,61,61,Kevin Kisner,69,53.17,176,331
