,Rough_Proximity_RANK THIS WEEK,Rough_Proximity_RANK LAST WEEK,Rough_Proximity_PLAYER NAME,Rough_Proximity_ROUNDS,Rough_Proximity_AVG,Rough_Proximity_TOTAL DISTANCE (INCHES),Rough_Proximity_ATTEMPTS,Rough_Proximity_TOTAL DISTANCE (FEET),Rough_Proximity_RELATIVE TO PAR
0,1,1,Charlie Beljan,61,"35' 11""",77162,179,6430.1669999999995,+4.00
1,2,2,Dustin Johnson,70,"37' 11""",105451,232,8787.583,+3.00
2,3,3,Ángel Cabrera,54,"38' 9""",66078,142,5506.5,+9.00
3,4,4,Garth Mulroy,59,"39' 3""",78739,167,6561.5830000000005,+10.00
4,5,5,Troy Kelly,68,"39' 4""",104722,222,8726.833,+27.00
5,6,6,Boo Weekley,74,"39' 7""",87420,184,7285.0,+15.00
6,T7,T7,Louis Oosthuizen,65,"39' 8""",82330,173,6860.8330000000005,+9.00
7,T7,T7,Bubba Watson,68,"39' 8""",105175,221,8764.583,-8.00
8,T9,T9,Jonathan Byrd,69,"39' 9""",110081,231,9173.417,+22.00
9,T9,T9,Roland Thatcher,55,"39' 9""",67741,142,5645.0830000000005,+26.00
10,T11,T11,Webb Simpson,77,"40' 3""",125118,259,10426.5,-10.00
11,T11,T11,Josh Teater,97,"40' 3""",148308,307,12359.0,+37.00
12,T11,T11,Bo Van Pelt,84,"40' 3""",103899,215,8658.25,+12.00
13,14,14,Jonas Blixt,72,"40' 4""",127846,264,10653.833,+20.00
14,15,15,Kyle Stanley,86,"40' 6""",139425,287,11618.75,+9.00
15,T16,T16,Charl Schwartzel,56,"40' 8""",66418,136,5534.8330000000005,+5.00
16,T16,T16,Kyle Thompson,51,"40' 8""",67305,138,5608.75,+21.00
17,T18,T18,Jason Dufner,83,"40' 11""",101556,207,8463.0,+25.00
18,T18,T18,Greg Owen,90,"40' 11""",147226,300,12268.833,+37.00
19,20,20,Vijay Singh,99,"41' 0""",147987,301,12332.25,+33.00
20,21,21,Daniel Chopra,55,"41' 2""",104656,212,8721.333,+22.00
21,T22,T22,Gavin Coles,72,"41' 5""",98358,198,8196.5,+26.00
22,T22,T22,Carl Pettersson,92,"41' 5""",145651,293,12137.583,+42.00
23,T22,T22,Steve Stricker,73,"41' 5""",87408,176,7284.0,E
24,25,25,Robert Allenby,76,"41' 6""",121111,243,10092.583,+67.00
25,T26,T26,Ben Curtis,62,"41' 7""",79857,160,6654.75,+21.00
26,T26,T26,Graeme McDowell,55,"41' 7""",52870,106,4405.833,+19.00
27,28,28,Bud Cauley,99,"41' 8""",159055,318,13254.583,+25.00
28,29,29,Rory McIlroy,60,"41' 9""",95725,191,7977.0830000000005,+4.00
29,T30,T30,Kyle Reifers,86,"41' 10""",126891,253,10574.25,+28.00
30,T30,T30,Heath Slocum,93,"41' 10""",97322,194,8110.1669999999995,+46.00
31,T32,T32,Geoff Ogilvy,73,"41' 11""",105115,209,8759.583,+35.00
32,T32,T32,David Toms,60,"41' 11""",63358,126,5279.8330000000005,+6.00
33,T34,T34,Keegan Bradley,90,"42' 0""",128030,254,10669.167,+21.00
34,T34,T34,Chris DiMarco,83,"42' 0""",113305,225,9442.083,+44.00
35,T34,T34,Tim Herron,88,"42' 0""",144596,287,12049.667,+38.00
36,T34,T34,Bill Lunde,83,"42' 0""",129055,256,10754.583,+25.00
37,T38,T38,Ricky Barnes,92,"42' 1""",165796,328,13816.333,+61.00
38,T38,T38,Chris Couch,61,"42' 1""",86859,172,7238.25,+9.00
39,T38,T38,John Mallinger,74,"42' 1""",99900,198,8325.0,+47.00
40,41,41,Hunter Mahan,88,"42' 2""",105254,208,8771.167,+26.00
41,T42,T42,Miguel Angel Carballo,73,"42' 3""",114683,226,9556.917,+46.00
42,T42,T42,John Daly,50,"42' 3""",83119,164,6926.5830000000005,+27.00
43,T42,T42,Trevor Immelman,76,"42' 3""",113585,224,9465.417,+29.00
44,T45,T45,Ben Crane,73,"42' 5""",106445,209,8870.417,-12.00
45,T45,T45,Daniel Summerhays,81,"42' 5""",125677,247,10473.083,+47.00
46,T47,T47,Charley Hoffman,88,"42' 6""",135688,266,11307.333,+48.00
47,T47,T47,Brendan Steele,77,"42' 6""",113766,223,9480.5,+31.00
48,T47,T47,Charlie Wi,86,"42' 6""",137567,270,11463.917,+43.00
49,T50,T50,Danny Lee,74,"42' 7""",116058,227,9671.5,+10.00
50,T50,T50,Chez Reavie,83,"42' 7""",95553,187,7962.75,+41.00
51,T52,T52,Cameron Beckman,81,"42' 8""",128037,250,10669.75,+42.00
52,T52,T52,Scott Brown,65,"42' 8""",89613,175,7467.75,+31.00
53,T52,T52,Ernie Els,80,"42' 8""",137651,269,11470.917,+21.00
54,T55,T55,Tommy Biershenk,74,"42' 9""",114852,224,9571.0,+55.00
55,T55,T55,Russell Knox,72,"42' 9""",87677,171,7306.4169999999995,+15.00
56,T55,T55,Scott Piercy,95,"42' 9""",181614,354,15134.5,+30.00
57,T55,T55,Scott Stallings,78,"42' 9""",142056,277,11838.0,+27.00
58,T55,T55,Vaughn Taylor,81,"42' 9""",120457,235,10038.083,+44.00
59,T60,T60,Martin Flores,95,"42' 10""",182628,355,15219.0,+38.00
60,T60,T60,Padraig Harrington,67,"42' 10""",88860,173,7405.0,+14.00
61,T60,T60,Seung-Yul Noh,105,"42' 10""",168609,328,14050.75,+16.00
62,63,63,D.J. Trahan,73,"42' 11""",112349,218,9362.417,+36.00
63,T64,T64,Brian Harman,101,"43' 0""",146609,284,12217.417,+57.00
64,T64,T64,Ryo Ishikawa,54,"43' 0""",88178,171,7348.1669999999995,+22.00
65,T64,T64,Kevin Kisner,69,"43' 0""",103149,200,8595.75,+32.00
66,T64,T64,Chris Stroud,86,"43' 0""",126905,246,10575.417,+27.00
67,T64,T64,Steve Wheatcroft,56,"43' 0""",85654,166,7137.8330000000005,+29.00
68,69,69,Billy Horschel,63,"43' 2""",82441,159,6870.0830000000005,+20.00
69,70,70,Marco Dawson,60,"43' 3""",96590,186,8049.1669999999995,+35.00
70,71,71,Stephen Ames,54,"43' 4""",79540,153,6628.3330000000005,+29.00
71,T72,T72,Davis Love III,64,"43' 5""",109858,211,9154.833,+11.00
72,T72,T72,William McGirt,96,"43' 5""",155200,298,12933.333,+23.00
73,T74,T74,Nathan Green,73,"43' 6""",115300,221,9608.333,+29.00
74,T74,T74,Kevin Stadler,85,"43' 6""",119127,228,9927.25,+36.00
75,T76,T76,Tim Clark,60,"43' 7""",72639,139,6053.25,+24.00
76,T76,T76,Bill Haas,79,"43' 7""",110779,212,9231.583,+27.00
77,T76,T76,David Mathis,83,"43' 7""",128013,245,10667.75,+42.00
78,T76,T76,Jeff Overton,101,"43' 7""",187079,358,15589.917,+39.00
79,T80,T80,Ken Duke,104,"43' 8""",160766,307,13397.167,+40.00
80,T80,T80,Scott Dunlap,57,"43' 8""",81207,155,6767.25,+20.00
81,T80,T80,Stephen Gangluff,57,"43' 8""",103198,197,8599.833,+52.00
82,T80,T80,John Merrick,83,"43' 8""",134575,257,11214.583,+35.00
