,GIR_Percentage_-_175-200_yards_RANK THIS WEEK,GIR_Percentage_-_175-200_yards_RANK LAST WEEK,GIR_Percentage_-_175-200_yards_PLAYER NAME,GIR_Percentage_-_175-200_yards_ROUNDS,GIR_Percentage_-_175-200_yards_%,GIR_Percentage_-_175-200_yards_GREENS HIT,GIR_Percentage_-_175-200_yards_TOTAL HOLES,GIR_Percentage_-_175-200_yards_RELATIVE TO PAR
0,1,1,Tiger Woods,69,65.13,99,152,-0.06
1,2,2,Steve Stricker,73,64.24,106,165,-0.22
2,3,3,Ben Curtis,62,63.79,111,174,-0.18
3,4,4,Matt Every,80,63.16,132,209,-0.14
4,5,5,Matt Jones,53,63.06,70,111,-0.14
5,6,6,Graeme McDowell,55,63.04,87,138,-0.14
6,7,7,Rory McIlroy,60,62.61,72,115,-0.19
7,8,8,Jason Dufner,83,62.11,118,190,-0.16
8,9,9,Bubba Watson,68,62.04,67,108,-0.19
9,10,10,Ricky Barnes,92,61.64,180,292,-0.09
10,11,11,Michael Bradley,63,61.54,112,182,-0.09
11,12,12,Luke Donald,63,61.5,123,200,-0.21
12,13,13,Heath Slocum,93,61.4,167,272,-0.10
13,14,14,Kevin Stadler,85,61.35,154,251,-0.09
14,15,15,John Senden,81,61.19,134,219,-0.18
15,16,16,Richard Lee,71,61.14,118,193,-0.19
16,17,17,Robert Garrigus,89,60.93,131,215,-0.15
17,18,18,Scott Dunlap,57,60.78,93,153,-0.10
18,19,19,Garth Mulroy,59,60.61,80,132,-0.08
19,T20,T20,John Merrick,83,60.48,150,248,-0.11
20,T20,T20,D.A. Points,88,60.48,176,291,-0.16
21,22,22,Jim Furyk,85,60.39,154,255,-0.18
22,23,23,Russell Knox,72,60.34,108,179,-0.07
23,24,24,Roland Thatcher,55,60.33,73,121,-0.14
24,25,25,Charl Schwartzel,56,60.28,85,141,-0.15
25,26,26,Graham DeLaet,79,60.18,136,226,-0.09
26,27,27,William McGirt,96,60.14,166,276,-0.12
27,28,28,Cameron Beckman,81,59.92,145,242,-0.10
28,29,29,Justin Rose,69,59.69,117,196,-0.09
29,30,30,Stewart Cink,71,59.49,116,195,-0.13
30,31,31,Louis Oosthuizen,65,59.46,88,148,-0.11
31,32,32,Bill Lunde,83,59.42,123,207,-0.11
32,33,33,Lee Westwood,60,59.09,65,110,-0.11
33,34,34,Chez Reavie,83,58.77,134,228,-0.08
34,35,35,Nathan Green,73,58.64,112,191,-0.12
35,36,36,Hunter Mahan,88,58.62,119,203,-0.06
36,37,37,Chad Campbell,84,58.59,150,256,-0.12
37,38,38,Billy Horschel,63,58.33,84,144,-0.19
38,39,39,Kyle Reifers,86,58.3,137,235,-0.09
39,40,40,Dustin Johnson,70,58.16,82,141,-0.11
40,41,41,Vijay Singh,99,58.14,150,258,-0.10
41,42,42,Nick Watney,97,58.05,137,236,-0.15
42,43,43,Camilo Villegas,79,58.01,134,231,-0.06
43,44,44,Roberto Castro,92,58.0,145,250,-0.08
