,Par_5_Going_for_the_Green_RANK THIS WEEK,Par_5_Going_for_the_Green_RANK LAST WEEK,Par_5_Going_for_the_Green_PLAYER NAME,Par_5_Going_for_the_Green_ROUNDS,Par_5_Going_for_the_Green_%,Par_5_Going_for_the_Green_ATTEMPTS,Par_5_Going_for_the_Green_NON-ATTEMPTS
0,1,1,Bubba Watson,68,81.33,135,31
1,2,2,Rory McIlroy,60,76.47,91,28
2,3,3,Robert Garrigus,89,74.89,173,58
3,4,4,John Daly,50,73.0,73,27
4,5,5,Kyle Stanley,86,70.53,146,61
5,6,6,Henrik Stenson,51,70.45,93,39
6,7,7,Gary Woodland,70,70.18,120,51
7,8,8,Chris Couch,61,70.06,117,50
8,9,9,Sergio Garcia,57,69.85,95,41
9,10,10,Lee Westwood,60,69.53,89,39
10,11,11,Keegan Bradley,90,68.69,147,67
11,12,12,Dustin Johnson,70,67.08,108,53
12,13,13,Martin Laird,77,67.03,124,61
13,14,14,Bill Haas,79,66.16,131,67
14,15,15,Bobby Gates,87,65.37,151,80
15,16,16,Adam Scott,59,65.12,84,45
16,17,17,Rory Sabbatini,84,65.09,138,74
17,18,18,John Senden,81,64.85,131,71
18,19,19,Hunter Haas,69,64.74,101,55
19,20,20,Tiger Woods,69,64.71,99,54
20,21,21,Scott Stallings,78,64.42,134,74
21,22,22,Jhonattan Vegas,77,64.29,135,75
22,23,23,Robert Karlsson,54,63.49,80,46
23,24,24,Scott Piercy,95,63.2,170,99
24,25,25,Phil Mickelson,79,63.13,125,73
25,26,26,Charlie Beljan,61,63.11,77,45
26,27,27,Louis Oosthuizen,65,63.01,92,54
27,28,28,Sean O'Hair,84,63.0,143,84
28,29,29,Josh Teater,97,62.98,165,97
29,30,30,Rickie Fowler,84,62.62,134,80
30,T31,T31,Edward Loar,59,62.5,75,45
31,T31,T31,Charl Schwartzel,56,62.5,75,45
32,T33,T33,Charley Hoffman,88,62.24,150,91
33,T33,T33,J.B. Holmes,90,62.24,150,91
34,35,35,Webb Simpson,77,61.9,130,80
35,36,36,Vijay Singh,99,61.89,151,93
36,37,37,Jeff Overton,101,61.87,172,106
37,38,38,Andres Romero,68,61.27,106,67
38,39,39,James Driscoll,83,60.73,133,86
39,40,40,Jason Day,57,60.69,88,57
