,Approaches_from_125-150_yards_Rgh_RANK THIS WEEK,Approaches_from_125-150_yards_Rgh_RANK LAST WEEK,Approaches_from_125-150_yards_Rgh_PLAYER NAME,Approaches_from_125-150_yards_Rgh_ROUNDS,Approaches_from_125-150_yards_Rgh_AVG,Approaches_from_125-150_yards_Rgh_TOTAL DISTANCE (FEET),Approaches_from_125-150_yards_Rgh_# OF ATTEMPTS,Approaches_from_125-150_yards_Rgh_RELATIVE TO PAR
0,1,1,Louis Oosthuizen,65,"26' 4""",1424.0,54,-2
1,2,2,Tom Pernice Jr.,62,"26' 5""",819.8330000000001,31,E
2,3,3,Kyle Thompson,51,"27' 5""",795.8330000000001,29,+2
3,4,4,Graeme McDowell,55,"27' 6""",605.1669999999999,22,+2
4,5,5,Daniel Chopra,55,"28' 11""",1302.833,45,+2
5,6,6,Phil Mickelson,79,"29' 3""",1668.75,57,-6
6,7,7,Sung Kang,75,"29' 5""",1293.667,44,+2
7,8,8,Stuart Appleby,75,"30' 2""",1751.0,58,+2
8,T9,T9,David Mathis,83,"30' 4""",1061.667,35,E
9,T9,T9,D.A. Points,88,"30' 4""",1700.25,56,-2
10,T11,T11,Tim Herron,88,"30' 5""",2067.25,68,+3
11,T11,T11,Nick O'Hern,78,"30' 5""",1033.5,34,+3
12,13,13,Kevin Na,80,"30' 6""",1037.667,34,-2
13,14,14,Lee Westwood,60,"30' 7""",795.5,26,+3
14,15,15,Brian Davis,91,"30' 9""",1600.4170000000001,52,+4
15,16,16,Bud Cauley,99,"30' 11""",1948.0829999999999,63,+4
16,T17,T17,Padraig Harrington,67,"31' 0""",1053.0,34,+3
17,T17,T17,Rocco Mediate,70,"31' 0""",1116.25,36,+2
18,19,19,Garth Mulroy,59,"31' 1""",1026.25,33,-1
19,T20,T20,Ricky Barnes,92,"31' 2""",1994.25,64,-1
20,T20,T20,Troy Kelly,68,"31' 2""",1432.9170000000001,46,E
21,T20,T20,Hunter Mahan,88,"31' 2""",1307.917,42,+2
22,T23,T23,Ryan Palmer,81,"31' 4""",2130.25,68,+4
23,T23,T23,Chris Stroud,86,"31' 4""",1409.25,45,+7
24,25,25,Hunter Haas,69,"31' 5""",972.6669999999999,31,-2
25,26,26,Scott Dunlap,57,"31' 9""",1111.583,35,+5
26,T27,T27,Ben Curtis,62,"31' 10""",795.4169999999999,25,-1
27,T27,T27,John Senden,81,"31' 10""",1210.0,38,+2
28,T29,T29,D.J. Trahan,73,"31' 11""",1690.0,53,+8
29,T29,T29,Steve Wheatcroft,56,"31' 11""",860.75,27,+2
30,31,31,Boo Weekley,74,"32' 0""",1502.5829999999999,47,+1
31,32,32,David Toms,60,"32' 1""",737.4169999999999,23,E
32,T33,T33,Trevor Immelman,76,"32' 2""",1445.75,45,-1
33,T33,T33,Rory McIlroy,60,"32' 2""",1416.0,44,-4
34,T35,T35,Geoff Ogilvy,73,"32' 3""",1354.5,42,+1
35,T35,T35,Kyle Stanley,86,"32' 3""",2356.583,73,+2
36,T37,T37,Jonas Blixt,72,"32' 4""",1680.75,52,+2
37,T37,T37,Gavin Coles,72,"32' 4""",743.1669999999999,23,E
38,39,39,Bob Estes,78,"32' 6""",1331.4170000000001,41,E
39,40,40,Nick Watney,97,"32' 10""",1873.25,57,+1
40,T41,T41,Davis Love III,64,"33' 0""",1583.25,48,-1
41,T41,T41,Bryce Molder,83,"33' 0""",1716.6670000000001,52,+2
42,T43,T43,Greg Owen,90,"33' 1""",2083.667,63,+13
43,T43,T43,Heath Slocum,93,"33' 1""",1388.5,42,+4
44,T43,T43,Steve Stricker,73,"33' 1""",1126.083,34,+2
45,46,46,Scott Brown,65,"33' 2""",1491.9170000000001,45,+9
46,T47,T47,Kris Blanks,65,"33' 3""",1264.5,38,+10
47,T47,T47,Scott Piercy,95,"33' 3""",2296.0,69,+5
48,T47,T47,Andres Romero,68,"33' 3""",1395.0829999999999,42,+4
49,T47,T47,Bubba Watson,68,"33' 3""",1830.9170000000001,55,E
50,T51,T51,Ben Crane,73,"33' 4""",1266.5,38,-4
51,T51,T51,Bo Van Pelt,84,"33' 4""",1599.1670000000001,48,-4
52,53,53,Jason Day,57,"33' 5""",1469.5829999999999,44,E
