,SG_Approach-the-Green_RANK THIS WEEK,SG_Approach-the-Green_RANK LAST WEEK,SG_Approach-the-Green_PLAYER NAME,SG_Approach-the-Green_ROUNDS,SG_Approach-the-Green_AVERAGE,SG_Approach-the-Green_TOTAL SG:APP,SG_Approach-the-Green_MEASURED ROUNDS
0,1,1,Tiger Woods,69,1.224,58.772,48
1,2,2,Rory McIlroy,60,1.002,40.095,40
2,3,3,Steve Stricker,73,0.898,48.511,54
3,4,4,Justin Rose,69,0.84,44.515,53
4,5,5,Jim Furyk,85,0.83,53.923,65
5,6,6,Brendon de Jonge,115,0.754,76.931,102
6,7,7,Chad Campbell,84,0.7509999999999999,54.857,73
7,8,8,Kevin Stadler,85,0.711,49.738,70
8,9,9,Lee Westwood,60,0.6809999999999999,27.237,40
9,10,10,Robert Garrigus,89,0.68,50.288000000000004,74
10,11,11,Bo Van Pelt,84,0.665,43.226000000000006,65
11,12,12,Graeme McDowell,55,0.6409999999999999,24.351,38
12,13,13,Dustin Johnson,70,0.638,33.823,53
13,14,14,Davis Love III,64,0.635,33.041,52
14,15,15,Nick Watney,97,0.586,44.568000000000005,76
15,16,16,Luke Donald,63,0.5820000000000001,27.930999999999997,48
16,17,17,Phil Mickelson,79,0.5660000000000001,33.958,60
17,18,18,Marc Leishman,84,0.5589999999999999,42.474,76
18,19,19,Kris Blanks,65,0.5579999999999999,33.464,60
19,20,20,Robert Allenby,76,0.537,35.436,66
20,21,21,Vijay Singh,99,0.52,42.107,81
21,22,22,Jason Dufner,83,0.519,33.189,64
22,23,23,Ricky Barnes,92,0.499,40.938,82
23,24,24,Adam Scott,59,0.494,20.256,41
24,25,25,Matt Kuchar,86,0.49,32.366,66
25,26,26,Louis Oosthuizen,65,0.478,23.441999999999997,49
26,27,27,John Senden,81,0.473,29.315,62
27,28,28,Boo Weekley,74,0.466,27.038,58
28,29,29,Ernie Els,80,0.462,30.014,65
29,30,30,Bill Lunde,83,0.449,30.098000000000003,67
30,31,31,Charl Schwartzel,56,0.445,17.81,40
31,32,32,Chris Kirk,93,0.444,37.755,85
32,33,33,Kyle Stanley,86,0.439,30.701,70
33,34,34,Heath Slocum,93,0.42700000000000005,32.062,75
34,35,35,Ben Curtis,62,0.408,19.599,48
35,36,36,Jonathan Byrd,69,0.406,22.730999999999998,56
36,37,37,Bob Estes,78,0.396,25.738000000000003,65
37,38,38,Michael Bradley,63,0.391,21.496,55
38,39,39,Matt Every,80,0.377,24.096999999999998,64
39,40,40,Johnson Wagner,88,0.376,28.551,76
40,41,41,Hunter Mahan,88,0.37200000000000005,23.837,64
41,42,42,Greg Owen,90,0.36700000000000005,28.237,77
42,43,43,Charley Hoffman,88,0.35600000000000004,27.037,76
43,44,44,Zach Johnson,95,0.342,25.281999999999996,74
44,45,45,Nick O'Hern,78,0.34,23.114,68
45,T46,T46,Graham DeLaet,79,0.33399999999999996,23.745,71
46,T46,T46,Carl Pettersson,92,0.33399999999999996,26.715999999999998,80
47,48,48,Padraig Harrington,67,0.331,14.904000000000002,45
48,49,49,D.A. Points,88,0.32899999999999996,26.313000000000002,80
49,50,50,Webb Simpson,77,0.319,21.075,66
50,51,51,Will Claxton,99,0.318,27.373,86
51,52,52,Michael Thompson,80,0.317,20.625,65
52,53,53,Ken Duke,104,0.309,27.766,90
53,54,54,Freddie Jacobson,61,0.306,13.458,44
54,55,55,Kevin Na,80,0.301,19.559,65
55,56,56,Henrik Stenson,51,0.297,12.487,42
56,57,57,Pat Perez,81,0.272,18.76,69
57,58,58,Ryan Moore,89,0.27,21.846,81
58,59,59,Bubba Watson,68,0.265,13.529000000000002,51
59,60,60,Ryan Palmer,81,0.258,18.3,71
60,61,61,Charles Howell III,98,0.257,19.782,77
61,62,62,Scott Dunlap,57,0.252,11.604000000000001,46
62,63,63,Sean O'Hair,84,0.25,18.968,76
63,64,64,Trevor Immelman,76,0.242,13.808,57
64,65,65,Keegan Bradley,90,0.23800000000000002,16.916,71
65,66,66,Jeff Overton,101,0.23600000000000002,21.734,92
66,67,67,John Merrick,83,0.23,16.552,72
67,68,68,Rickie Fowler,84,0.228,15.065,66
68,69,69,Camilo Villegas,79,0.20800000000000002,15.165,73
69,70,70,Kyle Thompson,51,0.204,7.532,37
70,71,71,Scott Piercy,95,0.20199999999999999,17.357,86
71,72,72,Bud Cauley,99,0.201,18.328,91
72,73,73,Stewart Cink,71,0.195,10.55,54
73,74,74,Tim Herron,88,0.193,14.649000000000001,76
74,T75,T75,John Mallinger,74,0.184,11.614,63
75,T75,T75,Kevin Streelman,89,0.184,14.159,77
76,77,77,Martin Laird,77,0.175,9.427,54
77,78,78,Geoff Ogilvy,73,0.168,9.257,55
78,79,79,Vaughn Taylor,81,0.165,10.585,64
79,T80,T80,K.J. Choi,71,0.153,8.591000000000001,56
