,Going_for_the_Green_-_Hit_Green_Pct._RANK THIS WEEK,Going_for_the_Green_-_Hit_Green_Pct._RANK LAST WEEK,Going_for_the_Green_-_Hit_Green_Pct._PLAYER NAME,Going_for_the_Green_-_Hit_Green_Pct._ROUNDS,Going_for_the_Green_-_Hit_Green_Pct._%,Going_for_the_Green_-_Hit_Green_Pct._SUCCESSES,Going_for_the_Green_-_Hit_Green_Pct._ATTEMPTS,Going_for_the_Green_-_Hit_Green_Pct._RTP-SUCCESSES,Going_for_the_Green_-_Hit_Green_Pct._RTP-NOT GOING FOR THE GRN
0,1,1,Charlie Beljan,61,36.56,34,93,-34,34 Under
1,2,2,Rory McIlroy,60,34.34,34,99,-38,38 Under
2,3,3,Adam Scott,59,33.71,30,89,-31,31 Under
3,4,4,John Merrick,83,32.82,43,131,-44,44 Under
4,5,5,Michael Thompson,80,32.56,28,86,-35,35 Under
5,6,6,Ryo Ishikawa,54,31.58,18,57,-23,23 Under
6,7,7,Tiger Woods,69,31.07,32,103,-34,34 Under
7,8,8,Russell Knox,72,30.0,27,90,-35,35 Under
8,T9,T9,Charles Howell III,98,29.66,43,145,-49,49 Under
9,T9,T9,Gary Woodland,70,29.66,43,145,-46,46 Under
10,11,11,Johnson Wagner,88,29.29,41,140,-38,38 Under
11,12,12,Charl Schwartzel,56,29.27,24,82,-24,24 Under
12,13,13,Dustin Johnson,70,28.35,36,127,-36,36 Under
13,14,14,Robert Garrigus,89,28.29,58,205,-61,61 Under
14,15,15,Scott Stallings,78,28.14,47,167,-50,50 Under
15,16,16,Jason Day,57,27.72,28,101,-30,30 Under
16,17,17,Harrison Frazar,56,27.62,29,105,-29,29 Under
17,18,18,Scott Brown,65,27.52,30,109,-28,28 Under
18,19,19,Geoff Ogilvy,73,27.43,31,113,-34,34 Under
19,20,20,Jonas Blixt,72,27.27,33,121,-37,37 Under
20,21,21,Jimmy Walker,101,27.0,54,200,-57,57 Under
21,22,22,Nick Watney,97,26.92,42,156,-49,49 Under
22,23,23,Billy Horschel,63,26.88,25,93,-26,26 Under
23,24,24,Ángel Cabrera,54,26.83,22,82,-25,25 Under
24,25,25,Phil Mickelson,79,26.76,38,142,-37,37 Under
25,26,26,Chris Couch,61,26.72,35,131,-40,40 Under
26,27,27,Sean O'Hair,84,26.7,47,176,-48,48 Under
27,28,28,Bill Haas,79,26.67,40,150,-37,37 Under
28,29,29,Ben Crane,73,26.52,35,132,-39,39 Under
29,30,30,Pat Perez,81,26.47,36,136,-36,36 Under
30,31,31,Brandt Snedeker,81,26.36,29,110,-29,29 Under
31,32,32,Jason Dufner,83,26.19,33,126,-33,33 Under
32,33,33,Graham DeLaet,79,26.17,39,149,-40,40 Under
33,34,34,J.B. Holmes,90,26.04,50,192,-53,53 Under
34,35,35,Keegan Bradley,90,25.97,47,181,-47,47 Under
35,36,36,D.A. Points,88,25.9,43,166,-41,41 Under
36,37,37,Tim Clark,60,25.76,17,66,-15,15 Under
37,38,38,Bubba Watson,68,25.75,43,167,-51,51 Under
