,Total_Hole_Outs_RANK THIS WEEK,Total_Hole_Outs_RANK LAST WEEK,Total_Hole_Outs_PLAYER NAME,Total_Hole_Outs_ROUNDS,Total_Hole_Outs_HOLE OUTS
0,T1,T1,Chris Kirk,93,20
1,T1,T1,Jimmy Walker,101,20
2,T3,T3,Blake Adams,107,19
3,T3,T3,Bud Cauley,99,19
4,T3,T3,Brian Gay,91,19
5,T3,T3,Charles Howell III,98,19
6,7,7,Sean O'Hair,84,17
7,T8,T8,Jonas Blixt,72,16
8,T8,T8,Martin Flores,95,16
9,T8,T8,John Huh,99,16
10,T8,T8,Chris Stroud,86,16
11,T8,T8,Vaughn Taylor,81,16
12,T8,T8,Charlie Wi,86,16
13,14,14,Tommy Biershenk,74,15
14,T15,T15,Keegan Bradley,90,14
15,T15,T15,Will Claxton,99,14
16,T15,T15,Brendon de Jonge,115,14
17,T15,T15,Harris English,98,14
18,T15,T15,Daniel Summerhays,81,14
19,T20,T20,Greg Chalmers,88,13
20,T20,T20,Gary Christian,91,13
21,T20,T20,Chris DiMarco,83,13
22,T20,T20,Ken Duke,104,13
23,T20,T20,Billy Hurley III,70,13
24,T20,T20,Ryuji Imada,78,13
25,T20,T20,Sung Kang,75,13
26,T20,T20,J.J. Killeen,101,13
27,T20,T20,Matt Kuchar,86,13
28,T20,T20,Marc Leishman,84,13
29,T20,T20,Kevin Na,80,13
30,T20,T20,Kyle Reifers,86,13
31,T20,T20,Cameron Tringale,88,13
32,T33,T33,Charlie Beljan,61,12
33,T33,T33,Kevin Chappell,91,12
34,T33,T33,Erik Compton,81,12
35,T33,T33,Ben Crane,73,12
36,T33,T33,Tom Gillis,75,12
37,T33,T33,Charley Hoffman,88,12
38,T33,T33,Dustin Johnson,70,12
39,T33,T33,Spencer Levin,81,12
40,T33,T33,Troy Matteson,100,12
41,T33,T33,Ryan Moore,89,12
42,T33,T33,Scott Piercy,95,12
43,T33,T33,D.A. Points,88,12
44,T33,T33,Chez Reavie,83,12
45,T33,T33,Brendon Todd,78,12
46,T33,T33,Jhonattan Vegas,77,12
47,T48,T48,Sangmoon Bae,81,11
48,T48,T48,Kris Blanks,65,11
49,T48,T48,Chad Campbell,84,11
50,T48,T48,K.J. Choi,71,11
51,T48,T48,Luke Donald,63,11
52,T48,T48,Matt Every,80,11
53,T48,T48,Sergio Garcia,57,11
54,T48,T48,Bobby Gates,87,11
55,T48,T48,Hunter Haas,69,11
56,T48,T48,Bill Haas,79,11
57,T48,T48,Danny Lee,74,11
58,T48,T48,Bill Lunde,83,11
59,T48,T48,David Mathis,83,11
60,T48,T48,Seung-Yul Noh,105,11
61,T48,T48,Pat Perez,81,11
62,T48,T48,John Rollins,81,11
63,T48,T48,Vijay Singh,99,11
64,T48,T48,Brandt Snedeker,81,11
65,T48,T48,Gary Woodland,70,11
66,T67,T67,Robert Allenby,76,10
67,T67,T67,Matt Bettencourt,80,10
68,T67,T67,Brian Davis,91,10
69,T67,T67,Bob Estes,78,10
70,T67,T67,Rickie Fowler,84,10
71,T67,T67,Robert Garrigus,89,10
72,T67,T67,Brian Harman,101,10
73,T67,T67,David Hearn,95,10
74,T67,T67,Tim Herron,88,10
75,T67,T67,Davis Love III,64,10
76,T67,T67,Jeff Maggert,83,10
77,T67,T67,Billy Mayfair,90,10
78,T67,T67,William McGirt,96,10
79,T67,T67,Nick O'Hern,78,10
80,T67,T67,Webb Simpson,77,10
81,T82,T82,Roberto Castro,92,9
82,T82,T82,Daniel Chopra,55,9
83,T82,T82,Marco Dawson,60,9
84,T82,T82,Graham DeLaet,79,9
85,T82,T82,J.J. Henry,93,9
86,T82,T82,Brandt Jobe,57,9
87,T82,T82,Zach Johnson,95,9
88,T82,T82,John Mallinger,74,9
89,T82,T82,Phil Mickelson,79,9
90,T82,T82,Jeff Overton,101,9
91,T82,T82,Ryan Palmer,81,9
92,T82,T82,Dicky Pride,62,9
93,T82,T82,Rory Sabbatini,84,9
94,T82,T82,Henrik Stenson,51,9
95,T82,T82,Mark Wilson,84,9
96,T97,T97,Arjun Atwal,79,8
97,T97,T97,Ricky Barnes,92,8
98,T97,T97,Cameron Beckman,81,8
99,T97,T97,Michael Bradley,63,8
100,T97,T97,Miguel Angel Carballo,73,8
101,T97,T97,Tim Clark,60,8
102,T97,T97,Jim Furyk,85,8
103,T97,T97,Tommy Gainey,98,8
104,T97,T97,Troy Kelly,68,8
105,T97,T97,Kevin Kisner,69,8
106,T97,T97,Justin Leonard,79,8
107,T97,T97,George McNeill,85,8
108,T97,T97,Rod Pampling,88,8
109,T97,T97,Carl Pettersson,92,8
110,T97,T97,Andres Romero,68,8
111,T97,T97,Kevin Streelman,89,8
112,T97,T97,Michael Thompson,80,8
113,T97,T97,Bo Van Pelt,84,8
114,T97,T97,Johnson Wagner,88,8
115,T97,T97,Boo Weekley,74,8
116,T117,T117,Jason Bohn,81,7
117,T117,T117,Scott Brown,65,7
118,T117,T117,Jonathan Byrd,69,7
119,T117,T117,Ángel Cabrera,54,7
120,T117,T117,Stewart Cink,71,7
121,T117,T117,Jason Dufner,83,7
122,T117,T117,Nathan Green,73,7
123,T117,T117,Padraig Harrington,67,7
124,T117,T117,J.B. Holmes,90,7
125,T117,T117,Billy Horschel,63,7
126,T117,T117,Jerry Kelly,84,7
127,T117,T117,Colt Knost,79,7
128,T117,T117,Jason Kokrak,79,7
129,T117,T117,Rocco Mediate,70,7
130,T117,T117,Bryce Molder,83,7
131,T117,T117,Geoff Ogilvy,73,7
132,T117,T117,Greg Owen,90,7
133,T117,T117,"Ted Potter, Jr.",77,7
134,T117,T117,Ian Poulter,57,7
135,T117,T117,Justin Rose,69,7
136,T117,T117,John Senden,81,7
137,T117,T117,Scott Stallings,78,7
138,T117,T117,Brendan Steele,77,7
139,T117,T117,Kyle Thompson,51,7
140,T117,T117,Tiger Woods,69,7
141,T142,T142,Stephen Ames,54,6
142,T142,T142,Jason Day,57,6
143,T142,T142,James Driscoll,83,6
144,T142,T142,Scott Dunlap,57,6
145,T142,T142,Garth Mulroy,59,6
146,T142,T142,Louis Oosthuizen,65,6
147,T142,T142,Heath Slocum,93,6
148,T142,T142,Kyle Stanley,86,6
149,T142,T142,Josh Teater,97,6
150,T142,T142,Nick Watney,97,6
151,T142,T142,Steve Wheatcroft,56,6
152,T142,T142,Y.E. Yang,64,6
153,T154,T154,Mark Anderson,75,5
154,T154,T154,Stuart Appleby,75,5
155,T154,T154,Aaron Baddeley,73,5
156,T154,T154,Stephen Gangluff,57,5
157,T154,T154,Mathew Goggin,65,5
158,T154,T154,Trevor Immelman,76,5
159,T154,T154,Matt Jones,53,5
160,T154,T154,Martin Laird,77,5
161,T154,T154,Derek Lamely,64,5
162,T154,T154,Richard Lee,71,5
163,T154,T154,Hunter Mahan,88,5
164,T154,T154,Tom Pernice Jr.,62,5
165,T154,T154,Charl Schwartzel,56,5
166,T154,T154,Kevin Stadler,85,5
167,T154,T154,Roland Thatcher,55,5
168,T154,T154,D.J. Trahan,73,5
169,T154,T154,Bubba Watson,68,5
170,T171,T171,Chris Couch,61,4
171,T171,T171,John Daly,50,4
172,T171,T171,Ernie Els,80,4
173,T171,T171,Harrison Frazar,56,4
174,T171,T171,Ryo Ishikawa,54,4
175,T171,T171,Russell Knox,72,4
176,T171,T171,John Merrick,83,4
177,T171,T171,Adam Scott,59,4
178,T171,T171,Patrick Sheehan,58,4
179,T171,T171,Steve Stricker,73,4
180,T171,T171,Camilo Villegas,79,4
181,T182,T182,Gavin Coles,72,3
182,T182,T182,Ben Curtis,62,3
183,T182,T182,Freddie Jacobson,61,3
184,T182,T182,Edward Loar,59,3
185,T182,T182,Graeme McDowell,55,3
186,T182,T182,Rory McIlroy,60,3
187,T182,T182,David Toms,60,3
188,T189,T189,Robert Karlsson,54,2
189,T189,T189,Alexandre Rocha,62,2
190,191,191,Lee Westwood,60,1
