,Fairway_Approach_RTP_Score_RANK THIS WEEK,Fairway_Approach_RTP_Score_RANK LAST WEEK,Fairway_Approach_RTP_Score_PLAYER NAME,Fairway_Approach_RTP_Score_ROUNDS,Fairway_Approach_RTP_Score_AVG RTP
0,1,1,Rory McIlroy,60,-.186
1,2,2,Jason Dufner,83,-.159
2,3,3,Tiger Woods,69,-.151
3,4,4,Steve Stricker,73,-.142
4,5,5,Brandt Snedeker,81,-.141
5,T6,T6,Zach Johnson,95,-.136
6,T6,T6,Phil Mickelson,79,-.136
7,8,8,Keegan Bradley,90,-.131
8,9,9,Matt Kuchar,86,-.126
9,10,10,Bubba Watson,68,-.125
10,11,11,Dustin Johnson,70,-.124
11,12,12,Bo Van Pelt,84,-.123
12,T13,T13,Jonas Blixt,72,-.122
13,T13,T13,Luke Donald,63,-.122
14,15,15,Jeff Overton,101,-.119
15,16,16,Ryan Palmer,81,-.118
16,T17,T17,Justin Rose,69,-.117
17,T17,T17,Adam Scott,59,-.117
18,19,19,Brendon de Jonge,115,-.116
19,T20,T20,John Senden,81,-.115
20,T20,T20,Webb Simpson,77,-.115
21,22,22,Charl Schwartzel,56,-.114
22,T23,T23,Geoff Ogilvy,73,-.113
23,T23,T23,Carl Pettersson,92,-.113
24,25,25,Scott Piercy,95,-.112
25,T26,T26,Jason Day,57,-.111
26,T26,T26,Jim Furyk,85,-.111
27,T28,T28,Ken Duke,104,-.110
28,T28,T28,Graeme McDowell,55,-.110
29,30,30,Martin Laird,77,-.107
30,31,31,Ben Curtis,62,-.106
31,T32,T32,Robert Garrigus,89,-.105
32,T32,T32,Ryan Moore,89,-.105
33,T34,T34,Gary Christian,91,-.104
34,T34,T34,Louis Oosthuizen,65,-.104
35,36,36,Lee Westwood,60,-.102
36,37,37,Bill Haas,79,-.101
37,38,38,Jimmy Walker,101,-.099
38,T39,T39,Sergio Garcia,57,-.098
39,T39,T39,Charles Howell III,98,-.098
40,T39,T39,Nick Watney,97,-.098
41,42,42,Richard Lee,71,-.095
42,43,43,Billy Horschel,63,-.094
43,44,44,Brian Gay,91,-.093
44,45,45,Sean O'Hair,84,-.092
45,46,46,Padraig Harrington,67,-.091
46,T47,T47,Martin Flores,95,-.089
47,T47,T47,Vijay Singh,99,-.089
48,T49,T49,Chris Kirk,93,-.088
49,T49,T49,Bill Lunde,83,-.088
50,51,51,Bud Cauley,99,-.087
51,52,52,Nathan Green,73,-.086
52,T53,T53,Jonathan Byrd,69,-.085
53,T53,T53,Kevin Streelman,89,-.085
54,T55,T55,Will Claxton,99,-.084
55,T55,T55,Rickie Fowler,84,-.084
56,T57,T57,Roberto Castro,92,-.083
57,T57,T57,John Rollins,81,-.083
58,T57,T57,Henrik Stenson,51,-.083
59,T60,T60,Harris English,98,-.081
60,T60,T60,Rory Sabbatini,84,-.081
61,T62,T62,Rocco Mediate,70,-.080
62,T62,T62,Vaughn Taylor,81,-.080
63,T62,T62,Johnson Wagner,88,-.080
64,65,65,John Merrick,83,-.079
65,66,66,Kevin Na,80,-.078
66,T67,T67,Brian Davis,91,-.077
67,T67,T67,Brian Harman,101,-.077
68,T69,T69,Greg Chalmers,88,-.076
69,T69,T69,Daniel Summerhays,81,-.076
70,T71,T71,K.J. Choi,71,-.075
71,T71,T71,Tom Gillis,75,-.075
72,T71,T71,Russell Knox,72,-.075
73,T71,T71,Pat Perez,81,-.075
74,T75,T75,Rod Pampling,88,-.074
75,T75,T75,Ian Poulter,57,-.074
76,T77,T77,John Daly,50,-.073
77,T77,T77,Bryce Molder,83,-.073
78,T77,T77,Josh Teater,97,-.073
79,80,80,Kevin Stadler,85,-.072
80,T81,T81,Tim Clark,60,-.071
81,T81,T81,Freddie Jacobson,61,-.071
82,T83,T83,David Hearn,95,-.070
83,T83,T83,J.J. Henry,93,-.070
84,T83,T83,Tim Herron,88,-.070
85,T83,T83,Spencer Levin,81,-.070
86,T83,T83,John Mallinger,74,-.070
87,T83,T83,Camilo Villegas,79,-.070
88,T89,T89,Chad Campbell,84,-.069
89,T89,T89,Kevin Chappell,91,-.069
90,T89,T89,Matt Every,80,-.069
91,T89,T89,Seung-Yul Noh,105,-.069
92,T93,T93,Davis Love III,64,-.068
93,T93,T93,Hunter Mahan,88,-.068
94,T95,T95,Charley Hoffman,88,-.067
95,T95,T95,George McNeill,85,-.067
96,T95,T95,David Toms,60,-.067
97,T98,T98,Robert Karlsson,54,-.066
98,T98,T98,Kevin Kisner,69,-.066
99,T98,T98,D.A. Points,88,-.066
100,T98,T98,Dicky Pride,62,-.066
101,T98,T98,Heath Slocum,93,-.066
102,T103,T103,Ernie Els,80,-.064
