,GIR_Percentage_-__100_yards_RANK THIS WEEK,GIR_Percentage_-__100_yards_RANK LAST WEEK,GIR_Percentage_-__100_yards_PLAYER NAME,GIR_Percentage_-__100_yards_ROUNDS,GIR_Percentage_-__100_yards_%,GIR_Percentage_-__100_yards_GREENS HIT,GIR_Percentage_-__100_yards_TOTAL HOLES,GIR_Percentage_-__100_yards_RELATIVE TO PAR
0,1,1,Richard Lee,71,93.25,152,163,-0.46
1,2,2,Kyle Thompson,51,92.66,101,109,-0.37
2,3,3,K.J. Choi,71,92.64,151,163,-0.53
3,4,4,Roberto Castro,92,92.34,229,248,-0.49
4,5,5,Henrik Stenson,51,91.04,122,134,-0.51
5,6,6,Bryce Molder,83,90.8,158,174,-0.54
6,7,7,Gary Woodland,70,90.65,194,214,-0.58
7,8,8,Robert Garrigus,89,90.55,249,275,-0.5
8,9,9,Bill Lunde,83,90.31,205,227,-0.5
9,10,10,Sean O'Hair,84,90.2,267,296,-0.55
10,11,11,David Hearn,95,89.91,205,228,-0.49
11,12,12,Louis Oosthuizen,65,89.88,151,168,-0.61
12,13,13,Will Claxton,99,89.86,248,276,-0.51
13,14,14,John Rollins,81,89.76,228,254,-0.54
14,15,15,Nick Watney,97,89.72,227,253,-0.59
15,T16,T16,John Merrick,83,89.69,200,223,-0.55
16,T16,T16,Rory Sabbatini,84,89.69,235,262,-0.51
17,18,18,Ernie Els,80,89.42,186,208,-0.52
18,19,19,Nathan Green,73,89.41,152,170,-0.53
19,20,20,Scott Brown,65,89.38,143,160,-0.45
20,21,21,D.A. Points,88,89.34,218,244,-0.49
21,22,22,Nick O'Hern,78,89.33,134,150,-0.4
22,23,23,Tiger Woods,69,89.21,124,139,-0.65
23,24,24,Jason Bohn,81,89.14,156,175,-0.47
24,T25,T25,Rocco Mediate,70,89.13,164,184,-0.49
25,T25,T25,David Toms,60,89.13,123,138,-0.44
26,27,27,Charles Howell III,98,89.11,221,248,-0.62
27,28,28,Scott Stallings,78,89.02,227,255,-0.55
28,29,29,Martin Flores,95,88.97,242,272,-0.51
29,30,30,Tim Herron,88,88.94,201,226,-0.5
30,T31,T31,Hunter Mahan,88,88.89,200,225,-0.43
31,T31,T31,Dicky Pride,62,88.89,120,135,-0.5
32,T31,T31,Josh Teater,97,88.89,288,324,-0.56
33,34,34,Chad Campbell,84,88.84,191,215,-0.46
34,35,35,Brendon de Jonge,115,88.81,262,295,-0.62
35,36,36,Jeff Overton,101,88.6,303,342,-0.51
36,37,37,Brian Davis,91,88.57,217,245,-0.5
37,38,38,Justin Leonard,79,88.51,154,174,-0.44
38,39,39,John Senden,81,88.44,199,225,-0.53
39,40,40,Rickie Fowler,84,88.39,198,224,-0.57
