,Average_Approach_Distance_-_Par_RANK THIS WEEK,Average_Approach_Distance_-_Par_RANK LAST WEEK,Average_Approach_Distance_-_Par_PLAYER NAME,Average_Approach_Distance_-_Par_ROUNDS,Average_Approach_Distance_-_Par_AVG (YARDS),Average_Approach_Distance_-_Par_TOTAL DISTANCE (INCHES),Average_Approach_Distance_-_Par_NUMBER OF APPROACH SHOTS
0,1,1,Charlie Beljan,61,156.3,2678522.0,476
1,2,2,Boo Weekley,74,156.7,3775104.0,669
2,3,3,Edward Loar,59,157.7,2668961.0,470
3,4,4,J.B. Holmes,90,158.1,4849751.0,852
4,5,5,Marco Dawson,60,158.9,2866198.0,501
5,6,6,Brian Harman,101,159.1,5786479.0,1010
6,T7,T7,Harrison Frazar,56,159.2,2956845.0,516
7,T7,T7,Billy Horschel,63,159.2,3146220.0,549
8,T7,T7,Kevin Kisner,69,159.2,3530504.0,616
9,10,10,Daniel Chopra,55,159.3,2688919.0,469
10,11,11,Dustin Johnson,70,159.7,3448871.0,600
11,12,12,Kyle Reifers,86,159.9,5025006.0,873
12,13,13,Troy Kelly,68,160.1,3384178.0,587
13,T14,T14,Martin Flores,95,160.2,5422407.0,940
14,T14,T14,Brian Gay,91,160.2,5368987.0,931
15,T14,T14,Tim Herron,88,160.2,5168526.0,896
16,17,17,Patrick Sheehan,58,160.3,2909383.0,504
17,T18,T18,Matt Jones,53,160.5,2963633.0,513
18,T18,T18,Bubba Watson,68,160.5,3328235.0,576
19,T20,T20,Mark Anderson,75,160.8,3808543.0,658
20,T20,T20,Tommy Gainey,98,160.8,5679602.0,981
21,T20,T20,Adam Scott,59,160.8,2587903.0,447
22,T20,T20,Steve Stricker,73,160.8,3572394.0,617
23,24,24,Tommy Biershenk,74,160.9,3497584.0,604
24,T25,T25,Bud Cauley,99,161.0,6177723.0,1066
25,T25,T25,Bill Lunde,83,161.0,4487077.0,774
26,T25,T25,Vaughn Taylor,81,161.0,4173632.0,720
27,28,28,Charles Howell III,98,161.1,5137494.0,886
28,T29,T29,Davis Love III,64,161.2,3411384.0,588
29,T29,T29,Scott Stallings,78,161.2,4369355.0,753
30,T31,T31,John Daly,50,161.3,2329239.0,401
31,T31,T31,Josh Teater,97,161.3,5259980.0,906
32,33,33,Miguel Angel Carballo,73,161.4,3584184.0,617
33,T34,T34,Alexandre Rocha,62,161.5,3430849.0,590
34,T34,T34,Roland Thatcher,55,161.5,2795905.0,481
35,T34,T34,Steve Wheatcroft,56,161.5,2853892.0,491
36,T37,T37,Kyle Thompson,51,161.7,2398949.0,412
37,T37,T37,Brendon Todd,78,161.7,4085328.0,702
38,T39,T39,Stuart Appleby,75,161.8,4530932.0,778
39,T39,T39,Jason Bohn,81,161.8,4381470.0,752
40,T41,T41,Stephen Ames,54,161.9,2628434.0,451
41,T41,T41,Aaron Baddeley,73,161.9,3583664.0,615
42,T41,T41,Justin Leonard,79,161.9,4550641.0,781
43,T44,T44,Tim Clark,60,162.0,3469869.0,595
44,T44,T44,Freddie Jacobson,61,162.0,2915895.0,500
45,46,46,Russell Knox,72,162.1,3892496.0,667
46,T47,T47,Carl Pettersson,92,162.2,5309430.0,909
47,T47,T47,Bo Van Pelt,84,162.2,4128841.0,707
48,T49,T49,Ben Curtis,62,162.3,3248778.0,556
49,T49,T49,J.J. Henry,93,162.3,5000537.0,856
50,T49,T49,William McGirt,96,162.3,5456318.0,934
51,T52,T52,Ryo Ishikawa,54,162.4,2507666.0,429
52,T52,T52,Louis Oosthuizen,65,162.4,3204457.0,548
53,54,54,John Rollins,81,162.5,4732083.0,809
54,T55,T55,Mathew Goggin,65,162.6,3770099.0,644
55,T55,T55,Jason Kokrak,79,162.6,4636569.0,792
56,T57,T57,Kevin Chappell,91,162.7,4773095.0,815
57,T57,T57,David Toms,60,162.7,3034391.0,518
58,59,59,Graham DeLaet,79,162.8,4736503.0,808
59,T60,T60,Rocco Mediate,70,162.9,4041758.0,689
60,T60,T60,Garth Mulroy,59,162.9,2938494.0,501
61,T60,T60,Rory Sabbatini,84,162.9,4639719.0,791
62,T60,T60,Chris Stroud,86,162.9,5270645.0,899
63,64,64,Colt Knost,79,163.0,4477455.0,763
64,T65,T65,Chris Couch,61,163.1,3565072.0,607
65,T65,T65,Danny Lee,74,163.1,3868749.0,659
66,T65,T65,Ryan Palmer,81,163.1,4567652.0,778
67,T65,T65,Scott Piercy,95,163.1,5594754.0,953
68,T65,T65,Kevin Streelman,89,163.1,5254102.0,895
69,T70,T70,Cameron Beckman,81,163.2,4371621.0,744
70,T70,T70,Stephen Gangluff,57,163.2,2849067.0,485
71,T70,T70,David Hearn,95,163.2,6098333.0,1038
72,T70,T70,Billy Hurley III,70,163.2,3783325.0,644
73,T74,T74,Bob Estes,78,163.3,4431465.0,754
74,T74,T74,Brandt Jobe,57,163.3,3028257.0,515
75,T74,T74,John Mallinger,74,163.3,4292503.0,730
76,T74,T74,Ian Poulter,57,163.3,2538874.0,432
77,T78,T78,Michael Bradley,63,163.4,3806547.0,647
78,T78,T78,Matt Every,80,163.4,4193505.0,713
79,T78,T78,Rory McIlroy,60,163.4,2547763.0,433
80,T78,T78,Daniel Summerhays,81,163.4,4622905.0,786
81,T78,T78,Tiger Woods,69,163.4,3188141.0,542
82,T83,T83,Jason Dufner,83,163.5,4284189.0,728
83,T83,T83,Geoff Ogilvy,73,163.5,3777849.0,642
84,85,85,David Mathis,83,163.6,4705535.0,799
