,Approaches_from_200-225_yards_RANK THIS WEEK,Approaches_from_200-225_yards_RANK LAST WEEK,Approaches_from_200-225_yards_PLAYER NAME,Approaches_from_200-225_yards_ROUNDS,Approaches_from_200-225_yards_AVG,Approaches_from_200-225_yards_TOTAL DISTANCE (FEET),Approaches_from_200-225_yards_# OF ATTEMPTS,Approaches_from_200-225_yards_RELATIVE TO PAR
0,1,1,Michael Thompson,80,"34' 0""",3433.833,101,-8
1,2,2,Rory McIlroy,60,"34' 1""",2179.083,64,-22
2,3,3,Robert Garrigus,89,"34' 3""",4211.917,123,-13
3,4,4,Chad Campbell,84,"35' 1""",3684.083,105,-12
4,5,5,Brandt Jobe,57,"35' 8""",2281.583,64,-1
5,T6,T6,Gary Woodland,70,"35' 11""",3552.0,99,-8
6,T6,T6,Tiger Woods,69,"35' 11""",3231.75,90,-18
7,8,8,Jim Furyk,85,"36' 2""",4556.0,126,-3
8,9,9,Louis Oosthuizen,65,"36' 4""",2867.417,79,-17
9,10,10,Daniel Summerhays,81,"36' 5""",4256.5,117,-3
10,11,11,Boo Weekley,74,"36' 9""",3122.75,85,+2
11,12,12,Kyle Stanley,86,"36' 10""",4126.75,112,-12
12,13,13,Russell Knox,72,"37' 0""",3663.333,99,-5
13,T14,T14,Robert Allenby,76,"37' 1""",3933.583,106,+4
14,T14,T14,Steve Stricker,73,"37' 1""",3818.167,103,-2
15,16,16,Bo Van Pelt,84,"37' 2""",3974.75,107,-8
16,T17,T17,Brendon de Jonge,115,"37' 3""",5659.9169999999995,152,-13
17,T17,T17,Kevin Stadler,85,"37' 3""",3759.5,101,-6
18,19,19,John Huh,99,"37' 4""",5344.0,143,-7
19,20,20,Lee Westwood,60,"37' 5""",2282.0,61,+5
20,21,21,Roberto Castro,92,"37' 6""",4502.25,120,-1
21,T22,T22,Cameron Beckman,81,"37' 7""",3836.917,102,+1
22,T22,T22,Jeff Maggert,83,"37' 7""",4957.333,132,+12
23,T24,T24,Matt Jones,53,"37' 8""",2298.75,61,+2
24,T24,T24,Rory Sabbatini,84,"37' 8""",4069.667,108,-6
25,26,26,Ryan Moore,89,"37' 9""",4797.333,127,-3
26,T27,T27,Arjun Atwal,79,"37' 11""",3866.667,102,+6
27,T27,T27,Justin Rose,69,"37' 11""",3603.333,95,-12
28,T29,T29,Andres Romero,68,"38' 0""",3497.083,92,+3
29,T29,T29,Adam Scott,59,"38' 0""",2733.583,72,-13
30,T31,T31,Charlie Beljan,61,"38' 1""",2588.417,68,-3
31,T31,T31,Gary Christian,91,"38' 1""",4951.583,130,-10
32,T31,T31,Matt Kuchar,86,"38' 1""",4033.167,106,-7
33,34,34,Dustin Johnson,70,"38' 2""",3208.917,84,-4
34,35,35,John Merrick,83,"38' 3""",4319.667,113,-4
35,36,36,Kyle Thompson,51,"38' 5""",2191.917,57,+16
36,37,37,Matt Every,80,"38' 6""",3581.75,93,+6
37,T38,T38,Harris English,98,"38' 7""",5165.333,134,-6
38,T38,T38,Kevin Streelman,89,"38' 7""",4164.75,108,-9
39,T38,T38,Mark Wilson,84,"38' 7""",5013.917,130,+11
