,Approaches_from_225-250_yards_RANK THIS WEEK,Approaches_from_225-250_yards_RANK LAST WEEK,Approaches_from_225-250_yards_PLAYER NAME,Approaches_from_225-250_yards_ROUNDS,Approaches_from_225-250_yards_AVG,Approaches_from_225-250_yards_TOTAL DISTANCE (FEET),Approaches_from_225-250_yards_# OF ATTEMPTS,Approaches_from_225-250_yards_RELATIVE TO PAR
0,1,1,Davis Love III,64,"38' 11""",1633.5829999999999,42,-11
1,2,2,Charl Schwartzel,56,"39' 11""",1635.25,41,-9
2,3,3,Boo Weekley,74,"42' 6""",1911.0,45,-12
3,T4,T4,Keegan Bradley,90,"42' 11""",2920.583,68,-25
4,T4,T4,Steve Wheatcroft,56,"42' 11""",1158.833,27,-1
5,6,6,Andres Romero,68,"43' 1""",1896.5829999999999,44,-5
6,7,7,Jason Dufner,83,"43' 5""",2563.0,59,-16
7,8,8,Kyle Thompson,51,"43' 10""",1403.5,32,-3
8,9,9,Seung-Yul Noh,105,"44' 0""",2686.0,61,-21
9,10,10,Kyle Stanley,86,"44' 1""",2379.833,54,-17
10,11,11,Harris English,98,"44' 2""",3182.083,72,-13
11,12,12,Tom Gillis,75,"44' 5""",3378.333,76,-21
12,13,13,Lee Westwood,60,"44' 7""",1917.0,43,-16
13,14,14,Martin Flores,95,"45' 0""",2476.25,55,-14
14,15,15,Graham DeLaet,79,"45' 2""",2484.583,55,-19
15,16,16,Tom Pernice Jr.,62,"45' 3""",2442.833,54,-11
16,17,17,Richard Lee,71,"45' 8""",2239.5,49,-8
17,18,18,Robert Garrigus,89,"45' 9""",2834.75,62,-19
18,19,19,Brendon de Jonge,115,"45' 10""",4121.833,90,-33
19,20,20,David Toms,60,"46' 0""",2206.333,48,-11
20,T21,T21,Robert Karlsson,54,"46' 2""",1754.4170000000001,38,-6
21,T21,T21,Jeff Maggert,83,"46' 2""",3418.333,74,-22
22,23,23,Luke Donald,63,"46' 5""",2088.5,45,-14
23,24,24,Rory McIlroy,60,"46' 8""",1587.5829999999999,34,-6
24,25,25,Scott Brown,65,"46' 10""",1920.25,41,-13
25,26,26,Billy Horschel,63,"47' 0""",2067.167,44,-19
26,T27,T27,Jerry Kelly,84,"47' 1""",2967.75,63,-14
27,T27,T27,Scott Stallings,78,"47' 1""",2588.583,55,-16
28,29,29,Brian Harman,101,"47' 2""",3443.917,73,-19
