,Fairway_Proximity_RANK THIS WEEK,Fairway_Proximity_RANK LAST WEEK,Fairway_Proximity_PLAYER NAME,Fairway_Proximity_ROUNDS,Fairway_Proximity_AVG,Fairway_Proximity_ATTEMPTS,Fairway_Proximity_TOTAL DISTANCE (FEET),Fairway_Proximity_RELATIVE TO PAR
0,T1,T1,Robert Garrigus,89,"28' 2""",917,25804.5,-96.00
1,T1,T1,Rory McIlroy,60,"28' 2""",490,13797.667,-91.00
2,3,3,Steve Stricker,73,"28' 5""",734,20837.75,-104.00
3,T4,T4,Roland Thatcher,55,"28' 7""",585,16701.333,-20.00
4,T4,T4,Tiger Woods,69,"28' 7""",655,18723.5,-99.00
5,6,6,Vaughn Taylor,81,"28' 8""",834,23901.167,-67.00
6,7,7,Jim Furyk,85,"29' 6""",937,27666.25,-104.00
7,8,8,Dustin Johnson,70,"29' 8""",652,19339.333,-81.00
8,T9,T9,Charlie Beljan,61,"29' 9""",539,16027.167,-28.00
9,T9,T9,Russell Knox,72,"29' 9""",785,23358.0,-59.00
10,T9,T9,Boo Weekley,74,"29' 9""",797,23717.917,-27.00
11,12,12,Kyle Stanley,86,"29' 10""",882,26306.25,-45.00
12,T13,T13,Charl Schwartzel,56,"29' 11""",535,15985.5,-61.00
13,T13,T13,Kyle Thompson,51,"29' 11""",492,14724.333,E
14,T15,T15,Tim Clark,60,"30' 0""",714,21434.333,-51.00
15,T15,T15,Marco Dawson,60,"30' 0""",578,17343.417,-26.00
16,T15,T15,Graham DeLaet,79,"30' 0""",933,28028.5,-43.00
17,T15,T15,Matt Kuchar,86,"30' 0""",889,26665.833,-112.00
18,T15,T15,Lee Westwood,60,"30' 0""",520,15613.833,-53.00
19,T20,T20,Jason Dufner,83,"30' 1""",879,26478.833,-140.00
20,T20,T20,Jeff Maggert,83,"30' 1""",1068,32155.083,-60.00
21,T20,T20,Graeme McDowell,55,"30' 1""",537,16172.167,-59.00
22,T23,T23,Brendon de Jonge,115,"30' 2""",1368,41258.25,-159.00
23,T23,T23,Matt Every,80,"30' 2""",844,25435.0,-58.00
24,T23,T23,Chez Reavie,83,"30' 2""",935,28225.917,-51.00
25,T23,T23,Heath Slocum,93,"30' 2""",1073,32391.333,-71.00
26,T27,T27,Chad Campbell,84,"30' 3""",950,28768.167,-66.00
27,T27,T27,Gary Christian,91,"30' 3""",1040,31502.833,-108.00
28,T27,T27,Davis Love III,64,"30' 3""",675,20419.75,-46.00
29,T27,T27,Bill Lunde,83,"30' 3""",860,26044.833,-76.00
30,T27,T27,Ryan Palmer,81,"30' 3""",890,26937.667,-105.00
31,T27,T27,Bo Van Pelt,84,"30' 3""",871,26383.583,-107.00
32,T33,T33,Billy Horschel,63,"30' 4""",651,19744.75,-61.00
33,T33,T33,Ryan Moore,89,"30' 4""",1107,33597.167,-116.00
34,T35,T35,Jason Bohn,81,"30' 5""",912,27744.333,-55.00
35,T35,T35,Chris Kirk,93,"30' 5""",1089,33094.25,-96.00
36,T35,T35,Kevin Stadler,85,"30' 5""",944,28689.333,-68.00
37,T38,T38,Bob Estes,78,"30' 6""",877,26784.75,-54.00
38,T38,T38,Robert Karlsson,54,"30' 6""",502,15309.0,-33.00
39,T38,T38,Kevin Streelman,89,"30' 6""",1023,31229.917,-87.00
40,T41,T41,Cameron Beckman,81,"30' 7""",920,28131.667,-16.00
41,T41,T41,Adam Scott,59,"30' 7""",528,16157.917,-62.00
42,T43,T43,Ben Curtis,62,"30' 8""",671,20602.917,-71.00
43,T43,T43,Scott Dunlap,57,"30' 8""",618,18940.917,-24.00
44,T43,T43,Camilo Villegas,79,"30' 8""",980,30054.667,-69.00
45,T43,T43,Nick Watney,97,"30' 8""",991,30419.417,-97.00
46,47,47,Tommy Gainey,98,"30' 9""",1108,34052.667,-50.00
47,T48,T48,Keegan Bradley,90,"30' 10""",929,28659.417,-122.00
48,T48,T48,Bud Cauley,99,"30' 10""",1201,37000.25,-104.00
49,T48,T48,Justin Leonard,79,"30' 10""",908,28014.833,-10.00
50,T48,T48,Scott Stallings,78,"30' 10""",858,26486.75,-36.00
51,T52,T52,Ricky Barnes,92,"30' 11""",1045,32299.333,-66.00
52,T52,T52,Will Claxton,99,"30' 11""",1160,35902.5,-97.00
53,T52,T52,Rickie Fowler,84,"30' 11""",905,27993.5,-76.00
54,T52,T52,Jason Kokrak,79,"30' 11""",834,25758.417,-38.00
55,T52,T52,Bryce Molder,83,"30' 11""",947,29278.667,-69.00
56,T52,T52,Geoff Ogilvy,73,"30' 11""",711,21957.167,-80.00
57,T52,T52,Carl Pettersson,92,"30' 11""",1040,32194.25,-117.00
58,T52,T52,Scott Piercy,95,"30' 11""",1058,32710.917,-118.00
59,T60,T60,Robert Allenby,76,"31' 0""",857,26588.417,-31.00
60,T60,T60,Luke Donald,63,"31' 0""",647,20080.333,-79.00
61,T60,T60,Brian Gay,91,"31' 0""",1046,32420.667,-97.00
62,T60,T60,Freddie Jacobson,61,"31' 0""",549,17016.75,-39.00
63,T60,T60,Zach Johnson,95,"31' 0""",1029,31931.583,-140.00
64,T60,T60,Rory Sabbatini,84,"31' 0""",917,28427.333,-74.00
65,T66,T66,William McGirt,96,"31' 1""",1023,31795.0,-64.00
66,T66,T66,Sean O'Hair,84,"31' 1""",975,30333.75,-90.00
67,T66,T66,Justin Rose,69,"31' 1""",715,22247.333,-84.00
68,T69,T69,Stephen Ames,54,"31' 2""",511,15936.75,-4.00
69,T69,T69,Gavin Coles,72,"31' 2""",785,24491.25,-45.00
70,T69,T69,Brian Harman,101,"31' 2""",1199,37409.417,-92.00
71,T69,T69,J.J. Henry,93,"31' 2""",973,30320.583,-68.00
72,T69,T69,John Mallinger,74,"31' 2""",877,27320.167,-61.00
73,T74,T74,J.B. Holmes,90,"31' 3""",940,29371.917,-60.00
74,T74,T74,John Merrick,83,"31' 3""",957,29897.25,-76.00
75,T74,T74,Vijay Singh,99,"31' 3""",1056,33004.667,-94.00
76,T74,T74,Michael Thompson,80,"31' 3""",875,27322.75,-48.00
77,T78,T78,Webb Simpson,77,"31' 4""",841,26381.0,-97.00
78,T78,T78,Bubba Watson,68,"31' 4""",623,19512.083,-78.00
79,T80,T80,Brian Davis,91,"31' 5""",1108,34808.167,-85.00
80,T80,T80,Ken Duke,104,"31' 5""",1222,38423.333,-134.00
81,T82,T82,Ryo Ishikawa,54,"31' 6""",454,14311.5,-1.00
82,T82,T82,Louis Oosthuizen,65,"31' 6""",643,20248.167,-67.00
83,T82,T82,Alexandre Rocha,62,"31' 6""",678,21348.0,-23.00
84,T85,T85,Michael Bradley,63,"31' 7""",678,21412.917,-18.00
85,T85,T85,Roberto Castro,92,"31' 7""",1025,32349.083,-85.00
86,T85,T85,Stewart Cink,71,"31' 7""",650,20520.25,-21.00
87,T85,T85,D.A. Points,88,"31' 7""",1072,33832.5,-71.00
88,T85,T85,Patrick Sheehan,58,"31' 7""",569,17988.083,+3.00
89,T85,T85,Gary Woodland,70,"31' 7""",651,20553.667,-27.00
90,T91,T91,Padraig Harrington,67,"31' 8""",583,18471.75,-53.00
91,T91,T91,David Hearn,95,"31' 8""",1179,37366.917,-82.00
92,T93,T93,Scott Brown,65,"31' 9""",669,21263.417,-32.00
93,T93,T93,John Daly,50,"31' 9""",467,14827.25,-34.00
94,T93,T93,Jason Day,57,"31' 9""",570,18117.833,-63.00
95,T93,T93,Ernie Els,80,"31' 9""",824,26161.75,-53.00
96,T93,T93,Brandt Jobe,57,"31' 9""",622,19770.917,-5.00
97,T93,T93,Richard Lee,71,"31' 9""",790,25091.333,-75.00
98,T93,T93,Rocco Mediate,70,"31' 9""",759,24095.083,-61.00
99,T93,T93,Chris Stroud,86,"31' 9""",1006,31948.5,-57.00
100,T101,T101,Harrison Frazar,56,"31' 10""",586,18677.75,-33.00
101,T101,T101,Marc Leishman,84,"31' 10""",928,29565.083,-43.00
102,T101,T101,Steve Wheatcroft,56,"31' 10""",543,17286.5,-29.00
103,T104,T104,Arjun Atwal,79,"31' 11""",878,28043.917,-39.00
104,T104,T104,K.J. Choi,71,"31' 11""",760,24239.5,-57.00
105,T104,T104,Hunter Mahan,88,"31' 11""",868,27692.5,-59.00
106,T104,T104,Greg Owen,90,"31' 11""",985,31463.667,-57.00
107,T104,T104,Kyle Reifers,86,"31' 11""",999,31915.0,-58.00
108,T104,T104,David Toms,60,"31' 11""",626,19986.583,-42.00
109,T104,T104,D.J. Trahan,73,"31' 11""",812,25919.333,-10.00
110,T111,T111,Bobby Gates,87,"32' 0""",964,30867.583,-60.00
111,T111,T111,Nick O'Hern,78,"32' 0""",914,29229.833,-33.00
112,T111,T111,Dicky Pride,62,"32' 0""",652,20863.833,-43.00
113,T114,T114,Jonas Blixt,72,"32' 1""",804,25804.0,-98.00
114,T114,T114,Kevin Chappell,91,"32' 1""",903,28983.0,-62.00
115,T114,T114,Harris English,98,"32' 1""",1130,36252.583,-91.00
116,T114,T114,Charley Hoffman,88,"32' 1""",981,31451.583,-66.00
117,T114,T114,Charles Howell III,98,"32' 1""",951,30511.583,-93.00
118,T119,T119,Tim Herron,88,"32' 2""",983,31601.25,-69.00
119,T119,T119,George McNeill,85,"32' 2""",927,29802.083,-62.00
120,T119,T119,Seung-Yul Noh,105,"32' 2""",1076,34642.25,-74.00
121,T119,T119,Pat Perez,81,"32' 2""",932,30012.25,-70.00
122,T119,T119,Brandt Snedeker,81,"32' 2""",867,27862.75,-122.00
123,T124,T124,Matt Bettencourt,80,"32' 3""",713,22981.333,-23.00
124,T124,T124,Kris Blanks,65,"32' 3""",821,26481.333,-21.00
125,T124,T124,Colt Knost,79,"32' 3""",948,30553.75,-15.00
126,T124,T124,Garth Mulroy,59,"32' 3""",592,19083.75,-38.00
127,T124,T124,Ian Poulter,57,"32' 3""",537,17340.417,-40.00
128,T124,T124,Josh Teater,97,"32' 3""",1074,34631.667,-78.00
129,T130,T130,Trevor Immelman,76,"32' 4""",741,23963.167,-39.00
130,T130,T130,Matt Jones,53,"32' 4""",544,17604.583,-20.00
131,T130,T130,Jeff Overton,101,"32' 4""",1181,38222.833,-140.00
132,T130,T130,Johnson Wagner,88,"32' 4""",1001,32344.0,-80.00
133,T130,T130,Y.E. Yang,64,"32' 4""",614,19846.667,-37.00
134,T135,T135,Jerry Kelly,84,"32' 5""",1061,34427.0,-68.00
135,T135,T135,Troy Matteson,100,"32' 5""",998,32346.75,-44.00
136,T135,T135,Phil Mickelson,79,"32' 5""",728,23585.083,-99.00
137,T138,T138,Mathew Goggin,65,"32' 6""",684,22214.25,-43.00
138,T138,T138,Andres Romero,68,"32' 6""",665,21608.0,-18.00
139,T138,T138,Mark Wilson,84,"32' 6""",958,31138.0,-28.00
