,Average_Distance_after_Going_for_it_Shot_RANK THIS WEEK,Average_Distance_after_Going_for_it_Shot_RANK LAST WEEK,Average_Distance_after_Going_for_it_Shot_PLAYER NAME,Average_Distance_after_Going_for_it_Shot_ROUNDS,Average_Distance_after_Going_for_it_Shot_AVG,Average_Distance_after_Going_for_it_Shot_TOTAL DIST AFTER GFG SHOT,Average_Distance_after_Going_for_it_Shot_TOTAL GFG SHOTS
0,1,1,Adam Scott,59,18.6,59490.0,89
1,2,2,Tiger Woods,69,19.6,72760.0,103
2,3,3,Rory McIlroy,60,19.9,70750.0,99
3,4,4,Michael Thompson,80,20.0,61961.0,86
4,5,5,Keegan Bradley,90,20.2,131555.0,181
5,6,6,Roland Thatcher,55,20.3,57678.0,79
6,7,7,Louis Oosthuizen,65,20.4,75057.0,102
7,8,8,John Merrick,83,20.5,96617.0,131
8,9,9,Sergio Garcia,57,20.7,74373.0,100
9,10,10,Dustin Johnson,70,20.8,94965.0,127
10,11,11,Robert Garrigus,89,20.9,154588.0,205
11,12,12,Charlie Beljan,61,21.0,70187.0,93
12,13,13,Jim Furyk,85,21.1,64447.0,85
13,T14,T14,Charles Howell III,98,21.2,110709.0,145
14,T14,T14,Dicky Pride,62,21.2,54308.0,71
15,16,16,Sean O'Hair,84,21.4,135542.0,176
16,17,17,Bubba Watson,68,21.5,128990.0,167
17,18,18,Tom Gillis,75,21.8,110780.0,141
18,T19,T19,Jimmy Walker,101,21.9,157442.0,200
19,T19,T19,Nick Watney,97,21.9,122895.0,156
20,T19,T19,Boo Weekley,74,21.9,83622.0,106
21,T22,T22,Vijay Singh,99,22.0,141963.0,179
22,T22,T22,Gary Woodland,70,22.0,114700.0,145
23,24,24,Brendon de Jonge,115,22.1,160610.0,202
24,25,25,Davis Love III,64,22.2,75943.0,95
25,T26,T26,Ryo Ishikawa,54,22.3,45848.0,57
26,T26,T26,Ryan Palmer,81,22.3,129012.0,161
27,T28,T28,Tommy Biershenk,74,22.4,79673.0,99
28,T28,T28,Ernie Els,80,22.4,99874.0,124
29,T28,T28,Rod Pampling,88,22.4,95271.0,118
30,T28,T28,D.A. Points,88,22.4,134062.0,166
31,T32,T32,Bud Cauley,99,22.5,141567.0,175
32,T32,T32,William McGirt,96,22.5,94977.0,117
33,T32,T32,Bo Van Pelt,84,22.5,107894.0,133
34,T32,T32,Camilo Villegas,79,22.5,116085.0,143
35,T36,T36,Roberto Castro,92,22.6,116304.0,143
36,T36,T36,Graham DeLaet,79,22.6,121041.0,149
37,T36,T36,Russell Knox,72,22.6,73104.0,90
38,T36,T36,Geoff Ogilvy,73,22.6,92138.0,113
39,T36,T36,Charl Schwartzel,56,22.6,66691.0,82
40,T41,T41,Jonas Blixt,72,22.7,98921.0,121
41,T41,T41,John Daly,50,22.7,71976.0,88
42,T41,T41,Luke Donald,63,22.7,59591.0,73
43,T41,T41,Justin Rose,69,22.7,84124.0,103
44,T45,T45,Charley Hoffman,88,22.8,148523.0,181
45,T45,T45,Matt Kuchar,86,22.8,86196.0,105
46,T45,T45,George McNeill,85,22.8,120011.0,146
47,T45,T45,Carl Pettersson,92,22.8,124188.0,151
48,T45,T45,Kyle Stanley,86,22.8,148800.0,181
49,T50,T50,Ken Duke,104,22.9,126047.0,153
50,T50,T50,Martin Flores,95,22.9,123688.0,150
51,T50,T50,Padraig Harrington,67,22.9,73336.0,89
52,T50,T50,Zach Johnson,95,22.9,104568.0,127
53,T54,T54,Brian Harman,101,23.0,132474.0,160
54,T54,T54,Josh Teater,97,23.0,162040.0,196
55,T56,T56,Jason Dufner,83,23.1,104635.0,126
56,T56,T56,Brandt Jobe,57,23.1,61443.0,74
57,T56,T56,John Senden,81,23.1,121998.0,147
58,T59,T59,Harrison Frazar,56,23.2,87549.0,105
59,T59,T59,Mathew Goggin,65,23.2,97857.0,117
60,T59,T59,Freddie Jacobson,61,23.2,60225.0,72
61,T59,T59,Ian Poulter,57,23.2,59305.0,71
62,T63,T63,Ángel Cabrera,54,23.3,68713.0,82
63,T63,T63,Richard Lee,71,23.3,83836.0,100
