,Birdie_or_Better_Percentage_-_Left_Rough_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Left_Rough_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Left_Rough_PLAYER NAME,Birdie_or_Better_Percentage_-_Left_Rough_ROUNDS,Birdie_or_Better_Percentage_-_Left_Rough_%,Birdie_or_Better_Percentage_-_Left_Rough_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Left_Rough_TOTAL HOLES
0,1,1,Danny Lee,74,22.86,24,105
1,2,2,Lee Westwood,60,22.35,19,85
2,3,3,Charlie Beljan,61,22.22,18,81
3,4,4,Jason Day,57,22.12,23,104
4,5,5,Ben Crane,73,21.9,23,105
5,6,6,Ángel Cabrera,54,21.74,15,69
6,7,7,J.B. Holmes,90,21.69,36,166
7,8,8,John Senden,81,21.11,19,90
8,9,9,Charl Schwartzel,56,20.97,13,62
9,10,10,Garth Mulroy,59,20.65,19,92
10,11,11,Justin Rose,69,20.55,15,73
11,12,12,Rory McIlroy,60,20.45,18,88
12,13,13,Phil Mickelson,79,20.13,30,149
13,T14,T14,Davis Love III,64,20.0,21,105
14,T14,T14,Kyle Stanley,86,20.0,26,130
15,T14,T14,Bubba Watson,68,20.0,21,105
16,17,17,Chris Couch,61,19.72,14,71
17,18,18,Gary Woodland,70,19.69,25,127
18,19,19,Tiger Woods,69,19.35,18,93
19,20,20,Josh Teater,97,18.85,23,122
20,21,21,Webb Simpson,77,18.79,28,149
21,22,22,Graham DeLaet,79,18.66,25,134
22,23,23,Billy Horschel,63,18.42,14,76
23,24,24,Matt Every,80,18.27,19,104
24,25,25,Jason Kokrak,79,18.24,27,148
25,26,26,Troy Matteson,100,18.18,32,176
26,27,27,Andres Romero,68,18.1,19,105
27,28,28,Ken Duke,104,18.03,22,122
28,29,29,Mark Anderson,75,17.92,19,106
29,30,30,Charles Howell III,98,17.89,22,123
30,T31,T31,Daniel Chopra,55,17.86,15,84
31,T31,T31,John Daly,50,17.86,15,84
32,33,33,Kyle Thompson,51,17.65,12,68
33,34,34,Bill Lunde,83,17.54,20,114
34,35,35,D.A. Points,88,17.48,25,143
35,36,36,Louis Oosthuizen,65,17.44,15,86
36,37,37,John Huh,99,17.36,21,121
