,Approaches_from__275_yards_Rgh_RANK THIS WEEK,Approaches_from__275_yards_Rgh_RANK LAST WEEK,Approaches_from__275_yards_Rgh_PLAYER NAME,Approaches_from__275_yards_Rgh_ROUNDS,Approaches_from__275_yards_Rgh_AVG,Approaches_from__275_yards_Rgh_TOTAL DISTANCE (FEET),Approaches_from__275_yards_Rgh_# OF ATTEMPTS,Approaches_from__275_yards_Rgh_RELATIVE TO PAR
0,1,1,Miguel Angel Carballo,73,"28' 10""",28.833000000000002,1,-1
1,2,2,Ben Curtis,62,"29' 5""",29.416999999999998,1,-1
2,3,3,Danny Lee,74,"38' 3""",38.25,1,E
3,4,4,Heath Slocum,93,"42' 0""",84.0,2,-1
4,5,5,Alexandre Rocha,62,"51' 8""",103.25,2,-1
5,6,6,Kyle Reifers,86,"61' 0""",183.0,3,E
6,7,7,Ricky Barnes,92,"63' 9""",127.417,2,-2
7,8,8,Geoff Ogilvy,73,"64' 9""",64.75,1,E
8,9,9,Billy Hurley III,70,"64' 10""",129.583,2,E
9,10,10,Rod Pampling,88,"67' 2""",201.583,3,-3
10,11,11,Robert Karlsson,54,"68' 11""",206.833,3,-2
11,12,12,Rory Sabbatini,84,"71' 10""",143.667,2,E
12,13,13,Mark Anderson,75,"71' 11""",71.917,1,-1
13,14,14,James Driscoll,83,"72' 2""",360.917,5,-1
14,15,15,Harrison Frazar,56,"73' 3""",73.25,1,E
15,16,16,Daniel Chopra,55,"73' 8""",220.917,3,-1
16,17,17,Erik Compton,81,"74' 1""",148.167,2,-1
17,18,18,Greg Owen,90,"75' 1""",300.33299999999997,4,-2
18,19,19,Robert Garrigus,89,"76' 3""",228.667,3,+1
19,20,20,Harris English,98,"76' 7""",459.583,6,-6
20,21,21,Gavin Coles,72,"76' 8""",76.667,1,E
21,22,22,Gary Woodland,70,"76' 10""",76.833,1,-1
22,23,23,Pat Perez,81,"76' 11""",307.58299999999997,4,-3
23,24,24,Billy Mayfair,90,"77' 2""",231.417,3,-2
24,25,25,John Daly,50,"77' 5""",464.583,6,-4
25,26,26,Webb Simpson,77,"77' 6""",232.583,3,-3
26,27,27,Brendan Steele,77,"77' 11""",155.75,2,E
27,28,28,Matt Bettencourt,80,"78' 2""",156.25,2,-2
28,29,29,Troy Matteson,100,"78' 9""",866.0,11,-5
29,30,30,George McNeill,85,"79' 5""",238.167,3,E
30,31,31,John Rollins,81,"79' 7""",159.167,2,E
31,32,32,Martin Flores,95,"79' 8""",477.833,6,-2
32,33,33,Kevin Na,80,"80' 2""",400.75,5,-4
33,34,34,Scott Dunlap,57,"80' 7""",161.167,2,-2
34,35,35,Steve Stricker,73,"81' 5""",162.75,2,-2
35,36,36,Brendon Todd,78,"83' 2""",249.5,3,-3
36,37,37,Jonas Blixt,72,"83' 3""",166.5,2,-2
37,38,38,Lee Westwood,60,"84' 9""",678.25,8,E
38,39,39,Russell Knox,72,"85' 1""",85.083,1,-1
39,40,40,Matt Every,80,"85' 2""",510.833,6,-3
40,41,41,Bill Haas,79,"86' 1""",258.16700000000003,3,-1
41,42,42,Chris Stroud,86,"86' 6""",432.333,5,-1
42,43,43,John Huh,99,"87' 5""",524.25,6,-2
43,44,44,Marc Leishman,84,"88' 2""",264.58299999999997,3,-2
44,45,45,Garth Mulroy,59,"88' 4""",265.0,3,-2
45,46,46,Kyle Stanley,86,"88' 9""",354.917,4,-4
46,47,47,Ryan Palmer,81,"90' 2""",270.58299999999997,3,E
47,48,48,Vijay Singh,99,"90' 6""",633.5,7,-4
48,49,49,Keegan Bradley,90,"90' 10""",181.583,2,E
49,50,50,Scott Brown,65,"91' 3""",182.417,2,+1
50,51,51,Sung Kang,75,"91' 9""",642.0,7,-3
51,52,52,Ángel Cabrera,54,"92' 6""",277.41700000000003,3,-2
52,53,53,Bryce Molder,83,"93' 0""",185.917,2,-2
53,54,54,Bud Cauley,99,"94' 2""",376.667,4,-4
54,55,55,Kevin Stadler,85,"94' 8""",283.91700000000003,3,-1
55,56,56,Sean O'Hair,84,"95' 4""",571.8330000000001,6,-2
56,57,57,Jeff Overton,101,"95' 8""",382.5,4,-2
57,58,58,Brendon de Jonge,115,"96' 4""",674.3330000000001,7,-4
58,59,59,Graham DeLaet,79,"96' 5""",289.16700000000003,3,-2
59,60,60,Scott Piercy,95,"96' 6""",868.8330000000001,9,-5
60,61,61,Jonathan Byrd,69,"96' 9""",580.6669999999999,6,-5
61,62,62,Spencer Levin,81,"96' 10""",290.5,3,E
62,63,63,Freddie Jacobson,61,"97' 5""",292.16700000000003,3,-2
63,64,64,Josh Teater,97,"97' 7""",585.3330000000001,6,-1
64,65,65,David Mathis,83,"97' 10""",97.833,1,-1
65,66,66,Mark Wilson,84,"98' 5""",98.417,1,-1
66,T67,T67,Kevin Chappell,91,"99' 5""",596.3330000000001,6,+1
67,T67,T67,Phil Mickelson,79,"99' 5""",496.917,5,-2
68,69,69,Zach Johnson,95,"100' 0""",100.0,1,-1
69,T70,T70,Blake Adams,107,"100' 2""",300.5,3,-2
70,T70,T70,Charley Hoffman,88,"100' 2""",801.0,8,-4
71,72,72,Rory McIlroy,60,"100' 3""",100.25,1,E
72,T73,T73,Ernie Els,80,"100' 10""",201.667,2,E
73,T73,T73,Bobby Gates,87,"100' 10""",705.5830000000001,7,-1
74,75,75,Tommy Gainey,98,"100' 11""",201.75,2,E
75,76,76,Bubba Watson,68,"101' 4""",405.417,4,-2
76,77,77,Will Claxton,99,"101' 6""",202.917,2,+1
77,T78,T78,Kris Blanks,65,"102' 2""",102.167,1,E
78,T78,T78,Jim Furyk,85,"102' 2""",204.25,2,-1
79,80,80,John Senden,81,"102' 9""",719.4169999999999,7,-2
80,81,81,Jimmy Walker,101,"102' 11""",720.5830000000001,7,-3
81,82,82,J.B. Holmes,90,"103' 4""",309.91700000000003,3,+2
82,83,83,Richard Lee,71,"103' 7""",103.583,1,-1
83,84,84,Charl Schwartzel,56,"104' 2""",208.25,2,-1
84,T85,T85,Rocco Mediate,70,"104' 4""",417.417,4,-2
85,T85,T85,Jhonattan Vegas,77,"104' 4""",312.91700000000003,3,-1
86,87,87,Ken Duke,104,"104' 7""",104.583,1,-1
87,88,88,Edward Loar,59,"104' 9""",314.16700000000003,3,-1
88,89,89,Charles Howell III,98,"105' 2""",210.333,2,E
89,90,90,Michael Bradley,63,"107' 3""",214.417,2,-1
90,91,91,Jason Day,57,"108' 1""",324.33299999999997,3,-2
91,92,92,Nathan Green,73,"108' 3""",649.6669999999999,6,+1
92,93,93,Ryan Moore,89,"108' 4""",541.5,5,-2
93,94,94,Robert Allenby,76,"108' 7""",108.583,1,E
94,95,95,Greg Chalmers,88,"108' 9""",652.5830000000001,6,-5
95,96,96,William McGirt,96,"108' 10""",435.167,4,-1
96,97,97,Matt Jones,53,"108' 11""",217.75,2,-1
97,98,98,Hunter Mahan,88,"109' 2""",327.41700000000003,3,+1
98,99,99,Tommy Biershenk,74,"109' 5""",218.833,2,E
99,100,100,Padraig Harrington,67,"109' 6""",219.0,2,E
100,101,101,Marco Dawson,60,"109' 8""",109.667,1,-1
101,102,102,Kevin Streelman,89,"109' 10""",329.417,3,-1
102,T103,T103,Brian Harman,101,"110' 3""",110.25,1,E
103,T103,T103,Nick Watney,97,"110' 3""",441.083,4,-1
104,105,105,Daniel Summerhays,81,"110' 5""",110.417,1,+5
105,106,106,Bob Estes,78,"110' 6""",110.5,1,E
106,107,107,Mathew Goggin,65,"111' 1""",222.083,2,+1
107,108,108,Gary Christian,91,"111' 5""",222.833,2,E
108,109,109,Kevin Kisner,69,"111' 7""",111.583,1,E
109,110,110,John Merrick,83,"111' 8""",334.917,3,-2
110,111,111,Seung-Yul Noh,105,"111' 9""",335.333,3,-1
111,112,112,Tom Gillis,75,"111' 10""",335.417,3,E
112,113,113,Davis Love III,64,"112' 0""",224.0,2,E
113,114,114,"Ted Potter, Jr.",77,"112' 5""",112.417,1,E
114,115,115,Carl Pettersson,92,"113' 0""",226.0,2,E
115,116,116,Andres Romero,68,"113' 1""",565.3330000000001,5,-1
116,117,117,Cameron Tringale,88,"113' 2""",565.6669999999999,5,+2
117,118,118,Billy Horschel,63,"113' 11""",341.833,3,-1
118,T119,T119,Chad Campbell,84,"114' 2""",114.167,1,E
119,T119,T119,Martin Laird,77,"114' 2""",114.167,1,-1
120,T121,T121,Sangmoon Bae,81,"114' 9""",229.417,2,-2
121,T121,T121,Louis Oosthuizen,65,"114' 9""",114.75,1,E
122,123,123,Jason Kokrak,79,"115' 6""",115.5,1,-1
123,124,124,D.A. Points,88,"116' 3""",348.833,3,-2
124,125,125,Derek Lamely,64,"116' 5""",931.5,8,-3
125,126,126,Rickie Fowler,84,"116' 8""",583.4169999999999,5,-1
126,127,127,Aaron Baddeley,73,"117' 2""",351.583,3,+1
127,128,128,Hunter Haas,69,"117' 10""",589.0,5,-1
128,129,129,K.J. Choi,71,"119' 0""",238.0,2,-1
129,130,130,Camilo Villegas,79,"119' 6""",239.0,2,-1
130,131,131,Patrick Sheehan,58,"120' 0""",360.0,3,-2
131,132,132,Bill Lunde,83,"120' 5""",361.333,3,-3
132,133,133,J.J. Killeen,101,"121' 9""",852.1669999999999,7,-2
133,134,134,J.J. Henry,93,"122' 1""",122.083,1,E
134,135,135,Vaughn Taylor,81,"122' 6""",367.583,3,-1
135,136,136,Nick O'Hern,78,"123' 4""",246.667,2,E
136,137,137,Brandt Snedeker,81,"123' 7""",123.583,1,+1
137,138,138,Chez Reavie,83,"123' 8""",123.667,1,E
138,139,139,Roberto Castro,92,"125' 2""",125.167,1,E
139,140,140,Tom Pernice Jr.,62,"125' 3""",375.667,3,E
140,141,141,David Hearn,95,"127' 5""",509.667,4,E
141,142,142,Graeme McDowell,55,"129' 10""",129.833,1,E
142,143,143,Justin Leonard,79,"131' 5""",394.25,3,E
143,144,144,Tim Herron,88,"132' 4""",529.3330000000001,4,-1
144,145,145,D.J. Trahan,73,"132' 11""",531.75,4,E
