,Scrambling_Average_Distance_to_Hole_RANK THIS WEEK,Scrambling_Average_Distance_to_Hole_RANK LAST WEEK,Scrambling_Average_Distance_to_Hole_PLAYER NAME,Scrambling_Average_Distance_to_Hole_ROUNDS,Scrambling_Average_Distance_to_Hole_AVG DTP,Scrambling_Average_Distance_to_Hole_TOTAL DISTANCE (FEET),Scrambling_Average_Distance_to_Hole_ATTEMPTS
0,1,,Bill Haas,92,"7' 1""",2564.333,363
1,2,,Kevin Na,86,"7' 2""",2391.25,332
2,T3,,Steven Alker,69,"7' 3""",2062.167,283
3,T3,,Chad Campbell,97,"7' 3""",3108.083,429
4,T3,,Sergio Garcia,65,"7' 3""",1532.6670000000001,211
5,T3,,Matt Kuchar,95,"7' 3""",2850.0,394
6,T3,,Ian Poulter,72,"7' 3""",2355.917,324
7,T3,,Webb Simpson,102,"7' 3""",3226.333,446
8,T9,,Brian Harman,104,"7' 4""",3515.083,478
9,T9,,Tim Wilkinson,64,"7' 4""",1969.4170000000001,268
10,T11,,Zac Blair,105,"7' 5""",3647.25,491
11,T11,,Alex Cejka,85,"7' 5""",2460.25,330
12,T11,,Luke Donald,50,"7' 5""",1832.25,248
13,T11,,Branden Grace,70,"7' 5""",1815.8329999999999,246
14,T11,,Matt Jones,64,"7' 5""",2266.5,304
15,T11,,Rory McIlroy,51,"7' 5""",1320.5829999999999,179
16,T17,,Dustin Johnson,77,"7' 6""",1971.1670000000001,264
17,T17,,D.A. Points,68,"7' 6""",2298.583,307
18,T17,,Tag Ridings,67,"7' 6""",2071.25,277
19,T17,,Jordan Spieth,85,"7' 6""",2251.333,300
20,T21,,Paul Casey,94,"7' 7""",2585.167,340
21,T21,,Roberto Castro,70,"7' 7""",2251.667,296
22,T21,,John Huh,92,"7' 7""",3283.0,433
23,T21,,Whee Kim,74,"7' 7""",2643.083,347
24,T21,,Troy Merritt,82,"7' 7""",2855.667,378
25,T21,,Pat Perez,93,"7' 7""",2919.833,384
26,T27,,Keegan Bradley,104,"7' 8""",3418.833,448
27,T27,,Francesco Molinari,75,"7' 8""",2331.667,305
28,T27,,Ryan Palmer,61,"7' 8""",1954.8329999999999,254
29,30,,Hideki Matsuyama,83,"7' 9""",2098.0,271
30,T31,,K.J. Choi,72,"7' 10""",2533.5,324
31,T31,,Jon Rahm,90,"7' 10""",2493.917,317
32,T31,,Justin Rose,66,"7' 10""",2015.8329999999999,257
33,T34,,Jason Day,71,"7' 11""",2372.917,300
34,T34,,Andres Gonzales,73,"7' 11""",2203.333,279
35,T34,,David Hearn,93,"7' 11""",3282.667,416
36,T34,,Chris Kirk,89,"7' 11""",2997.583,377
37,T34,,Seamus Power,86,"7' 11""",2995.333,380
38,T34,,Cameron Smith,86,"7' 11""",3275.75,413
39,T34,,Justin Thomas,86,"7' 11""",2429.0,306
40,T41,,Aaron Baddeley,61,"8' 0""",2087.583,262
41,T41,,Chad Collins,66,"8' 0""",2651.333,333
42,T41,,Rickie Fowler,78,"8' 0""",2317.167,290
43,T41,,Retief Goosen,52,"8' 0""",1881.5,235
44,T41,,Morgan Hoffmann,92,"8' 0""",3704.667,462
45,T41,,Bryce Molder,74,"8' 0""",3091.667,387
