,Sand_Saves_from_20-30_yards_RANK THIS WEEK,Sand_Saves_from_20-30_yards_RANK LAST WEEK,Sand_Saves_from_20-30_yards_PLAYER NAME,Sand_Saves_from_20-30_yards_ROUNDS,Sand_Saves_from_20-30_yards_%,Sand_Saves_from_20-30_yards_# OF SAVES,Sand_Saves_from_20-30_yards_# OF BUNKERS
0,T1,,Rickie Fowler,78,72.73,24,33
1,T1,,Tom Hoge,54,72.73,8,11
2,3,,Ken Duke,77,71.43,15,21
3,4,,Fabián Gómez,61,70.59,12,17
4,T5,,Luke Donald,50,69.57,16,23
5,T5,,Francesco Molinari,75,69.57,16,23
6,7,,Phil Mickelson,85,69.23,18,26
7,8,,Zach Johnson,81,68.0,17,25
8,9,,Troy Merritt,82,67.86,19,28
9,10,,Bill Haas,92,67.74,21,31
10,11,,Danny Lee,93,66.67,24,36
11,12,,Grayson Murray,94,64.71,22,34
12,13,,Kevin Na,86,64.0,16,25
13,14,,Ollie Schniederjans,92,63.89,23,36
14,15,,Tyrone Van Aswegen,105,63.64,21,33
15,16,,Harris English,84,62.96,17,27
16,T17,,Louis Oosthuizen,69,62.5,10,16
17,T17,,Chez Reavie,98,62.5,20,32
18,19,,Peter Malnati,91,62.16,23,37
19,20,,Tim Wilkinson,64,62.07,18,29
20,T21,,Wesley Bryan,95,61.76,21,34
21,T21,,Jon Rahm,90,61.76,21,34
22,23,,Webb Simpson,102,61.54,24,39
23,24,,K.J. Choi,72,61.11,11,18
24,25,,Bryce Molder,74,60.53,23,38
25,26,,Steve Wheatcroft,51,60.0,15,25
26,27,,Daniel Summerhays,100,59.46,22,37
27,28,,David Lingmerth,79,59.38,19,32
28,29,,Ryan Brehm,83,59.26,16,27
29,30,,Adam Scott,58,59.09,13,22
30,T31,,Zac Blair,105,58.82,20,34
31,T31,,Rafa Cabrera Bello,63,58.82,10,17
32,33,,Hunter Mahan,73,58.62,17,29
33,T34,,Brad Fritsch,56,58.33,7,12
34,T34,,Brian Harman,104,58.33,28,48
35,T34,,Søren Kjeldsen,58,58.33,14,24
36,T34,,D.A. Points,68,58.33,14,24
37,38,,Charley Hoffman,112,58.0,29,50
38,39,,Justin Rose,66,57.89,11,19
39,40,,Sergio Garcia,65,57.69,15,26
40,41,,Russell Henley,99,57.45,27,47
41,T42,,Chad Collins,66,57.14,16,28
42,T42,,Tony Finau,106,57.14,20,35
43,T42,,Kevin Tway,96,57.14,20,35
44,45,,John Huh,92,56.82,25,44
45,T46,,Brandon Hagy,85,56.67,17,30
46,T46,,Geoff Ogilvy,80,56.67,17,30
47,T46,,Richy Werenski,81,56.67,17,30
48,T49,,Charles Howell III,86,56.52,13,23
49,T49,,Matt Jones,64,56.52,13,23
50,51,,Harold Varner III,101,56.41,22,39
51,52,,Chad Campbell,97,56.0,14,25
52,T53,,Adam Hadwin,98,55.56,20,36
53,T53,,Shane Lowry,52,55.56,5,9
54,T53,,Hideki Matsuyama,83,55.56,10,18
55,T53,,Ryan Palmer,61,55.56,10,18
56,T53,,Jimmy Walker,68,55.56,15,27
57,58,,Gary Woodland,94,54.84,17,31
58,59,,Matt Kuchar,95,54.55,18,33
59,60,,Sung Kang,104,54.29,19,35
60,T61,,Brett Drewitt,57,53.85,7,13
61,T61,,Rory McIlroy,51,53.85,7,13
62,63,,Nick Taylor,97,53.66,22,41
63,64,,Steven Alker,69,53.57,15,28
64,T65,,Ben Martin,86,53.13,17,32
65,T65,,Ian Poulter,72,53.13,17,32
66,T65,,Cameron Smith,86,53.13,17,32
67,T68,,David Hearn,93,52.94,18,34
68,T68,,Jordan Spieth,85,52.94,9,17
69,70,,Vaughn Taylor,90,52.63,20,38
70,71,,Justin Thomas,86,51.72,15,29
71,72,,Spencer Levin,89,51.61,16,31
72,T73,,Brian Gay,82,51.43,18,35
73,T73,,Hudson Swafford,94,51.43,18,35
74,75,,Seung-Yul Noh,91,51.35,19,37
75,T76,,Aaron Baddeley,61,50.0,8,16
76,T76,,Ricky Barnes,100,50.0,16,32
77,T76,,Steven Bowditch,59,50.0,14,28
78,T76,,Roberto Castro,70,50.0,10,20
79,T76,,Bryson DeChambeau,91,50.0,21,42
80,T76,,Ernie Els,52,50.0,10,20
81,T76,,Brooks Koepka,88,50.0,16,32
82,T76,,Kelly Kraft,75,50.0,21,42
83,T76,,C.T. Pan,88,50.0,18,36
84,T76,,Pat Perez,93,50.0,15,30
85,T76,,Sam Saunders,76,50.0,15,30
86,T76,,Brandt Snedeker,53,50.0,8,16
87,T76,,Brendan Steele,89,50.0,11,22
88,T76,,Chris Stroud,67,50.0,14,28
89,T76,,Boo Weekley,75,50.0,13,26
90,91,,Rod Pampling,71,48.57,17,35
91,T92,,Kyle Reifers,96,48.39,15,31
92,T92,,Shawn Stefani,72,48.39,15,31
93,T94,,Jason Dufner,89,48.28,14,29
94,T94,,Emiliano Grillo,90,48.28,14,29
95,T94,,Billy Hurley III,80,48.28,14,29
96,T94,,Marc Leishman,94,48.28,14,29
97,T98,,Blayne Barber,77,48.15,13,27
98,T98,,Johnson Wagner,71,48.15,13,27
99,T100,,Scott Brown,95,48.0,12,25
100,T100,,Julián Etulain,68,48.0,12,25
101,T102,,Jason Day,71,47.83,11,23
102,T102,,Nicholas Lindheim,58,47.83,11,23
103,T104,,Jonas Blixt,74,47.73,21,44
104,T104,,Jamie Lovemark,98,47.73,21,44
105,T106,,Alex Cejka,85,47.62,10,21
106,T106,,Matt Every,76,47.62,10,21
107,T106,,Andres Gonzales,73,47.62,10,21
108,T109,,Branden Grace,70,47.37,9,19
109,T109,,Michael Kim,94,47.37,18,38
110,T109,,Kevin Streelman,90,47.37,18,38
111,112,,Chris Kirk,89,47.22,17,36
112,T113,,Billy Horschel,88,47.06,16,34
113,T113,,Seamus Power,86,47.06,16,34
114,115,,James Hahn,96,46.81,22,47
115,116,,Greg Chalmers,75,46.67,14,30
116,117,,Luke List,102,46.34,19,41
117,118,,Keegan Bradley,104,46.15,18,39
118,119,,Morgan Hoffmann,92,45.95,17,37
119,T120,,Cameron Percy,71,45.83,11,24
120,T120,,Jonathan Randolph,68,45.83,11,24
121,122,,Cameron Tringale,89,45.45,10,22
