,Scrambling_from_the_Fringe_RANK THIS WEEK,Scrambling_from_the_Fringe_RANK LAST WEEK,Scrambling_from_the_Fringe_PLAYER NAME,Scrambling_from_the_Fringe_ROUNDS,Scrambling_from_the_Fringe_%,Scrambling_from_the_Fringe_SUCCESSES,Scrambling_from_the_Fringe_ATTEMPTS
0,T1,,Patrick Cantlay,52,100.0,20,20
1,T1,,Rickie Fowler,78,100.0,25,25
2,T1,,Bill Haas,92,100.0,36,36
3,T1,,Søren Kjeldsen,58,100.0,15,15
4,T1,,Russell Knox,75,100.0,27,27
5,T1,,Sebastián Muñoz,51,100.0,18,18
6,7,,Blayne Barber,77,98.11,52,53
7,8,,Bryson DeChambeau,91,97.92,47,48
8,9,,Kevin Chappell,95,97.78,44,45
9,10,,Hudson Swafford,94,97.62,41,42
10,11,,Phil Mickelson,85,97.5,39,40
11,12,,Martin Flores,88,97.06,33,34
12,T13,,Ricky Barnes,100,96.88,31,32
13,T13,,Shawn Stefani,72,96.88,31,32
14,T15,,Dustin Johnson,77,96.67,29,30
15,T15,,Ollie Schniederjans,92,96.67,58,60
16,17,,Tag Ridings,67,96.55,28,29
17,18,,Steve Wheatcroft,51,96.43,27,28
18,T19,,Jonas Blixt,74,96.3,26,27
19,T19,,Tom Hoge,54,96.3,26,27
20,T19,,Si Woo Kim,80,96.3,26,27
21,T22,,Brian Harman,104,96.15,50,52
22,T22,,Charl Schwartzel,63,96.15,25,26
23,24,,Sergio Garcia,65,95.83,23,24
24,25,,Seamus Power,86,95.74,45,47
25,T26,,Greg Chalmers,75,95.56,43,45
26,T26,,John Huh,92,95.56,43,45
27,28,,Brandt Snedeker,53,95.45,21,22
28,29,,Cameron Smith,86,95.24,40,42
29,30,,Jamie Lovemark,98,95.12,39,41
30,T31,,Andres Gonzales,73,94.87,37,39
31,T31,,Matt Jones,64,94.87,37,39
32,T31,,Kelly Kraft,75,94.87,37,39
33,34,,Rafa Cabrera Bello,63,94.74,18,19
34,T35,,Tony Finau,106,94.44,34,36
