,Scrambling__30_yds_RTP_Score_RANK THIS WEEK,Scrambling__30_yds_RTP_Score_RANK LAST WEEK,Scrambling__30_yds_RTP_Score_PLAYER NAME,Scrambling__30_yds_RTP_Score_ROUNDS,Scrambling__30_yds_RTP_Score_AVG RTP,Scrambling__30_yds_RTP_Score_TOTAL HOLES,Scrambling__30_yds_RTP_Score_TOTAL RTP
0,1,,Louis Oosthuizen,69,0.612,49,30.0
1,2,,Kevin Kisner,105,0.613,75,46.0
2,3,,James Hahn,96,0.685,73,50.0
3,4,,Brandt Snedeker,53,0.69,58,40.0
4,5,,Steve Wheatcroft,51,0.6920000000000001,52,36.0
5,6,,Kevin Na,86,0.695,59,41.0
6,7,,Pat Perez,93,0.7,80,56.0
7,8,,Chad Campbell,97,0.716,74,53.0
8,9,,Camilo Villegas,76,0.7240000000000001,87,63.0
9,10,,Ian Poulter,72,0.7290000000000001,59,43.0
10,11,,Vaughn Taylor,90,0.732,82,60.0
11,T12,,Brad Fritsch,56,0.736,53,39.0
12,T12,,Brian Stuard,93,0.736,72,53.0
13,T14,,Daniel Berger,91,0.74,77,57.0
14,T14,,Wesley Bryan,95,0.74,104,77.0
15,16,,Roberto Castro,70,0.742,62,46.0
16,T17,,Gonzalo Fernandez-Castaño,63,0.75,64,48.0
17,T17,,Spencer Levin,89,0.75,72,54.0
18,19,,Zach Johnson,81,0.753,77,58.0
19,20,,Steven Alker,69,0.755,53,40.0
20,21,,Alex Cejka,85,0.76,75,57.0
21,22,,Ben Crane,86,0.7609999999999999,71,54.0
22,23,,Patrick Reed,107,0.765,85,65.0
23,24,,Matt Kuchar,95,0.7659999999999999,64,49.0
24,T25,,Brian Campbell,55,0.7709999999999999,48,37.0
25,T25,,Kevin Streelman,90,0.7709999999999999,83,64.0
26,T25,,Nick Taylor,97,0.7709999999999999,83,64.0
27,28,,Paul Casey,94,0.772,57,44.0
28,29,,Branden Grace,70,0.773,44,34.0
29,30,,Ryan Moore,82,0.774,53,41.0
30,31,,Billy Horschel,88,0.775,89,69.0
31,32,,Justin Thomas,86,0.7759999999999999,67,52.0
32,33,,Harold Varner III,101,0.7809999999999999,96,75.0
33,34,,Webb Simpson,102,0.7829999999999999,60,47.0
34,35,,Marc Leishman,94,0.784,74,58.0
35,T36,,Zac Blair,105,0.787,61,48.0
36,T36,,Brian Harman,104,0.787,94,74.0
37,38,,Bill Haas,92,0.79,62,49.0
38,T39,,Fabián Gómez,61,0.792,53,42.0
39,T39,,Francesco Molinari,75,0.792,48,38.0
40,T39,,Tim Wilkinson,64,0.792,53,42.0
41,42,,Ryan Blaum,100,0.795,88,70.0
42,43,,Adam Scott,58,0.8,40,32.0
43,44,,Bryce Molder,74,0.8059999999999999,108,87.0
44,45,,Stewart Cink,93,0.8079999999999999,78,63.0
45,46,,K.J. Choi,72,0.812,69,56.0
46,47,,Jamie Lovemark,98,0.813,96,78.0
47,48,,Rory Sabbatini,71,0.8140000000000001,59,48.0
48,49,,Martin Laird,83,0.8170000000000001,71,58.0
49,50,,Jon Rahm,90,0.818,44,36.0
50,51,,Graeme McDowell,56,0.82,50,41.0
51,T52,,Blayne Barber,77,0.821,84,69.0
52,T52,,Søren Kjeldsen,58,0.821,39,32.0
53,T52,,Rory McIlroy,51,0.821,28,23.0
54,T52,,Brendan Steele,89,0.821,67,55.0
55,56,,Dustin Johnson,77,0.8220000000000001,45,37.0
56,57,,Kyle Reifers,96,0.823,96,79.0
57,T58,,Patrick Cantlay,52,0.8240000000000001,34,28.0
58,T58,,Bryson DeChambeau,91,0.8240000000000001,74,61.0
59,T58,,C.T. Pan,88,0.8240000000000001,74,61.0
60,61,,Charl Schwartzel,63,0.828,58,48.0
61,T62,,Brandon Hagy,85,0.8290000000000001,70,58.0
62,T62,,Ryan Palmer,61,0.8290000000000001,41,34.0
63,64,,Greg Chalmers,75,0.83,88,73.0
64,T65,,Shane Lowry,52,0.833,30,25.0
65,T65,,Hideki Matsuyama,83,0.833,48,40.0
66,67,,Robert Streb,98,0.835,115,96.0
67,68,,Chez Reavie,98,0.836,61,51.0
68,69,,Luke Donald,50,0.838,74,62.0
69,T70,,Jason Dufner,89,0.841,69,58.0
70,T70,,Charley Hoffman,112,0.841,88,74.0
71,T70,,Seamus Power,86,0.841,88,74.0
72,T73,,Keegan Bradley,104,0.8420000000000001,76,64.0
73,T73,,William McGirt,89,0.8420000000000001,57,48.0
74,75,,Charles Howell III,86,0.845,97,82.0
75,T76,,J.J. Henry,92,0.847,72,61.0
76,T76,,Morgan Hoffmann,92,0.847,98,83.0
77,78,,Mark Anderson,54,0.8490000000000001,53,45.0
78,79,,Ryan Armour,63,0.85,40,34.0
79,T80,,Graham DeLaet,82,0.851,67,57.0
80,T80,,Julián Etulain,68,0.851,67,57.0
81,T82,,Sebastián Muñoz,51,0.8540000000000001,48,41.0
82,T82,,Justin Rose,66,0.8540000000000001,48,41.0
83,84,,Russell Henley,99,0.855,76,65.0
84,85,,Daniel Summerhays,100,0.856,90,77.0
85,T86,,Sergio Garcia,65,0.857,35,30.0
86,T86,,Adam Hadwin,98,0.857,77,66.0
87,T86,,Mackenzie Hughes,106,0.857,119,102.0
88,T89,,Luke List,102,0.8590000000000001,85,73.0
89,T89,,Carl Pettersson,63,0.8590000000000001,99,85.0
90,91,,Gary Woodland,94,0.86,57,49.0
91,92,,Jim Furyk,54,0.861,36,31.0
92,93,,Jason Bohn,75,0.8640000000000001,81,70.0
93,94,,Emiliano Grillo,90,0.867,60,52.0
94,95,,Michael Kim,94,0.8690000000000001,99,86.0
95,96,,Geoff Ogilvy,80,0.87,69,60.0
96,97,,Byeong Hun An,77,0.873,71,62.0
97,98,,Ricky Barnes,100,0.8759999999999999,97,85.0
98,T99,,Rafa Cabrera Bello,63,0.877,57,50.0
99,T99,,Chad Collins,66,0.877,73,64.0
100,101,,Cameron Percy,71,0.879,66,58.0
101,T102,,John Huh,92,0.88,75,66.0
102,T102,,Cameron Tringale,89,0.88,92,81.0
103,104,,Matt Jones,64,0.8809999999999999,67,59.0
104,105,,Richy Werenski,81,0.882,51,45.0
105,106,,Scott Brown,95,0.884,86,76.0
106,T107,,Peter Malnati,91,0.885,87,77.0
107,T107,,Cameron Smith,86,0.885,78,69.0
