,Scrambling_Fringe_RTP_Score_RANK THIS WEEK,Scrambling_Fringe_RTP_Score_RANK LAST WEEK,Scrambling_Fringe_RTP_Score_PLAYER NAME,Scrambling_Fringe_RTP_Score_ROUNDS,Scrambling_Fringe_RTP_Score_AVG RTP,Scrambling_Fringe_RTP_Score_TOTAL HOLES,Scrambling_Fringe_RTP_Score_TOTAL RTP
0,1,,Russell Knox,75,-.185,27,-5.00
1,2,,Sebastián Muñoz,51,-.167,18,-3.00
2,3,,Shawn Stefani,72,-.156,32,-5.00
3,4,,Patrick Cantlay,52,-.150,20,-3.00
4,5,,Bill Haas,92,-.139,36,-5.00
5,6,,Kevin Kisner,105,-.135,52,-7.00
6,7,,Søren Kjeldsen,58,-.133,15,-2.00
7,8,,Dominic Bozzelli,69,-.125,24,-3.00
8,T9,,Emiliano Grillo,90,-.122,41,-5.00
9,T9,,Grayson Murray,94,-.122,49,-6.00
10,11,,Graeme McDowell,56,-.118,34,-4.00
11,12,,Ollie Schniederjans,92,-.117,60,-7.00
12,13,,Patton Kizzire,84,-.111,36,-4.00
13,14,,Phil Mickelson,85,-.100,40,-4.00
14,15,,Jamie Lovemark,98,-.098,41,-4.00
15,16,,Cameron Smith,86,-.095,42,-4.00
16,17,,Derek Fathauer,81,-.093,43,-4.00
17,18,,Brandt Snedeker,53,-.091,22,-2.00
18,19,,Hideki Matsuyama,83,-.087,23,-2.00
19,T20,,Brian Campbell,55,-.083,24,-2.00
20,T20,,Peter Malnati,91,-.083,48,-4.00
21,22,,Charl Schwartzel,63,-.077,26,-2.00
22,23,,Jonas Blixt,74,-.074,27,-2.00
23,24,,Rory Sabbatini,71,-.071,28,-2.00
24,25,,Wesley Bryan,95,-.070,43,-3.00
25,26,,Julián Etulain,68,-.069,29,-2.00
26,T27,,Greg Chalmers,75,-.067,45,-3.00
27,T27,,Jim Herman,77,-.067,45,-3.00
28,29,,Bryson DeChambeau,91,-.063,48,-3.00
29,T30,,Byeong Hun An,77,-.061,33,-2.00
30,T30,,Jon Rahm,90,-.061,33,-2.00
31,T30,,Scott Stallings,81,-.061,33,-2.00
32,T33,,Tony Finau,106,-.056,36,-2.00
33,T33,,Sung Kang,104,-.056,36,-2.00
34,35,,Chez Reavie,98,-.053,38,-2.00
35,T36,,Kelly Kraft,75,-.051,39,-2.00
