,Proximity_to_Hole_from_Other_Locations_RANK THIS WEEK,Proximity_to_Hole_from_Other_Locations_RANK LAST WEEK,Proximity_to_Hole_from_Other_Locations_PLAYER NAME,Proximity_to_Hole_from_Other_Locations_ROUNDS,Proximity_to_Hole_from_Other_Locations_AVG DTP,Proximity_to_Hole_from_Other_Locations_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_Other_Locations_# OF SHOTS,Proximity_to_Hole_from_Other_Locations_SCRAMBLING RANK
0,1,,Jonathan Randolph,68,"5' 1""",6.755,111,140
1,2,,Ernie Els,52,"5' 3""",5.452999999999999,86,157
2,T3,,Mark Anderson,54,"5' 4""",6.632999999999999,104,42
3,T3,,David Hearn,93,"5' 4""",9.862,155,33
4,5,,Dominic Bozzelli,69,"5' 5""",9.282,142,125
5,T6,,Branden Grace,70,"5' 6""",6.976,105,40
6,T6,,Morgan Hoffmann,92,"5' 6""",13.45,205,63
7,T6,,Mark Hubbard,81,"5' 6""",8.54,130,106
8,T6,,Rory McIlroy,51,"5' 6""",5.003,76,17
9,T6,,Kevin Na,86,"5' 6""",8.416,128,32
10,T6,,Ian Poulter,72,"5' 6""",9.022,136,1
11,T6,,Tim Wilkinson,64,"5' 6""",6.416,97,24
12,T13,,Wesley Bryan,95,"5' 7""",12.992,193,37
13,T13,,Brett Drewitt,57,"5' 7""",6.521,97,85
14,T13,,Anirban Lahiri,72,"5' 7""",11.046,166,170
15,T16,,Bill Haas,92,"5' 8""",8.986,132,18
16,T16,,Marc Leishman,94,"5' 8""",10.546,155,46
17,T18,,Seamus Power,86,"5' 9""",9.838,143,13
18,T18,,Charl Schwartzel,63,"5' 9""",8.524,124,56
19,T18,,Jordan Spieth,85,"5' 9""",8.045,117,36
20,T18,,Robert Streb,98,"5' 9""",14.571,210,96
21,T18,,Chris Stroud,67,"5' 9""",6.962000000000001,101,82
22,T18,,Nick Taylor,97,"5' 9""",12.228,177,35
23,T24,,Ryan Brehm,83,"5' 10""",10.495,150,132
24,T24,,Phil Mickelson,85,"5' 10""",10.047,143,71
25,T24,,Steve Wheatcroft,51,"5' 10""",6.801,97,11
26,T27,,Paul Casey,94,"5' 11""",10.582,150,6
27,T27,,Brooks Koepka,88,"5' 11""",11.738,166,154
28,T27,,Richy Werenski,81,"5' 11""",9.294,130,51
29,T30,,Bud Cauley,92,"6' 0""",12.792,178,86
30,T30,,Greg Chalmers,75,"6' 0""",11.062999999999999,153,84
31,T30,,Kevin Chappell,95,"6' 0""",10.021,140,147
32,T30,,Luke Donald,50,"6' 0""",7.585,105,74
33,T30,,Julián Etulain,68,"6' 0""",8.45,118,105
34,T30,,Spencer Levin,89,"6' 0""",10.626,148,43
35,T30,,Ryan Palmer,61,"6' 0""",8.344,116,124
36,T30,,Pat Perez,93,"6' 0""",11.946,165,14
37,T30,,Shawn Stefani,72,"6' 0""",9.517999999999999,133,78
38,T39,,Stewart Cink,93,"6' 1""",9.875,135,108
39,T39,,Chad Collins,66,"6' 1""",11.253,154,19
40,T39,,Derek Fathauer,81,"6' 1""",10.505,143,180
41,T39,,Sergio Garcia,65,"6' 1""",5.877000000000001,81,39
42,T39,,Brian Gay,82,"6' 1""",11.880999999999998,162,30
43,T39,,Billy Hurley III,80,"6' 1""",10.913,150,99
44,T39,,Louis Oosthuizen,69,"6' 1""",7.928999999999999,109,21
45,T39,,Jimmy Walker,68,"6' 1""",7.318,100,122
46,T47,,Chad Campbell,97,"6' 2""",13.395,182,5
47,T47,,K.J. Choi,72,"6' 2""",8.552,115,57
48,T47,,Bryson DeChambeau,91,"6' 2""",9.865,134,128
49,T47,,Rick Lamb,54,"6' 2""",6.912000000000001,93,178
50,T47,,Cameron Smith,86,"6' 2""",13.115,177,103
51,T52,,Steven Alker,69,"6' 3""",7.652,102,76
52,T52,,Andres Gonzales,73,"6' 3""",8.052,107,33
53,T52,,Charley Hoffman,112,"6' 3""",13.818,185,141
54,T52,,Whee Kim,74,"6' 3""",11.3,150,31
55,T52,,Kevin Kisner,105,"6' 3""",13.030999999999999,173,28
56,T52,,Matt Kuchar,95,"6' 3""",10.538,141,2
57,T52,,Nicholas Lindheim,58,"6' 3""",6.5489999999999995,87,146
58,T52,,Webb Simpson,102,"6' 3""",11.933,159,4
59,T60,,Brian Harman,104,"6' 4""",15.173,199,25
60,T60,,Si Woo Kim,80,"6' 4""",10.275,136,169
61,T60,,Jason Kokrak,95,"6' 4""",13.267999999999999,175,172
62,T60,,Jamie Lovemark,98,"6' 4""",14.087,185,67
63,T60,,Shane Lowry,52,"6' 4""",6.268,82,165
64,T60,,C.T. Pan,88,"6' 4""",13.272,174,58
65,T60,,Cameron Tringale,89,"6' 4""",12.16,160,97
66,T67,,Tony Finau,106,"6' 5""",14.991,195,81
67,T67,,Lucas Glover,93,"6' 5""",11.883,154,66
68,T67,,Matt Jones,64,"6' 5""",9.536,124,16
69,T67,,David Lingmerth,79,"6' 5""",11.350999999999999,148,108
70,T67,,Francesco Molinari,75,"6' 5""",10.922,142,20
71,T67,,Jon Rahm,90,"6' 5""",9.623,125,9
72,T67,,Rory Sabbatini,71,"6' 5""",8.062999999999999,105,115
73,T67,,Kyle Stanley,104,"6' 5""",13.309000000000001,172,116
74,T67,,Harold Varner III,101,"6' 5""",15.370999999999999,199,138
75,T67,,Camilo Villegas,76,"6' 5""",9.596,124,29
76,T77,,Jason Bohn,75,"6' 6""",11.606,149,133
77,T77,,Roberto Castro,70,"6' 6""",10.085,130,63
78,T77,,Jim Furyk,54,"6' 6""",6.311,81,45
79,T77,,J.J. Henry,92,"6' 6""",12.87,165,145
80,T77,,J.B. Holmes,83,"6' 6""",11.113,143,156
81,T77,,Dustin Johnson,77,"6' 6""",8.168,105,26
82,T77,,Michael Kim,94,"6' 6""",13.198,170,98
83,T77,,Russell Knox,75,"6' 6""",9.922,128,130
84,T77,,Hideki Matsuyama,83,"6' 6""",8.982999999999999,115,41
85,T77,,William McGirt,89,"6' 6""",12.675,163,134
86,T77,,Bryce Molder,74,"6' 6""",11.902000000000001,153,88
87,T77,,Brandt Snedeker,53,"6' 6""",6.504,83,8
88,T89,,Jason Day,71,"6' 7""",10.841,138,91
89,T89,,Cody Gribble,79,"6' 7""",12.892999999999999,163,173
90,T89,,Jhonattan Vegas,95,"6' 7""",10.814,137,119
91,T92,,Aaron Baddeley,61,"6' 8""",8.942,112,73
92,T92,,Blayne Barber,77,"6' 8""",9.296,116,160
93,T92,,Zac Blair,105,"6' 8""",15.368,192,3
94,T92,,Patrick Cantlay,52,"6' 8""",7.399,93,62
95,T92,,Gonzalo Fernandez-Castaño,63,"6' 8""",8.919,111,7
96,T92,,Ryo Ishikawa,56,"6' 8""",8.013,100,123
97,T92,,Andrew Loupe,55,"6' 8""",8.972000000000001,112,187
98,T92,,Troy Merritt,82,"6' 8""",13.805,172,112
99,T92,,Seung-Yul Noh,91,"6' 8""",14.1,177,87
100,T92,,Scott Piercy,70,"6' 8""",7.131,89,189
101,T92,,Justin Rose,66,"6' 8""",7.607,95,80
102,T92,,Kevin Tway,96,"6' 8""",12.808,160,92
103,T104,,Byeong Hun An,77,"6' 9""",11.547,142,158
104,T104,,Harris English,84,"6' 9""",11.567,143,75
105,T104,,Sung Kang,104,"6' 9""",15.299000000000001,189,136
106,T104,,Patton Kizzire,84,"6' 9""",13.573,167,177
107,T104,,Martin Laird,83,"6' 9""",13.658,169,47
108,T104,,Peter Malnati,91,"6' 9""",12.318,152,37
109,T104,,Justin Thomas,86,"6' 9""",9.266,115,53
110,T104,,Tyrone Van Aswegen,105,"6' 9""",13.955,172,95
111,T112,,Daniel Berger,91,"6' 10""",11.120999999999999,135,23
112,T112,,Matt Every,76,"6' 10""",10.922,134,190
113,T112,,Emiliano Grillo,90,"6' 10""",11.632,141,148
114,T112,,Adam Hadwin,98,"6' 10""",12.949000000000002,158,12
115,T112,,Luke List,102,"6' 10""",13.587,165,152
116,T112,,Sean O'Hair,84,"6' 10""",11.577,142,129
117,T112,,Geoff Ogilvy,80,"6' 10""",13.764000000000001,167,49
118,T112,,Tag Ridings,67,"6' 10""",8.988999999999999,110,126
119,T112,,Boo Weekley,75,"6' 10""",11.107999999999999,135,153
120,T112,,Gary Woodland,94,"6' 10""",8.554,104,118
121,T122,,James Hahn,96,"6' 11""",16.039,193,52
