,Scrambling_from_Other_Locations_RANK THIS WEEK,Scrambling_from_Other_Locations_RANK LAST WEEK,Scrambling_from_Other_Locations_PLAYER NAME,Scrambling_from_Other_Locations_ROUNDS,Scrambling_from_Other_Locations_%,Scrambling_from_Other_Locations_SUCCESSES,Scrambling_from_Other_Locations_ATTEMPTS
0,1,,Louis Oosthuizen,69,75.96,79,104
1,2,,Ian Poulter,72,72.48,108,149
2,3,,Marc Leishman,94,71.94,100,139
3,4,,Paul Casey,94,71.11,96,135
4,5,,Bill Haas,92,70.73,87,123
5,6,,Pat Perez,93,70.19,113,161
6,7,,Patrick Reed,107,69.88,116,166
7,8,,Steve Wheatcroft,51,68.97,80,116
8,9,,Daniel Berger,91,68.94,91,132
9,10,,Bud Cauley,92,68.82,117,170
10,11,,James Hahn,96,67.78,122,180
11,12,,J.T. Poston,95,67.72,107,158
12,13,,Kevin Na,86,67.52,79,117
13,14,,Brandt Snedeker,53,67.47,56,83
14,15,,Patrick Cantlay,52,67.09,53,79
15,T16,,Rafa Cabrera Bello,63,66.67,72,108
16,T16,,Roberto Castro,70,66.67,88,132
17,T16,,Kevin Kisner,105,66.67,106,159
18,19,,Jon Rahm,90,66.41,85,128
19,20,,Zac Blair,105,66.35,140,211
20,21,,Chad Campbell,97,66.34,134,202
21,22,,Branden Grace,70,66.29,59,89
22,23,,Jhonattan Vegas,95,66.18,90,136
23,24,,Mark Anderson,54,66.09,76,115
24,25,,Chad Collins,66,66.08,113,171
25,26,,John Huh,92,66.04,140,212
26,27,,Richy Werenski,81,65.96,93,141
27,28,,Chez Reavie,98,65.9,114,173
28,29,,Jonathan Randolph,68,65.89,85,129
29,30,,Wesley Bryan,95,65.77,146,222
30,31,,Ryan Blaum,100,65.56,118,180
31,T32,,K.J. Choi,72,65.49,93,142
32,T32,,Brett Drewitt,57,65.49,74,113
33,34,,Greg Chalmers,75,65.38,102,156
34,35,,Geoff Ogilvy,80,65.29,111,170
35,T36,,Morgan Hoffmann,92,65.22,135,207
36,T36,,Harold Varner III,101,65.22,135,207
37,38,,Dustin Johnson,77,65.17,58,89
38,39,,C.T. Pan,88,65.14,114,175
39,40,,Bryson DeChambeau,91,65.13,99,152
40,41,,Spencer Levin,89,64.77,114,176
41,42,,Webb Simpson,102,64.67,108,167
42,43,,Julián Etulain,68,64.66,86,133
43,T44,,Kevin Tway,96,64.29,108,168
44,T44,,Tim Wilkinson,64,64.29,81,126
45,46,,William McGirt,89,64.19,95,148
46,T47,,Rory McIlroy,51,64.06,41,64
47,T47,,Sean O'Hair,84,64.06,82,128
48,49,,Billy Horschel,88,64.0,96,150
49,50,,Kevin Streelman,90,63.98,103,161
50,51,,David Hearn,93,63.86,106,166
51,52,,Jim Furyk,54,63.74,58,91
52,53,,Kyle Stanley,104,63.69,100,157
53,54,,Kevin Chappell,95,63.51,94,148
54,55,,Mark Hubbard,81,63.45,92,145
55,56,,Mackenzie Hughes,106,63.4,149,235
56,57,,Francesco Molinari,75,63.24,86,136
57,58,,Russell Knox,75,63.08,82,130
58,59,,Brian Gay,82,63.07,111,176
59,60,,Zach Johnson,81,63.01,92,146
60,61,,Hideki Matsuyama,83,63.0,63,100
61,T62,,Seamus Power,86,62.96,102,162
62,T62,,J.J. Spaun,92,62.96,102,162
63,T64,,Keegan Bradley,104,62.94,107,170
64,T64,,Adam Hadwin,98,62.94,107,170
65,T66,,Ricky Barnes,100,62.86,132,210
66,T66,,Scott Brown,95,62.86,132,210
67,T66,,Charl Schwartzel,63,62.86,66,105
68,69,,Steven Alker,69,62.84,93,148
69,70,,Anirban Lahiri,72,62.79,108,172
70,71,,Ryan Armour,63,62.77,59,94
71,72,,Phil Mickelson,85,62.76,91,145
72,T73,,Billy Hurley III,80,62.5,110,176
73,T73,,Justin Thomas,86,62.5,65,104
74,75,,Brian Harman,104,62.44,123,197
75,76,,Stewart Cink,93,62.42,93,149
76,77,,Miguel Angel Carballo,63,62.38,63,101
77,78,,Harris English,84,62.18,97,156
78,T79,,Troy Merritt,82,62.13,105,169
79,T79,,Brian Stuard,93,62.13,105,169
80,81,,Graeme McDowell,56,62.02,80,129
81,82,,Cameron Smith,86,62.01,111,179
82,83,,Sung Kang,104,61.78,118,191
83,T84,,Ernie Els,52,61.68,66,107
84,T84,,Jason Kokrak,95,61.68,103,167
85,86,,Rory Sabbatini,71,61.65,82,133
86,T87,,Alex Cejka,85,61.64,90,146
87,T87,,Jason Dufner,89,61.64,90,146
88,T87,,Shane Lowry,52,61.64,45,73
89,90,,Brendan Steele,89,61.6,77,125
90,T91,,J.J. Henry,92,61.54,112,182
91,T91,,Justin Rose,66,61.54,56,91
92,93,,Nick Taylor,97,61.5,123,200
93,T94,,Derek Fathauer,81,61.49,91,148
94,T94,,Luke List,102,61.49,99,161
95,96,,Retief Goosen,52,61.46,59,96
96,97,,Whee Kim,74,61.45,110,179
97,T98,,Cameron Percy,71,61.4,70,114
98,T98,,Chris Stroud,67,61.4,70,114
99,100,,Tony Finau,106,61.35,100,163
100,101,,Robert Streb,98,61.27,125,204
101,102,,Brandon Hagy,85,61.25,98,160
102,103,,Dominic Bozzelli,69,61.18,93,152
