,Scrambling_Rough_RTP_Score_RANK THIS WEEK,Scrambling_Rough_RTP_Score_RANK LAST WEEK,Scrambling_Rough_RTP_Score_PLAYER NAME,Scrambling_Rough_RTP_Score_ROUNDS,Scrambling_Rough_RTP_Score_AVG RTP,Scrambling_Rough_RTP_Score_TOTAL HOLES,Scrambling_Rough_RTP_Score_TOTAL RTP
0,1,,Webb Simpson,102,0.284,215,61.0
1,2,,Matt Kuchar,95,0.294,197,58.0
2,3,,Paul Casey,94,0.319,141,45.0
3,4,,Chez Reavie,98,0.337,184,62.0
4,5,,Martin Laird,83,0.34,159,54.0
5,6,,Pat Perez,93,0.344,163,56.0
6,7,,Sergio Garcia,65,0.349,83,29.0
7,8,,Adam Scott,58,0.361,97,35.0
8,9,,Gonzalo Fernandez-Castaño,63,0.36200000000000004,141,51.0
9,T10,,Kevin Kisner,105,0.363,160,58.0
10,T10,,Francesco Molinari,75,0.363,124,45.0
11,12,,Camilo Villegas,76,0.365,203,74.0
12,T13,,Steven Alker,69,0.366,131,48.0
13,T13,,Brendan Steele,89,0.366,172,63.0
14,T15,,Branden Grace,70,0.369,84,31.0
15,T15,,Hideki Matsuyama,83,0.369,122,45.0
16,17,,Nick Taylor,97,0.37,216,80.0
17,T18,,Justin Rose,66,0.371,105,39.0
18,T18,,Justin Thomas,86,0.371,140,52.0
19,T20,,Lucas Glover,93,0.373,169,63.0
20,T20,,Bill Haas,92,0.373,166,62.0
21,T20,,Jim Herman,77,0.373,150,56.0
22,23,,Alex Cejka,85,0.375,160,60.0
23,T24,,Zac Blair,105,0.376,218,82.0
24,T24,,Brian Gay,82,0.376,186,70.0
25,26,,David Hearn,93,0.37799999999999995,185,70.0
26,27,,Michael Kim,94,0.382,199,76.0
27,28,,Steve Wheatcroft,51,0.385,109,42.0
28,29,,Jamie Lovemark,98,0.386,176,68.0
29,30,,Zach Johnson,81,0.39,141,55.0
30,31,,Chad Campbell,97,0.391,184,72.0
31,T32,,Stewart Cink,93,0.39399999999999996,188,74.0
32,T32,,Brandon Hagy,85,0.39399999999999996,188,74.0
33,T32,,Charles Howell III,86,0.39399999999999996,160,63.0
34,35,,Peter Malnati,91,0.395,215,85.0
35,T36,,Retief Goosen,52,0.397,116,46.0
36,T36,,Patrick Reed,107,0.397,219,87.0
37,T38,,Matt Jones,64,0.39799999999999996,133,53.0
38,T38,,Jhonattan Vegas,95,0.39799999999999996,196,78.0
39,40,,Xander Schauffele,96,0.4,205,82.0
40,41,,Daniel Berger,91,0.40299999999999997,154,62.0
41,42,,Ian Poulter,72,0.40399999999999997,114,46.0
42,43,,Seamus Power,86,0.405,195,79.0
43,T44,,Brian Harman,104,0.408,201,82.0
44,T44,,Dustin Johnson,77,0.408,142,58.0
45,T44,,Jordan Spieth,85,0.408,147,60.0
46,47,,Mark Anderson,54,0.41,117,48.0
47,48,,Shawn Stefani,72,0.41100000000000003,158,65.0
