,Scrambling_from_the_Sand_RANK THIS WEEK,Scrambling_from_the_Sand_RANK LAST WEEK,Scrambling_from_the_Sand_PLAYER NAME,Scrambling_from_the_Sand_ROUNDS,Scrambling_from_the_Sand_%,Scrambling_from_the_Sand_SUCCESSES,Scrambling_from_the_Sand_ATTEMPTS
0,1,,Jon Rahm,90,70.59,60,85
1,2,,Rickie Fowler,78,70.11,61,87
2,3,,Aaron Baddeley,61,67.24,39,58
3,4,,Adam Hadwin,98,66.67,74,111
4,5,,Brandt Snedeker,53,65.31,32,49
5,6,,Matt Kuchar,95,64.77,57,88
6,7,,Louis Oosthuizen,69,64.52,40,62
7,T8,,Luke Donald,50,63.64,49,77
8,T8,,John Huh,92,63.64,77,121
9,10,,Webb Simpson,102,63.21,67,106
10,11,,Tim Wilkinson,64,63.16,48,76
11,12,,Brian Harman,104,62.88,83,132
12,13,,Charl Schwartzel,63,62.26,33,53
13,14,,David Lingmerth,79,61.7,58,94
14,15,,Seung-Yul Noh,91,61.63,53,86
15,16,,Tom Hoge,54,60.87,28,46
16,T17,,Ian Poulter,72,60.0,45,75
17,T17,,Tyrone Van Aswegen,105,60.0,69,115
18,T19,,Jason Day,71,59.7,40,67
19,T19,,Matt Jones,64,59.7,40,67
20,21,,C.T. Pan,88,59.6,59,99
21,22,,Bryce Molder,74,58.97,69,117
22,23,,K.J. Choi,72,58.73,37,63
23,24,,Zac Blair,105,58.41,66,113
24,25,,Andres Gonzales,73,58.33,35,60
25,26,,Vaughn Taylor,90,58.25,60,103
26,T27,,Brian Campbell,55,58.18,32,55
27,T27,,Gonzalo Fernandez-Castaño,63,58.18,32,55
28,29,,Steven Bowditch,59,58.02,47,81
29,30,,Sam Saunders,76,57.83,48,83
30,31,,Harris English,84,57.78,52,90
31,32,,Sebastián Muñoz,51,57.69,30,52
32,33,,Chad Campbell,97,57.5,46,80
33,T34,,Wesley Bryan,95,57.41,62,108
34,T34,,Jordan Spieth,85,57.41,31,54
35,36,,Kevin Kisner,105,57.3,51,89
36,37,,Jonas Blixt,74,57.26,71,124
37,T38,,Ben Crane,86,57.14,60,105
38,T38,,Francesco Molinari,75,57.14,32,56
39,T38,,Michael Thompson,60,57.14,44,77
40,41,,Nicholas Lindheim,58,56.92,37,65
41,42,,Tony Finau,106,56.38,53,94
42,T43,,Charley Hoffman,112,56.25,72,128
43,T43,,Charles Howell III,86,56.25,45,80
44,45,,Adam Scott,58,56.1,23,41
45,46,,Gary Woodland,94,56.06,37,66
46,47,,Rory McIlroy,51,56.0,14,25
47,48,,Danny Lee,93,55.95,47,84
48,49,,Geoff Ogilvy,80,55.91,52,93
49,50,,Nick Watney,75,55.77,29,52
50,51,,Seamus Power,86,55.68,49,88
51,T52,,Ernie Els,52,55.56,30,54
52,T52,,Trey Mullinax,88,55.56,45,81
53,54,,Emiliano Grillo,90,55.13,43,78
54,55,,Ken Duke,77,55.1,54,98
55,56,,Ben Martin,86,55.08,65,118
56,57,,Brandon Hagy,85,55.06,49,89
57,T58,,Cameron Percy,71,55.0,33,60
58,T58,,Xander Schauffele,96,55.0,44,80
59,60,,Fabián Gómez,61,54.88,45,82
60,61,,David Hearn,93,54.84,68,124
61,62,,Chad Collins,66,54.65,47,86
62,63,,Sean O'Hair,84,54.64,53,97
63,T64,,Marc Leishman,94,54.55,54,99
64,T64,,Hunter Mahan,73,54.55,54,99
65,T64,,Peter Malnati,91,54.55,60,110
66,67,,Anirban Lahiri,72,54.35,50,92
67,68,,Brad Fritsch,56,54.24,32,59
68,69,,Ollie Schniederjans,92,54.13,59,109
69,70,,Ricky Barnes,100,54.0,54,100
70,71,,Si Woo Kim,80,53.93,48,89
71,72,,Phil Mickelson,85,53.92,55,102
72,73,,Morgan Hoffmann,92,53.85,63,117
73,74,,Kyle Reifers,96,53.77,57,106
74,75,,Justin Rose,66,53.73,36,67
75,76,,Troy Merritt,82,53.66,44,82
76,T77,,Whee Kim,74,53.62,37,69
77,T77,,Johnson Wagner,71,53.62,37,69
78,79,,Bill Haas,92,53.49,46,86
79,80,,Pat Perez,93,53.47,54,101
80,81,,Keegan Bradley,104,53.27,57,107
81,82,,Mark Anderson,54,53.23,33,62
82,83,,Brian Gay,82,53.0,53,100
83,T84,,Jamie Lovemark,98,52.99,62,117
84,T84,,Chez Reavie,98,52.99,62,117
85,86,,Ryan Blaum,100,52.83,56,106
86,T87,,Martin Flores,88,52.63,40,76
87,T87,,Kevin Na,86,52.63,40,76
88,T89,,Patrick Cantlay,52,52.46,32,61
89,T89,,Ryo Ishikawa,56,52.46,32,61
90,91,,Zach Johnson,81,52.44,43,82
91,92,,Rafa Cabrera Bello,63,52.31,34,65
92,T93,,Mark Hubbard,81,52.27,46,88
93,T93,,Martin Laird,83,52.27,46,88
94,95,,Patrick Reed,107,51.97,66,127
95,96,,Byeong Hun An,77,51.95,40,77
96,97,,Retief Goosen,52,51.92,27,52
97,98,,Grayson Murray,94,51.89,55,106
98,99,,Michael Kim,94,51.85,56,108
99,100,,Kevin Streelman,90,51.79,58,112
100,101,,Chris Kirk,89,51.72,45,87
101,102,,James Hahn,96,51.65,47,91
102,103,,Rory Sabbatini,71,51.47,35,68
103,104,,Robert Garrigus,78,51.39,37,72
104,105,,Smylie Kaufman,76,51.32,39,76
105,106,,Greg Chalmers,75,51.28,60,117
106,107,,Graeme McDowell,56,51.25,41,80
107,108,,Alex Cejka,85,51.22,42,82
108,T109,,J.J. Spaun,92,50.98,52,102
109,T109,,Harold Varner III,101,50.98,52,102
110,111,,Rick Lamb,54,50.91,28,55
111,112,,Jimmy Walker,68,50.75,34,67
112,113,,Cameron Tringale,89,50.59,43,85
113,114,,Scott Stallings,81,50.57,44,87
114,115,,Cody Gribble,79,50.53,48,95
115,T116,,Scott Brown,95,50.0,56,112
116,T116,,Brett Drewitt,57,50.0,27,54
117,T116,,Sergio Garcia,65,50.0,29,58
118,T116,,Lucas Glover,93,50.0,51,102
119,T116,,Billy Hurley III,80,50.0,42,84
120,T116,,Hideki Matsuyama,83,50.0,33,66
121,T116,,Camilo Villegas,76,50.0,46,92
122,123,,Nick Taylor,97,49.51,51,103
123,124,,Hudson Swafford,94,49.48,48,97
124,125,,Steven Alker,69,49.37,39,79
125,126,,Brooks Koepka,88,49.32,36,73
126,127,,Tag Ridings,67,49.23,32,65
127,128,,J.B. Holmes,83,49.21,31,63
128,129,,Ryan Brehm,83,49.15,29,59
129,130,,Spencer Levin,89,48.81,41,84
130,131,,D.A. Points,68,48.75,39,80
131,132,,Sung Kang,104,48.72,57,117
132,133,,Shawn Stefani,72,48.53,33,68
133,134,,Billy Horschel,88,48.39,45,93
134,135,,Carl Pettersson,63,48.19,40,83
135,136,,Russell Henley,99,48.18,53,110
136,137,,Blayne Barber,77,48.15,39,81
137,138,,Mackenzie Hughes,106,47.96,47,98
138,T139,,Jonathan Randolph,68,47.89,34,71
139,T139,,Justin Thomas,86,47.89,34,71
140,141,,Cameron Smith,86,47.73,42,88
141,142,,Rod Pampling,71,47.71,52,109
142,143,,Jim Furyk,54,47.62,20,42
143,144,,Daniel Summerhays,100,47.5,57,120
144,145,,Chris Stroud,67,47.37,36,76
145,146,,Dominic Bozzelli,69,47.3,35,74
146,147,,Ryan Palmer,61,47.17,25,53
147,148,,Søren Kjeldsen,58,46.97,31,66
148,149,,Bryson DeChambeau,91,46.73,50,107
149,T150,,Dustin Johnson,77,46.67,21,45
150,T150,,Kevin Tway,96,46.67,49,105
151,152,,Richy Werenski,81,46.59,41,88
152,153,,Steve Wheatcroft,51,46.58,34,73
153,154,,Kyle Stanley,104,46.49,53,114
154,155,,Julián Etulain,68,46.38,32,69
155,156,,Luke List,102,46.28,56,121
156,157,,Brian Stuard,93,46.0,46,100
157,158,,Graham DeLaet,82,45.71,32,70
158,159,,Ryan Moore,82,45.05,41,91
159,160,,Roberto Castro,70,45.0,27,60
160,161,,Patton Kizzire,84,44.79,43,96
161,162,,William McGirt,89,44.74,34,76
162,T163,,Jason Dufner,89,44.19,38,86
163,T163,,Boo Weekley,75,44.19,38,86
164,165,,J.T. Poston,95,44.09,41,93
165,166,,Paul Casey,94,43.66,31,71
166,T167,,Branden Grace,70,43.55,27,62
167,T167,,Robert Streb,98,43.55,54,124
168,169,,Brendan Steele,89,43.24,32,74
169,170,,Bud Cauley,92,43.16,41,95
170,171,,Andrew Loupe,55,42.86,30,70
171,172,,Jason Bohn,75,42.25,30,71
172,173,,Daniel Berger,91,42.11,32,76
173,174,,Derek Fathauer,81,42.0,42,100
174,175,,Jhonattan Vegas,95,41.67,30,72
175,176,,Shane Lowry,52,41.46,17,41
176,177,,Miguel Angel Carballo,63,40.98,25,61
177,178,,Brett Stegmaier,78,40.35,23,57
178,179,,Kevin Chappell,95,40.24,33,82
179,180,,Matt Every,76,40.21,39,97
180,181,,Kelly Kraft,75,40.18,45,112
181,182,,Scott Piercy,70,40.0,28,70
182,183,,Bubba Watson,71,39.34,24,61
183,184,,Stewart Cink,93,39.29,33,84
184,185,,Russell Knox,75,39.19,29,74
185,186,,Patrick Rodgers,76,38.96,30,77
186,187,,J.J. Henry,92,38.54,37,96
187,188,,Ryan Armour,63,36.84,21,57
188,189,,Jim Herman,77,36.56,34,93
189,190,,Jason Kokrak,95,35.71,35,98
