,Sand_Save_Percentage_RANK THIS WEEK,Sand_Save_Percentage_RANK LAST WEEK,Sand_Save_Percentage_PLAYER NAME,Sand_Save_Percentage_ROUNDS,Sand_Save_Percentage_%,Sand_Save_Percentage_# SAVES,Sand_Save_Percentage_# BUNKERS,Sand_Save_Percentage_TOTAL O/U PAR
0,1,,Rickie Fowler,78,67.69,88,130,14.0
1,2,,Luke Donald,50,64.44,58,90,29.0
2,3,,Rory McIlroy,51,64.06,41,64,8.0
3,4,,Adam Hadwin,98,62.15,110,177,33.0
4,5,,Seung-Yul Noh,91,61.9,78,126,23.0
5,6,,Webb Simpson,102,61.39,97,158,36.0
6,7,,Gary Woodland,94,61.21,71,116,14.0
7,8,,Tim Wilkinson,64,61.05,58,95,28.0
8,9,,Tyrone Van Aswegen,105,60.78,93,153,35.0
9,10,,Louis Oosthuizen,69,60.42,58,96,26.0
10,11,,Jon Rahm,90,60.0,81,135,25.0
11,12,,Ian Poulter,72,59.29,67,113,24.0
12,13,,Brian Harman,104,58.47,107,183,44.0
13,14,,Aaron Baddeley,61,58.42,59,101,15.0
14,15,,Jimmy Walker,68,58.41,66,113,39.0
15,16,,Harris English,84,58.26,67,115,31.0
16,17,,Charl Schwartzel,63,58.24,53,91,20.0
17,18,,Michael Thompson,60,58.16,57,98,28.0
18,19,,Tom Hoge,54,58.06,36,62,17.0
19,20,,Steven Bowditch,59,57.8,63,109,49.0
20,21,,Geoff Ogilvy,80,57.5,69,120,46.0
21,22,,Bryce Molder,74,57.24,83,145,46.0
22,23,,John Huh,92,57.23,99,173,40.0
23,T24,,Brian Campbell,55,57.14,44,77,24.0
24,T24,,Matt Jones,64,57.14,56,98,16.0
25,26,,Brandt Snedeker,53,56.96,45,79,18.0
26,27,,Matt Kuchar,95,56.62,77,136,41.0
27,28,,Justin Rose,66,56.52,65,115,18.0
28,29,,Wesley Bryan,95,56.46,83,147,56.0
29,30,,Zac Blair,105,56.29,85,151,51.0
30,31,,Nick Watney,75,56.1,46,82,11.0
31,32,,Jordan Spieth,85,55.91,52,93,18.0
32,33,,Vaughn Taylor,90,55.8,77,138,35.0
33,34,,Seamus Power,86,55.74,68,122,32.0
34,35,,David Lingmerth,79,55.38,72,130,39.0
35,36,,David Hearn,93,55.35,88,159,57.0
36,37,,Jonas Blixt,74,55.28,89,161,52.0
37,38,,Pat Perez,93,55.26,84,152,48.0
38,39,,Hunter Mahan,73,55.22,74,134,41.0
39,40,,C.T. Pan,88,54.93,78,142,30.0
40,41,,Brandon Hagy,85,54.69,70,128,36.0
41,T42,,Jason Day,71,54.55,54,99,34.0
42,T42,,Ollie Schniederjans,92,54.55,84,154,46.0
43,T44,,Ben Crane,86,54.48,73,134,40.0
44,T44,,Emiliano Grillo,90,54.48,73,134,32.0
45,T46,,Francesco Molinari,75,54.44,49,90,20.0
46,T46,,Adam Scott,58,54.44,49,90,16.0
47,48,,Morgan Hoffmann,92,54.43,86,158,57.0
48,49,,Kevin Na,86,54.2,71,131,40.0
49,50,,Brian Gay,82,54.17,65,120,50.0
50,51,,Bill Haas,92,54.01,74,137,27.0
51,52,,Nicholas Lindheim,58,53.93,48,89,32.0
52,53,,Marc Leishman,94,53.74,79,147,42.0
53,54,,Sam Saunders,76,53.7,58,108,42.0
54,T55,,Andres Gonzales,73,53.68,51,95,19.0
55,T55,,Danny Lee,93,53.68,73,136,29.0
56,57,,Michael Kim,94,53.52,76,142,46.0
57,58,,Whee Kim,74,53.4,55,103,29.0
58,59,,Phil Mickelson,85,53.33,72,135,48.0
59,60,,Jamie Lovemark,98,53.22,91,171,45.0
60,61,,Chad Collins,66,53.21,58,109,44.0
61,62,,Sergio Garcia,65,53.15,59,111,26.0
62,63,,Trey Mullinax,88,53.1,60,113,33.0
63,64,,Peter Malnati,91,53.06,78,147,49.0
64,65,,Chad Campbell,97,52.99,62,117,29.0
65,T66,,Rafa Cabrera Bello,63,52.94,54,102,32.0
66,T66,,Cameron Percy,71,52.94,45,85,31.0
67,T66,,Cameron Tringale,89,52.94,63,119,40.0
68,69,,Ben Martin,86,52.9,82,155,49.0
69,70,,Troy Merritt,82,52.88,55,104,35.0
70,T71,,Charley Hoffman,112,52.85,102,193,50.0
71,T71,,Xander Schauffele,96,52.85,65,123,40.0
72,73,,Scott Brown,95,52.7,78,148,51.0
73,74,,Zach Johnson,81,52.5,63,120,43.0
74,75,,Chez Reavie,98,52.35,78,149,55.0
75,T76,,Retief Goosen,52,52.31,34,65,24.0
76,T76,,Anirban Lahiri,72,52.31,68,130,42.0
77,78,,Rory Sabbatini,71,52.04,51,98,27.0
78,79,,Ken Duke,77,52.03,64,123,51.0
