,Proximity_to_Hole_ARG_RANK THIS WEEK,Proximity_to_Hole_ARG_RANK LAST WEEK,Proximity_to_Hole_ARG_PLAYER NAME,Proximity_to_Hole_ARG_ROUNDS,Proximity_to_Hole_ARG_AVG DTP,Proximity_to_Hole_ARG_TOTAL DISTANCE (FEET),Proximity_to_Hole_ARG_# OF SHOTS,Proximity_to_Hole_ARG_SCRAMBLING RANK
0,1,,Ian Poulter,72,"6' 2""",2438.167,397,1
1,2,,Rory McIlroy,51,"6' 3""",1593.5,255,17
2,3,,Chad Collins,66,"6' 5""",2563.917,398,19
3,T4,,Steven Alker,69,"6' 6""",2158.167,333,76
4,T4,,Bill Haas,92,"6' 6""",2934.833,453,18
5,T4,,Tim Wilkinson,64,"6' 6""",2118.5,327,24
6,T7,,Jason Day,71,"6' 7""",2585.917,395,91
7,T7,,Jordan Spieth,85,"6' 7""",2767.333,422,36
8,T9,,Wesley Bryan,95,"6' 8""",3692.667,554,37
9,T9,,Paul Casey,94,"6' 8""",2943.417,444,6
10,T9,,Ernie Els,52,"6' 8""",1793.9170000000001,270,157
11,T9,,Sergio Garcia,65,"6' 8""",1941.3329999999999,293,39
12,T9,,Brian Gay,82,"6' 8""",3147.333,471,30
13,T9,,Phil Mickelson,85,"6' 8""",3268.583,493,71
14,T9,,Kevin Na,86,"6' 8""",2777.667,419,32
15,T9,,Seamus Power,86,"6' 8""",3266.417,487,13
16,T9,,Webb Simpson,102,"6' 8""",3651.167,548,4
17,T18,,Zac Blair,105,"6' 9""",3918.667,583,3
18,T18,,Chad Campbell,97,"6' 9""",3493.583,515,5
19,T18,,Roberto Castro,70,"6' 9""",2409.25,358,63
20,T18,,Peter Malnati,91,"6' 9""",3531.333,522,37
21,T18,,Ryan Palmer,61,"6' 9""",2272.417,336,124
22,T18,,Cameron Tringale,89,"6' 9""",3107.417,460,97
23,T24,,David Hearn,93,"6' 10""",3352.0,492,33
24,T24,,Matt Kuchar,95,"6' 10""",3424.5,499,2
25,T26,,Mark Anderson,54,"6' 11""",2086.083,301,42
26,T26,,Brett Drewitt,57,"6' 11""",2110.333,306,85
27,T26,,Andres Gonzales,73,"6' 11""",2599.917,374,33
28,T26,,David Lingmerth,79,"6' 11""",3422.417,494,108
29,T26,,Charl Schwartzel,63,"6' 11""",2684.583,386,56
30,T26,,Jimmy Walker,68,"6' 11""",2382.167,343,122
31,T32,,Ryan Armour,63,"7' 0""",2002.3329999999999,287,117
32,T32,,Blayne Barber,77,"7' 0""",2818.417,404,160
33,T32,,Alex Cejka,85,"7' 0""",2932.833,419,44
34,T32,,Ken Duke,77,"7' 0""",3004.0,428,150
35,T32,,Branden Grace,70,"7' 0""",2205.667,315,40
36,T32,,Geoff Ogilvy,80,"7' 0""",3180.583,452,49
37,T32,,Pat Perez,93,"7' 0""",3477.083,495,14
38,T32,,Cameron Smith,86,"7' 0""",3666.333,526,103
39,T40,,Kevin Chappell,95,"7' 1""",3528.417,497,147
40,T40,,Ben Crane,86,"7' 1""",3364.25,475,93
41,T40,,Rickie Fowler,78,"7' 1""",2808.25,398,22
42,T40,,Emiliano Grillo,90,"7' 1""",3047.25,430,148
43,T40,,Anirban Lahiri,72,"7' 1""",3273.167,460,170
44,T40,,Jamie Lovemark,98,"7' 1""",3998.083,566,67
45,T40,,Hideki Matsuyama,83,"7' 1""",2684.917,381,41
46,T40,,Jon Rahm,90,"7' 1""",3041.583,427,9
47,T40,,Justin Rose,66,"7' 1""",2512.5,353,80
48,T40,,Nick Taylor,97,"7' 1""",4055.25,571,35
49,T40,,Justin Thomas,86,"7' 1""",3002.0,422,53
50,T51,,Aaron Baddeley,61,"7' 2""",2464.083,343,73
51,T51,,Greg Chalmers,75,"7' 2""",3756.25,522,84
52,T51,,Harris English,84,"7' 2""",3356.667,468,75
53,T51,,Gonzalo Fernandez-Castaño,63,"7' 2""",2398.917,336,7
54,T51,,Brian Harman,104,"7' 2""",4375.25,609,25
55,T51,,Morgan Hoffmann,92,"7' 2""",4297.417,598,63
56,T51,,Billy Hurley III,80,"7' 2""",3262.0,456,99
57,T51,,Matt Jones,64,"7' 2""",2801.833,393,16
58,T51,,Whee Kim,74,"7' 2""",3070.833,429,31
59,T51,,Si Woo Kim,80,"7' 2""",3261.25,453,169
60,T51,,Michael Kim,94,"7' 2""",3977.333,558,98
61,T51,,Kevin Kisner,105,"7' 2""",3595.917,502,28
62,T51,,D.A. Points,68,"7' 2""",2807.083,391,162
63,T51,,Rory Sabbatini,71,"7' 2""",2535.0,352,115
64,T51,,Michael Thompson,60,"7' 2""",2201.667,306,100
65,T51,,Tyrone Van Aswegen,105,"7' 2""",3724.333,522,95
66,T51,,Camilo Villegas,76,"7' 2""",3246.417,454,29
67,T51,,Gary Woodland,94,"7' 2""",3078.083,431,118
68,T69,,Ricky Barnes,100,"7' 3""",4000.417,554,68
69,T69,,Dominic Bozzelli,69,"7' 3""",3071.083,426,125
70,T69,,Bud Cauley,92,"7' 3""",3980.917,547,86
71,T69,,K.J. Choi,72,"7' 3""",2806.917,389,57
72,T69,,Zach Johnson,81,"7' 3""",3179.833,439,69
73,T69,,Luke List,102,"7' 3""",4284.333,588,152
74,T69,,Bryce Molder,74,"7' 3""",3340.917,462,88
75,T69,,Francesco Molinari,75,"7' 3""",2886.25,396,20
76,T69,,Seung-Yul Noh,91,"7' 3""",3911.333,541,87
77,T69,,J.T. Poston,95,"7' 3""",3768.0,521,77
78,T69,,Kyle Reifers,96,"7' 3""",3619.083,498,114
79,T69,,Ollie Schniederjans,92,"7' 3""",4009.25,554,102
80,T69,,Chris Stroud,67,"7' 3""",2524.167,347,82
81,T69,,Jhonattan Vegas,95,"7' 3""",3703.5,508,119
82,T83,,Byeong Hun An,77,"7' 4""",3054.167,418,158
83,T83,,Daniel Berger,91,"7' 4""",3365.0,458,23
84,T83,,Patrick Cantlay,52,"7' 4""",2353.833,322,62
85,T83,,Luke Donald,50,"7' 4""",2220.917,303,74
86,T83,,Tony Finau,106,"7' 4""",4631.917,633,81
87,T83,,Brad Fritsch,56,"7' 4""",2185.667,298,151
88,T83,,Jim Furyk,54,"7' 4""",1892.0829999999999,259,45
89,T83,,Chris Kirk,89,"7' 4""",3515.0,477,174
90,T83,,Troy Merritt,82,"7' 4""",3593.583,488,112
91,T83,,Jonathan Randolph,68,"7' 4""",2610.417,354,140
92,T83,,Robert Streb,98,"7' 4""",4407.583,600,96
93,T83,,Brian Stuard,93,"7' 4""",3393.167,461,121
94,T95,,Jonas Blixt,74,"7' 5""",3490.083,473,107
95,T95,,Jason Dufner,89,"7' 5""",3431.917,463,127
96,T95,,Adam Hadwin,98,"7' 5""",4101.167,554,12
97,T95,,Brandon Hagy,85,"7' 5""",3715.333,502,61
98,T95,,Charley Hoffman,112,"7' 5""",4842.75,654,141
99,T95,,Charles Howell III,86,"7' 5""",3385.75,458,26
100,T95,,Mark Hubbard,81,"7' 5""",3129.167,423,106
101,T95,,Ryo Ishikawa,56,"7' 5""",2519.0,339,123
102,T95,,Dustin Johnson,77,"7' 5""",2707.333,366,26
103,T95,,Danny Lee,93,"7' 5""",4070.833,548,167
104,T95,,Marc Leishman,94,"7' 5""",3674.333,497,46
105,T95,,Louis Oosthuizen,69,"7' 5""",2416.083,326,21
106,T95,,Patrick Reed,107,"7' 5""",4715.417,637,48
107,T95,,Tag Ridings,67,"7' 5""",2580.167,348,126
108,T95,,Shawn Stefani,72,"7' 5""",3046.333,410,78
109,T95,,Steve Wheatcroft,51,"7' 5""",2378.667,319,11
110,T111,,Jason Bohn,75,"7' 6""",3202.75,428,133
111,T111,,Keegan Bradley,104,"7' 6""",4470.833,597,79
112,T111,,Lucas Glover,93,"7' 6""",4006.25,533,66
113,T111,,Fabián Gómez,61,"7' 6""",2885.75,386,101
114,T111,,Retief Goosen,52,"7' 6""",2230.25,297,60
115,T111,,Russell Henley,99,"7' 6""",4111.917,549,131
116,T111,,Tom Hoge,54,"7' 6""",2036.9170000000001,271,63
117,T111,,John Huh,92,"7' 6""",4094.917,549,10
118,T111,,Patton Kizzire,84,"7' 6""",3655.917,489,177
119,T111,,Russell Knox,75,"7' 6""",2720.417,362,130
120,T111,,Rick Lamb,54,"7' 6""",2002.1670000000001,267,178
121,T111,,Spencer Levin,89,"7' 6""",3565.5,474,43
122,T111,,Ryan Moore,82,"7' 6""",3445.583,457,143
123,T111,,C.T. Pan,88,"7' 6""",3813.5,508,58
124,T111,,Sam Saunders,76,"7' 6""",3329.25,443,113
125,T111,,Scott Stallings,81,"7' 6""",3284.083,440,165
126,T111,,Brendan Steele,89,"7' 6""",3350.833,447,55
127,T111,,Kevin Tway,96,"7' 6""",4178.333,556,92
128,T129,,Miguel Angel Carballo,63,"7' 7""",2279.75,301,175
