,SG_Around-the-Green_RANK THIS WEEK,SG_Around-the-Green_RANK LAST WEEK,SG_Around-the-Green_PLAYER NAME,SG_Around-the-Green_ROUNDS,SG_Around-the-Green_AVERAGE,SG_Around-the-Green_TOTAL SG:ARG,SG_Around-the-Green_MEASURED ROUNDS
0,1,,Tim Wilkinson,64,0.5379999999999999,24.726999999999997,46
1,2,,Matt Jones,64,0.503,25.656,51
2,3,,Ian Poulter,72,0.501,27.554000000000002,55
3,4,,Bill Haas,92,0.467,31.750999999999998,68
4,5,,Pat Perez,93,0.46299999999999997,32.871,71
5,6,,Seung-Yul Noh,91,0.439,32.93,75
6,7,,Luke Donald,50,0.42200000000000004,18.125,43
7,8,,Matt Kuchar,95,0.41100000000000003,30.037,73
8,9,,Cameron Smith,86,0.39899999999999997,28.302,71
9,10,,Steven Alker,69,0.39799999999999996,20.289,51
10,11,,Cameron Tringale,89,0.396,25.749000000000002,65
11,12,,Jordan Spieth,85,0.39299999999999996,25.145,64
12,13,,Justin Rose,66,0.391,19.930999999999997,51
13,14,,Webb Simpson,102,0.363,29.011,80
14,15,,Brandt Snedeker,53,0.353,13.401,38
15,16,,Jason Day,71,0.336,17.796,53
16,17,,Marc Leishman,94,0.33,22.743000000000002,69
17,18,,Kevin Na,86,0.319,19.789,62
18,19,,Aaron Baddeley,61,0.31,14.239,46
19,20,,Robert Streb,98,0.305,25.641,84
20,21,,Bryce Molder,74,0.301,19.233,64
21,22,,Chad Collins,66,0.294,15.875,54
22,23,,Brian Harman,104,0.293,24.02,82
23,24,,Hideki Matsuyama,83,0.289,15.895999999999999,55
24,25,,Rickie Fowler,78,0.282,16.63,59
25,26,,Jamie Lovemark,98,0.275,20.866999999999997,76
26,27,,Justin Thomas,86,0.268,16.36,61
27,28,,Louis Oosthuizen,69,0.262,12.335,47
28,29,,Brian Gay,82,0.254,17.541,69
29,30,,Steven Bowditch,59,0.23800000000000002,10.729000000000001,45
30,31,,Camilo Villegas,76,0.235,14.595999999999998,62
31,32,,Seamus Power,86,0.22899999999999998,15.552,68
32,33,,Wesley Bryan,95,0.21899999999999997,16.391,75
33,T34,,Zac Blair,105,0.218,17.618,81
34,T34,,Kyle Reifers,96,0.218,16.1,74
35,36,,Phil Mickelson,85,0.21600000000000003,14.937000000000001,69
36,37,,K.J. Choi,72,0.213,11.489,54
37,T38,,Sergio Garcia,65,0.21100000000000002,8.847999999999999,42
38,T38,,Zach Johnson,81,0.21100000000000002,13.482000000000001,64
39,40,,Geoff Ogilvy,80,0.196,13.118,67
40,T41,,Andres Gonzales,73,0.19,10.850999999999999,57
41,T41,,Peter Malnati,91,0.19,13.84,73
42,T43,,Patrick Reed,107,0.184,14.703,80
