,Proximity_to_Hole_from_30_yards_RANK THIS WEEK,Proximity_to_Hole_from_30_yards_RANK LAST WEEK,Proximity_to_Hole_from_30_yards_PLAYER NAME,Proximity_to_Hole_from_30_yards_ROUNDS,Proximity_to_Hole_from_30_yards_AVG DTP,Proximity_to_Hole_from_30_yards_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_30_yards_# OF SHOTS,Proximity_to_Hole_from_30_yards_SCRAMBLING RANK
0,1,,Rory McIlroy,51,"8' 0""",184.417,23,17
1,2,,Brian Gay,82,"9' 1""",461.833,51,30
2,3,,Patrick Cantlay,52,"9' 3""",342.667,37,62
3,4,,Ian Poulter,72,"9' 4""",486.667,52,1
4,5,,Jordan Spieth,85,"9' 11""",426.083,43,36
5,T6,,Emiliano Grillo,90,"10' 1""",464.333,46,148
6,T6,,Justin Rose,66,"10' 1""",473.583,47,80
7,T8,,Wesley Bryan,95,"10' 2""",476.583,47,37
8,T8,,Tim Wilkinson,64,"10' 2""",395.0,39,24
9,10,,David Hearn,93,"10' 3""",521.5830000000001,51,33
10,11,,Paul Casey,94,"10' 5""",562.75,54,6
11,12,,Seamus Power,86,"10' 6""",618.5830000000001,59,13
12,T13,,Ernie Els,52,"10' 8""",244.5,23,157
13,T13,,Brooks Koepka,88,"10' 8""",777.6669999999999,73,154
14,T13,,Charl Schwartzel,63,"10' 8""",480.25,45,56
15,T16,,Bud Cauley,92,"10' 9""",601.1669999999999,56,86
16,T16,,J.T. Poston,95,"10' 9""",623.5830000000001,58,77
17,T16,,Rory Sabbatini,71,"10' 9""",589.1669999999999,55,115
18,19,,Stewart Cink,93,"10' 11""",555.5830000000001,51,108
19,T20,,Chad Collins,66,"11' 0""",539.9169999999999,49,19
20,T20,,James Hahn,96,"11' 0""",702.0,64,52
21,22,,Andres Gonzales,73,"11' 1""",564.3330000000001,51,33
22,T23,,Fabián Gómez,61,"11' 2""",682.75,61,101
23,T23,,C.T. Pan,88,"11' 2""",703.6669999999999,63,58
24,T23,,Jhonattan Vegas,95,"11' 2""",647.9169999999999,58,119
25,T26,,Mark Anderson,54,"11' 3""",451.25,40,42
26,T26,,Ryan Armour,63,"11' 3""",381.167,34,117
27,T26,,Anirban Lahiri,72,"11' 3""",527.0,47,170
28,T26,,Phil Mickelson,85,"11' 3""",708.5,63,71
29,T26,,Robert Streb,98,"11' 3""",998.5830000000001,89,96
30,T26,,Chris Stroud,67,"11' 3""",440.333,39,82
31,T32,,Blayne Barber,77,"11' 4""",486.667,43,160
32,T32,,Ben Crane,86,"11' 4""",772.0830000000001,68,93
33,T32,,Matt Every,76,"11' 4""",691.9169999999999,61,190
34,T32,,Si Woo Kim,80,"11' 4""",739.0830000000001,65,169
35,T32,,Russell Knox,75,"11' 4""",317.08299999999997,28,130
36,T37,,Steven Alker,69,"11' 5""",423.25,37,76
37,T37,,Hideki Matsuyama,83,"11' 5""",478.417,42,41
38,T37,,Seung-Yul Noh,91,"11' 5""",880.5830000000001,77,87
39,T40,,Luke Donald,50,"11' 6""",449.667,39,74
40,T40,,Morgan Hoffmann,92,"11' 6""",769.0830000000001,67,63
41,T42,,Zac Blair,105,"11' 7""",639.1669999999999,55,3
42,T42,,Roberto Castro,70,"11' 7""",499.75,43,63
43,T42,,Alex Cejka,85,"11' 7""",637.8330000000001,55,44
44,T42,,Rickie Fowler,78,"11' 7""",475.333,41,22
45,T42,,Brian Harman,104,"11' 7""",809.9169999999999,70,25
46,T42,,Nick Watney,75,"11' 7""",381.0,33,94
47,T48,,Michael Kim,94,"11' 8""",862.5830000000001,74,98
48,T48,,Rick Lamb,54,"11' 8""",326.58299999999997,28,178
49,T50,,Jonas Blixt,74,"11' 9""",633.1669999999999,54,107
50,T50,,Branden Grace,70,"11' 9""",433.917,37,40
51,T50,,Luke List,102,"11' 9""",765.1669999999999,65,152
52,T50,,Jamie Lovemark,98,"11' 9""",859.75,73,67
53,T50,,Kevin Na,86,"11' 9""",505.667,43,32
54,T50,,Justin Thomas,86,"11' 9""",714.6669999999999,61,53
55,T56,,Brett Drewitt,57,"11' 10""",272.66700000000003,23,85
56,T56,,Cody Gribble,79,"11' 10""",710.9169999999999,60,173
57,T56,,Patton Kizzire,84,"11' 10""",801.8330000000001,68,177
58,T56,,Martin Laird,83,"11' 10""",780.9169999999999,66,47
59,T56,,Patrick Reed,107,"11' 10""",933.4169999999999,79,48
60,T56,,Camilo Villegas,76,"11' 10""",685.0,58,29
61,T62,,Charley Hoffman,112,"11' 11""",992.1669999999999,83,141
62,T62,,Billy Hurley III,80,"11' 11""",669.3330000000001,56,99
63,T62,,Tag Ridings,67,"11' 11""",501.833,42,126
64,T65,,Derek Fathauer,81,"12' 0""",694.75,58,180
65,T65,,Nick Taylor,97,"12' 0""",901.1669999999999,75,35
66,T65,,Cameron Tringale,89,"12' 0""",792.75,66,97
67,T68,,Ricky Barnes,100,"12' 1""",881.6669999999999,73,68
68,T68,,Dominic Bozzelli,69,"12' 1""",580.0,48,125
69,T68,,Chad Campbell,97,"12' 1""",737.8330000000001,61,5
