,Proximity_to_Hole_from_20-30_yards_RANK THIS WEEK,Proximity_to_Hole_from_20-30_yards_RANK LAST WEEK,Proximity_to_Hole_from_20-30_yards_PLAYER NAME,Proximity_to_Hole_from_20-30_yards_ROUNDS,Proximity_to_Hole_from_20-30_yards_AVG DTP,Proximity_to_Hole_from_20-30_yards_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_20-30_yards_# OF SHOTS,Proximity_to_Hole_from_20-30_yards_SCRAMBLING RANK
0,1,,Bill Haas,92,"7' 1""",717.5830000000001,101,18
1,T2,,Ryan Armour,63,"7' 5""",356.75,48,117
2,T2,,K.J. Choi,72,"7' 5""",604.0830000000001,81,57
3,T2,,Tim Wilkinson,64,"7' 5""",540.1669999999999,73,24
4,5,,Fabián Gómez,61,"7' 6""",545.9169999999999,73,101
5,6,,Aaron Baddeley,61,"7' 8""",562.0,73,73
6,T7,,Ernie Els,52,"7' 9""",450.833,58,157
7,T7,,Ollie Schniederjans,92,"7' 9""",840.9169999999999,108,102
8,9,,Chad Collins,66,"7' 10""",696.1669999999999,89,19
9,T10,,Ricky Barnes,100,"7' 11""",989.1669999999999,125,68
10,T10,,Brad Fritsch,56,"7' 11""",481.917,61,151
11,T12,,Jason Day,71,"8' 0""",681.6669999999999,85,91
12,T12,,Ken Duke,77,"8' 0""",656.5,82,150
13,14,,Phil Mickelson,85,"8' 1""",750.25,93,71
14,T15,,Branden Grace,70,"8' 2""",570.4169999999999,70,40
15,T15,,Russell Henley,99,"8' 2""",1007.75,124,131
16,T15,,Kevin Na,86,"8' 2""",772.3330000000001,95,32
17,T15,,Cameron Tringale,89,"8' 2""",852.9169999999999,104,97
18,T19,,Tony Finau,106,"8' 3""",1103.667,134,81
19,T19,,Matt Kuchar,95,"8' 3""",956.25,116,2
20,T19,,Bryce Molder,74,"8' 3""",932.6669999999999,113,88
21,T19,,Geoff Ogilvy,80,"8' 3""",733.8330000000001,89,49
22,T19,,Pat Perez,93,"8' 3""",906.0830000000001,110,14
23,T24,,Rory McIlroy,51,"8' 5""",461.25,55,17
24,T24,,Ian Poulter,72,"8' 5""",865.4169999999999,103,1
25,T24,,Patrick Reed,107,"8' 5""",1161.333,138,48
26,T24,,Nick Taylor,97,"8' 5""",1091.0,130,35
27,T24,,Michael Thompson,60,"8' 5""",546.6669999999999,65,100
28,T29,,Kevin Chappell,95,"8' 6""",903.75,106,147
29,T29,,Charley Hoffman,112,"8' 6""",1143.917,135,141
30,T29,,Brooks Koepka,88,"8' 6""",793.25,93,154
31,T29,,Troy Merritt,82,"8' 6""",783.0,92,112
32,T29,,Adam Scott,58,"8' 6""",572.0,67,83
33,T34,,Byeong Hun An,77,"8' 7""",778.5830000000001,91,158
34,T34,,Zac Blair,105,"8' 7""",1015.0830000000001,118,3
35,T34,,Sergio Garcia,65,"8' 7""",487.0,57,39
36,T34,,Charles Howell III,86,"8' 7""",861.1669999999999,100,26
37,T34,,Luke List,102,"8' 7""",1073.5,125,152
38,T39,,Brett Drewitt,57,"8' 8""",529.0,61,85
39,T39,,Brian Harman,104,"8' 8""",1184.583,137,25
40,T39,,Ryan Palmer,61,"8' 8""",503.333,58,124
41,T39,,D.A. Points,68,"8' 8""",667.25,77,162
42,T43,,Wesley Bryan,95,"8' 9""",1001.0,114,37
43,T43,,Marc Leishman,94,"8' 9""",985.4169999999999,113,46
44,T43,,Jon Rahm,90,"8' 9""",833.3330000000001,95,9
45,T43,,Kyle Reifers,96,"8' 9""",827.5830000000001,95,114
46,T43,,Patrick Rodgers,76,"8' 9""",916.6669999999999,105,182
47,T43,,Justin Rose,66,"8' 9""",551.6669999999999,63,80
48,T43,,Tyrone Van Aswegen,105,"8' 9""",815.8330000000001,93,95
49,T50,,Luke Donald,50,"8' 10""",670.5,76,74
50,T50,,Julián Etulain,68,"8' 10""",626.8330000000001,71,105
51,T50,,Rickie Fowler,78,"8' 10""",761.0830000000001,86,22
52,T50,,Brandon Hagy,85,"8' 10""",1028.0,116,61
53,T50,,Francesco Molinari,75,"8' 10""",842.6669999999999,95,20
54,T50,,Cameron Smith,86,"8' 10""",1088.833,123,103
55,T50,,Daniel Summerhays,100,"8' 10""",948.9169999999999,107,142
56,T50,,Kevin Tway,96,"8' 10""",1076.0,122,92
57,T50,,Jimmy Walker,68,"8' 10""",661.5,75,122
58,T59,,Roberto Castro,70,"8' 11""",658.6669999999999,74,63
59,T59,,David Hearn,93,"8' 11""",819.8330000000001,92,33
60,T59,,Whee Kim,74,"8' 11""",730.5,82,31
61,T59,,Michael Kim,94,"8' 11""",1102.0,124,98
62,T59,,Jamie Lovemark,98,"8' 11""",1184.5,133,67
63,T59,,Shane Lowry,52,"8' 11""",355.0,40,165
64,T59,,Carl Pettersson,63,"8' 11""",812.9169999999999,91,179
65,T59,,Jonathan Randolph,68,"8' 11""",545.25,61,140
66,T59,,Charl Schwartzel,63,"8' 11""",689.3330000000001,77,56
67,T59,,Webb Simpson,102,"8' 11""",1095.667,123,4
68,T59,,Hudson Swafford,94,"8' 11""",779.25,87,164
69,T70,,Steven Alker,69,"9' 0""",630.75,70,76
70,T70,,Jonas Blixt,74,"9' 0""",974.1669999999999,108,107
71,T70,,Lucas Glover,93,"9' 0""",972.3330000000001,108,66
72,T70,,Matt Jones,64,"9' 0""",655.6669999999999,73,16
73,T70,,Rory Sabbatini,71,"9' 0""",519.9169999999999,58,115
74,T75,,Keegan Bradley,104,"9' 1""",1003.6669999999999,110,79
75,T75,,Ben Crane,86,"9' 1""",817.1669999999999,90,93
76,T75,,Kevin Kisner,105,"9' 1""",861.5830000000001,95,28
77,T75,,Brett Stegmaier,78,"9' 1""",707.5830000000001,78,188
78,T79,,Miguel Angel Carballo,63,"9' 2""",542.5,59,175
79,T79,,Paul Casey,94,"9' 2""",789.8330000000001,86,6
80,T79,,Jason Dufner,89,"9' 2""",1009.5,110,127
81,T79,,Morgan Hoffmann,92,"9' 2""",1129.417,123,63
82,T79,,Dustin Johnson,77,"9' 2""",621.8330000000001,68,26
83,T79,,Peter Malnati,91,"9' 2""",1027.75,112,37
84,T79,,Hideki Matsuyama,83,"9' 2""",748.25,82,41
85,T79,,Rod Pampling,71,"9' 2""",1135.5,124,184
86,T79,,Kevin Streelman,90,"9' 2""",1016.25,111,70
87,T88,,Daniel Berger,91,"9' 3""",761.5830000000001,82,23
88,T88,,Gonzalo Fernandez-Castaño,63,"9' 3""",629.5830000000001,68,7
89,T88,,Robert Garrigus,78,"9' 3""",704.0830000000001,76,171
90,T88,,Ben Martin,86,"9' 3""",902.6669999999999,98,108
91,T88,,Harold Varner III,101,"9' 3""",1168.917,126,138
92,T93,,Mark Anderson,54,"9' 4""",476.5,51,42
93,T93,,Martin Flores,88,"9' 4""",985.0,106,135
94,T93,,John Huh,92,"9' 4""",986.9169999999999,106,10
95,T93,,Billy Hurley III,80,"9' 4""",938.5830000000001,101,99
96,T93,,Spencer Levin,89,"9' 4""",859.3330000000001,92,43
97,T93,,Chez Reavie,98,"9' 4""",911.0830000000001,98,15
98,T93,,Robert Streb,98,"9' 4""",1357.6670000000001,145,96
99,100,,Steve Wheatcroft,51,"9' 5""",556.9169999999999,59,11
100,T101,,Brian Gay,82,"9' 6""",975.1669999999999,103,30
101,T101,,Adam Hadwin,98,"9' 6""",1186.917,125,12
102,T101,,Smylie Kaufman,76,"9' 6""",965.5,102,168
103,T101,,Brandt Snedeker,53,"9' 6""",467.25,49,8
104,T101,,J.J. Spaun,92,"9' 6""",769.5,81,88
105,T106,,Jason Bohn,75,"9' 7""",830.5,87,133
106,T106,,Ryo Ishikawa,56,"9' 7""",731.0830000000001,76,123
107,T106,,Kyle Stanley,104,"9' 7""",1365.3329999999999,143,116
108,T109,,Greg Chalmers,75,"9' 8""",1119.833,116,84
109,T109,,Zach Johnson,81,"9' 8""",793.5,82,69
110,T109,,David Lingmerth,79,"9' 8""",844.25,87,108
111,T109,,William McGirt,89,"9' 8""",1152.5,119,134
112,T109,,Ryan Moore,82,"9' 8""",852.5,88,143
113,T109,,Sean O'Hair,84,"9' 8""",919.8330000000001,95,129
114,T109,,Seamus Power,86,"9' 8""",966.9169999999999,100,13
115,T109,,Brendan Steele,89,"9' 8""",958.5,99,55
116,T109,,Richy Werenski,81,"9' 8""",800.5830000000001,83,51
117,T118,,Ryan Blaum,100,"9' 9""",1115.417,114,71
118,T118,,Chad Campbell,97,"9' 9""",934.3330000000001,96,5
119,T118,,Emiliano Grillo,90,"9' 9""",867.75,89,148
120,T118,,Anirban Lahiri,72,"9' 9""",874.6669999999999,90,170
121,T118,,Graeme McDowell,56,"9' 9""",652.75,67,111
122,T118,,Seung-Yul Noh,91,"9' 9""",1470.5,151,87
123,T118,,Jordan Spieth,85,"9' 9""",742.5,76,36
124,T118,,Justin Thomas,86,"9' 9""",876.6669999999999,90,53
125,T118,,Jhonattan Vegas,95,"9' 9""",1148.417,118,119
126,T118,,Boo Weekley,75,"9' 9""",690.4169999999999,71,153
127,T128,,Blayne Barber,77,"9' 10""",765.0,78,160
128,T128,,Scott Brown,95,"9' 10""",1004.3330000000001,102,90
129,T128,,Bud Cauley,92,"9' 10""",1104.833,112,86
130,T128,,Mackenzie Hughes,106,"9' 10""",1478.5829999999999,151,103
