,Proximity_to_Hole_from_Rough_RANK THIS WEEK,Proximity_to_Hole_from_Rough_RANK LAST WEEK,Proximity_to_Hole_from_Rough_PLAYER NAME,Proximity_to_Hole_from_Rough_ROUNDS,Proximity_to_Hole_from_Rough_AVG DTP,Proximity_to_Hole_from_Rough_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_Rough_# OF SHOTS,Proximity_to_Hole_from_Rough_SCRAMBLING RANK
0,T1,,Steven Alker,69,"6' 3""",739.5830000000001,118,76
1,T1,,Ryan Armour,63,"6' 3""",680.0830000000001,109,117
2,3,,Roberto Castro,70,"6' 4""",789.4169999999999,125,63
3,4,,Alex Cejka,85,"6' 6""",953.0830000000001,146,44
4,T5,,Chad Collins,66,"6' 7""",801.25,122,19
5,T5,,Pat Perez,93,"6' 7""",1083.667,164,14
6,7,,Michael Thompson,60,"6' 8""",728.75,110,100
7,8,,Brendan Steele,89,"6' 10""",1296.833,189,55
8,T9,,Rory McIlroy,51,"6' 11""",722.0,104,17
9,T9,,J.T. Poston,95,"6' 11""",1354.3329999999999,196,77
10,T11,,Jonas Blixt,74,"7' 0""",1186.167,169,107
11,T11,,Ernie Els,52,"7' 0""",634.9169999999999,91,157
12,T11,,Geoff Ogilvy,80,"7' 0""",996.0,142,49
13,T11,,Ian Poulter,72,"7' 0""",863.3330000000001,124,1
14,T11,,Justin Thomas,86,"7' 0""",1222.833,175,53
15,T11,,Tim Wilkinson,64,"7' 0""",833.25,119,24
16,T17,,Ricky Barnes,100,"7' 1""",1583.0,223,68
17,T17,,Paul Casey,94,"7' 1""",1178.083,166,6
18,T17,,Jason Day,71,"7' 1""",1035.667,146,91
19,T17,,Ken Duke,77,"7' 1""",1023.0830000000001,145,150
20,T17,,Jim Furyk,54,"7' 1""",747.6669999999999,106,45
21,T17,,Sergio Garcia,65,"7' 1""",733.5,104,39
22,T17,,Martin Laird,83,"7' 1""",1150.167,163,47
23,T17,,Hideki Matsuyama,83,"7' 1""",1089.083,153,41
24,T17,,Ryan Moore,82,"7' 1""",1030.667,145,143
25,T17,,Scott Stallings,81,"7' 1""",1155.5,163,165
26,T17,,Nick Watney,75,"7' 1""",1160.583,163,94
27,T28,,David Hearn,93,"7' 2""",1194.917,166,33
28,T28,,Jordan Spieth,85,"7' 2""",1286.583,180,36
29,T30,,Miguel Angel Carballo,63,"7' 3""",935.5830000000001,129,175
30,T30,,Brandon Hagy,85,"7' 3""",1541.0,213,61
31,T30,,Matt Kuchar,95,"7' 3""",1506.4170000000001,207,2
32,T30,,Webb Simpson,102,"7' 3""",1485.6670000000001,206,4
33,T34,,Zac Blair,105,"7' 4""",1456.25,199,3
34,T34,,Stewart Cink,93,"7' 4""",1351.5,184,108
35,T34,,Rickie Fowler,78,"7' 4""",1006.25,137,22
36,T34,,Troy Merritt,82,"7' 4""",1179.75,160,112
37,T34,,Cameron Tringale,89,"7' 4""",1205.0,165,97
38,T39,,Daniel Berger,91,"7' 5""",1394.6670000000001,187,23
39,T39,,Patton Kizzire,84,"7' 5""",1265.667,171,177
40,T39,,D.A. Points,68,"7' 5""",1028.75,139,162
41,T39,,Patrick Reed,107,"7' 5""",1862.4170000000001,250,48
42,T39,,Brett Stegmaier,78,"7' 5""",991.4169999999999,134,188
43,T39,,Gary Woodland,94,"7' 5""",1542.75,208,118
44,T45,,Robert Garrigus,78,"7' 6""",1196.75,160,171
45,T45,,Brian Gay,82,"7' 6""",1165.5,155,30
46,T45,,Lucas Glover,93,"7' 6""",1451.25,193,66
47,T45,,Billy Hurley III,80,"7' 6""",1239.083,166,99
48,T45,,Chris Kirk,89,"7' 6""",1330.75,178,174
