,Scrambling_RANK THIS WEEK,Scrambling_RANK LAST WEEK,Scrambling_PLAYER NAME,Scrambling_ROUNDS,Scrambling_%,Scrambling_PAR OR BETTER,Scrambling_MISSED GIR
0,1,,Ian Poulter,72,67.36,293,435
1,2,,Matt Kuchar,95,65.78,348,529
2,3,,Zac Blair,105,65.5,412,629
3,4,,Webb Simpson,102,65.15,387,594
4,5,,Chad Campbell,97,64.63,349,540
5,6,,Paul Casey,94,64.52,300,465
6,7,,Gonzalo Fernandez-Castaño,63,64.3,245,381
7,8,,Brandt Snedeker,53,64.06,180,281
8,9,,Jon Rahm,90,63.74,290,455
9,10,,John Huh,92,63.65,345,542
10,11,,Steve Wheatcroft,51,63.64,210,330
11,12,,Adam Hadwin,98,63.47,377,594
12,13,,Seamus Power,86,63.43,314,495
13,14,,Pat Perez,93,63.38,341,538
14,15,,Chez Reavie,98,63.28,343,542
15,16,,Matt Jones,64,63.17,235,372
16,17,,Rory McIlroy,51,63.12,178,282
17,18,,Bill Haas,92,63.1,301,477
18,19,,Chad Collins,66,63.07,275,436
19,20,,Francesco Molinari,75,62.95,260,413
20,21,,Louis Oosthuizen,69,62.91,229,364
21,22,,Rickie Fowler,78,62.85,269,428
22,23,,Daniel Berger,91,62.8,314,500
23,24,,Tim Wilkinson,64,62.77,236,376
24,25,,Brian Harman,104,62.74,399,636
25,T26,,Charles Howell III,86,62.63,305,487
26,T26,,Dustin Johnson,77,62.63,233,372
27,28,,Kevin Kisner,105,62.5,355,568
28,29,,Camilo Villegas,76,62.35,308,494
29,30,,Brian Gay,82,62.3,319,512
30,31,,Whee Kim,74,62.07,288,464
31,32,,Kevin Na,86,62.06,301,485
32,T33,,Andres Gonzales,73,61.85,248,401
33,T33,,David Hearn,93,61.85,334,540
34,35,,Nick Taylor,97,61.83,358,579
35,36,,Jordan Spieth,85,61.75,247,400
36,T37,,Wesley Bryan,95,61.5,385,626
37,T37,,Peter Malnati,91,61.5,353,574
38,39,,Sergio Garcia,65,61.39,194,316
39,40,,Branden Grace,70,61.28,220,359
40,41,,Hideki Matsuyama,83,61.25,245,400
41,42,,Mark Anderson,54,61.18,197,322
42,43,,Spencer Levin,89,61.1,322,527
43,44,,Alex Cejka,85,61.08,284,465
44,45,,Jim Furyk,54,61.03,177,290
45,46,,Marc Leishman,94,60.99,308,505
46,47,,Martin Laird,83,60.94,298,489
47,48,,Patrick Reed,107,60.92,399,655
48,49,,Geoff Ogilvy,80,60.85,272,447
49,50,,Rafa Cabrera Bello,63,60.74,229,377
50,51,,Richy Werenski,81,60.6,263,434
51,52,,James Hahn,96,60.58,355,586
52,53,,Justin Thomas,86,60.54,267,441
53,54,,Vaughn Taylor,90,60.52,305,504
54,55,,Brendan Steele,89,60.51,285,471
55,56,,Charl Schwartzel,63,60.5,242,400
56,57,,K.J. Choi,72,60.36,265,439
57,58,,C.T. Pan,88,60.29,296,491
58,59,,Cameron Percy,71,60.23,212,352
59,60,,Retief Goosen,52,60.2,180,299
60,61,,Brandon Hagy,85,60.16,296,492
61,62,,Patrick Cantlay,52,60.15,160,266
62,T63,,Roberto Castro,70,60.14,258,429
