,Scrambling_from_the_Rough_RANK THIS WEEK,Scrambling_from_the_Rough_RANK LAST WEEK,Scrambling_from_the_Rough_PLAYER NAME,Scrambling_from_the_Rough_ROUNDS,Scrambling_from_the_Rough_%,Scrambling_from_the_Rough_SUCCESSES,Scrambling_from_the_Rough_ATTEMPTS
0,1,,Webb Simpson,102,69.3,149,215
1,2,,Matt Kuchar,95,69.04,136,197
2,T3,,Paul Casey,94,67.38,95,141
3,T3,,Gonzalo Fernandez-Castaño,63,67.38,95,141
4,5,,Branden Grace,70,66.67,56,84
5,6,,Sergio Garcia,65,66.27,55,83
6,7,,Pat Perez,93,65.64,107,163
7,8,,Zac Blair,105,64.68,141,218
8,9,,Chez Reavie,98,64.67,119,184
9,10,,Camilo Villegas,76,64.53,131,203
10,11,,Alex Cejka,85,64.38,103,160
11,12,,David Hearn,93,64.32,119,185
12,13,,Justin Thomas,86,64.29,90,140
13,14,,Martin Laird,83,64.15,102,159
14,15,,Brendan Steele,89,63.95,110,172
15,16,,Nick Taylor,97,63.89,138,216
16,17,,Francesco Molinari,75,63.71,79,124
17,18,,Lucas Glover,93,63.31,107,169
18,19,,Steve Wheatcroft,51,63.3,69,109
19,20,,Chad Campbell,97,63.04,116,184
20,21,,Peter Malnati,91,62.79,135,215
21,22,,Jim Herman,77,62.67,94,150
22,23,,Bill Haas,92,62.65,104,166
23,T24,,Tom Hoge,54,62.5,70,112
24,T24,,Kevin Kisner,105,62.5,100,160
25,26,,Vaughn Taylor,90,62.42,93,149
26,27,,Zach Johnson,81,62.41,88,141
27,28,,Brian Gay,82,62.37,116,186
28,29,,Hideki Matsuyama,83,62.3,76,122
29,30,,Roberto Castro,70,61.94,83,134
30,31,,Steven Alker,69,61.83,81,131
31,32,,Michael Kim,94,61.81,123,199
32,33,,Matt Jones,64,61.65,82,133
33,34,,Patrick Reed,107,61.64,135,219
34,35,,Ian Poulter,72,61.4,70,114
35,T36,,Ricky Barnes,100,61.26,136,222
36,T36,,Jim Furyk,54,61.26,68,111
37,T36,,Adam Hadwin,98,61.26,117,191
38,39,,Charles Howell III,86,61.25,98,160
39,40,,Whee Kim,74,61.08,102,167
40,41,,Robert Streb,98,61.05,105,172
41,42,,Chad Collins,66,61.03,83,136
42,43,,Xander Schauffele,96,60.98,125,205
43,44,,Justin Rose,66,60.95,64,105
44,45,,Nicholas Lindheim,58,60.94,78,128
45,T46,,Jamie Lovemark,98,60.8,107,176
46,T46,,Gary Woodland,94,60.8,107,176
47,T48,,Stewart Cink,93,60.64,114,188
48,T48,,Brandon Hagy,85,60.64,114,188
49,50,,Seamus Power,86,60.51,118,195
50,51,,Tim Wilkinson,64,60.43,84,139
51,52,,Daniel Berger,91,60.39,93,154
52,53,,Retief Goosen,52,60.34,70,116
53,54,,Cameron Tringale,89,60.33,111,184
54,55,,Andres Gonzales,73,60.25,97,161
55,56,,Jhonattan Vegas,95,60.2,118,196
56,57,,Rickie Fowler,78,60.18,68,113
57,58,,Ryan Armour,63,60.15,80,133
58,59,,Shawn Stefani,72,60.13,95,158
59,60,,Jordan Spieth,85,59.86,88,147
60,61,,Wesley Bryan,95,59.81,128,214
61,62,,Adam Scott,58,59.79,58,97
62,T63,,Brian Harman,104,59.7,120,201
63,T63,,D.A. Points,68,59.7,80,134
64,65,,Bubba Watson,71,59.68,74,124
65,66,,Ryan Brehm,83,59.46,88,148
66,67,,Jonas Blixt,74,59.44,107,180
67,68,,Rafa Cabrera Bello,63,59.43,63,106
68,69,,K.J. Choi,72,59.32,105,177
69,70,,Robert Garrigus,78,59.24,93,157
70,71,,Dustin Johnson,77,59.15,84,142
71,72,,Kyle Reifers,96,59.07,114,193
72,73,,Brian Stuard,93,58.99,105,178
73,74,,Mark Anderson,54,58.97,69,117
74,75,,Martin Flores,88,58.82,110,187
75,76,,Spencer Levin,89,58.79,107,182
76,77,,Daniel Summerhays,100,58.76,114,194
77,78,,Shane Lowry,52,58.75,47,80
78,79,,J.B. Holmes,83,58.72,101,172
79,80,,Kyle Stanley,104,58.66,105,179
80,81,,Dominic Bozzelli,69,58.47,107,183
81,82,,Chris Stroud,67,58.46,76,130
82,T83,,Fabián Gómez,61,58.33,63,108
83,T83,,Ben Martin,86,58.33,98,168
84,85,,Richy Werenski,81,58.28,95,163
85,86,,Geoff Ogilvy,80,58.22,85,146
86,87,,Louis Oosthuizen,69,58.16,57,98
87,88,,Sebastián Muñoz,51,58.14,75,129
88,89,,Scott Brown,95,58.08,115,198
89,90,,Cameron Smith,86,58.0,116,200
90,91,,Michael Thompson,60,57.94,73,126
91,92,,Tag Ridings,67,57.89,77,133
92,93,,Kevin Na,86,57.75,82,142
93,94,,Jason Dufner,89,57.62,87,151
94,95,,Phil Mickelson,85,57.59,110,191
95,96,,Jason Day,71,57.58,76,132
96,97,,Brian Campbell,55,57.46,77,134
97,98,,James Hahn,96,57.45,108,188
98,99,,Ryan Palmer,61,57.39,66,115
99,T100,,Charley Hoffman,112,57.14,116,203
100,T100,,Hunter Mahan,73,57.14,92,161
101,102,,Jon Rahm,90,57.05,85,149
102,103,,Kevin Tway,96,56.96,131,230
103,104,,Emiliano Grillo,90,56.67,85,150
104,105,,Luke Donald,50,56.64,64,113
105,106,,Jason Bohn,75,56.63,94,166
106,107,,Cameron Percy,71,56.49,74,131
107,T108,,Russell Knox,75,56.48,61,108
108,T108,,Kevin Streelman,90,56.48,109,193
109,110,,Mackenzie Hughes,106,56.42,145,257
110,T111,,Harris English,84,56.4,97,172
111,T111,,Billy Hurley III,80,56.4,97,172
112,T111,,J.T. Poston,95,56.4,119,211
113,T114,,Graham DeLaet,82,56.38,84,149
114,T114,,Ollie Schniederjans,92,56.38,106,188
115,116,,Nick Watney,75,56.21,95,169
116,T117,,Julián Etulain,68,56.12,78,139
117,T117,,Ryo Ishikawa,56,56.12,78,139
118,119,,Bud Cauley,92,55.98,103,184
119,120,,Greg Chalmers,75,55.93,99,177
120,121,,John Huh,92,55.88,76,136
121,122,,Ryan Blaum,100,55.87,138,247
122,T123,,Brett Drewitt,57,55.86,81,145
123,T123,,Scott Piercy,70,55.86,62,111
124,125,,Brandt Snedeker,53,55.79,53,95
125,126,,Russell Henley,99,55.69,93,167
126,127,,J.J. Spaun,92,55.61,104,187
127,128,,Graeme McDowell,56,55.45,61,110
128,129,,Keegan Bradley,104,55.43,102,184
